πατρίδα,[ςτρίδα,πσ6ρίδα,παρτίδα,πατ4θδα,πατροσα
φουλάρια,ωκυλάρια,φιηλάρια,φο6.άρια,φουκ;ρια,φουλ;δια
θάνατος,ι;νατος,θςματος,θάηζτος,θάνσ6ος,θάνα6κς
κανίβαλος,ξσνίβαλος,κζμίβαλος,καβ9βαλος,κανξναλος,κανίωςλος
σανδάλι,χ;νδάλι,σ;βδάλι,σαξχάλι,σανρσλι,σανδ;.ι
σανδάλια,ασνδάλια,σσηδάλια,σαηψάλια,σανε;λια,σανδσοια
σκάνδαλο,αλάνδαλο,σι;νδαλο,σκ;μδαλο,σκάηφαλο,σκάνφ;λο
άρδην,σ5δην,ά5χην,άρσνν,άρδνμ,άρδηκ
βάφουν,νζφουν,β;γουν,βάγ0υν,βάφιτν,βάφογη
βαδίζω,ω;δίζω,βσχίζω,βαψκζω,βαδ9αω,βαδίσφ
βαρούν,ωζρούν,βσδούν,βαεκύν,βαριτν,βαρο7β
βαρύνει,νςρύνει,βσεύνει,βαδ6νει,βαρηβει,βαρύμ3ι
βοδινό,ν9δινό,βπσινό,βοχονό,βοδοηό,βοδιηι
γάλα,υςλα,γ;οα,γά΄ς,γάλς,γάλε
θέτω,ηστω,θ4γω,θέφφ,θέτγ,θέτγ
ντουέτο,β5ουέτο,νφ9υέτο,ντκηέτο,ντοτ3το,ντουςρο
γαβγίσματα,β;βγίσματα,γςηγίσματα,γανηίσματα,γαβηκσματα,γαβγοςματα
ράβδισμα,τσβδισμα,ρσνδισμα,ράωεισμα,ράβσοσμα,ράβδ9εμα
άθροισμα,ςηροισμα,άι5οισμα,άθ49ισμα,άθρι9σμα,άθρο8χμα
τραύλισμα,φφαύλισμα,τδ;ύλισμα,τρζ7λισμα,τραθπισμα,τραύπ9σμα
χάρισμα,ζ;ρισμα,χ;4ισμα,χά4ξσμα,χάρ9ςμα,χάριζκα
αδιαφανής,ζψιαφανής,αφοαφανής,αδκ;φανής,αδι;γανής,αδιαγσνής
διαφάνεια,ε9αφάνεια,δ9σφάνεια,διζδάνεια,διαψςνεια,διαφ;μεια
δίγραμμος,ε8γραμμος,δοφραμμος,δίυδαμμος,δίγφσμμος,δίγρζνμος
δίκαννο,ρξκαννο,δξοαννο,δίλζννο,δίκσμνο,δίκαξβο
δίχρονος,χκχρονος,δ8ψρονος,δίψ5ονος,δίχφκνος,δίχρ0ξος
διάλογος,φοάλογος,δθζλογος,δι;΄ογος,διάκ0γος,διάλπφος
διάμεσος,φθάμεσος,δθ;μεσος,δισκεσος,διάνσσος,διάμ3ζος
διαβάζεις,εοαβάζεις,δ8ζβάζεις,δι;ηάζεις,διαηζζεις,διαβσχεις
διαβαίνεις,σ8αβαίνεις,δξςβαίνεις,διζγαίνεις,διαω;ίνεις,διαβς8νεις
διαγώνιος,ψθαγώνιος,δκσγώνιος,διζβώνιος,διαωψνιος,διαγγξιος
διακαές,ροακαές,δ8ςκαές,διςιαές,διαοσές,διακσςς
διαμάχης,εθαμάχης,δθζμάχης,δισνάχης,διακςχης,διαμςψης
διαπνοή,ψ8απνοή,δξζπνοή,δι;ονοή,δια΄βοή,διαπξ9ή
διαφαίνομαι,σ9αφαίνομαι,δθσφαίνομαι,διςψαίνομαι,διαδςίνομαι,διαφζξνομαι
δικέφαλος,σ9κέφαλος,δοξέφαλος,διμ3φαλος,δικσραλος,δικέτ;λος
ένσημα,σβσημα,έηςημα,ένδνμα,ένσννα,ένσηκζ
βούτημα,ωιύτημα,β9ττημα,βοτρημα,βού6θμα,βούτνκα
γέννημα,η4ννημα,γσξνημα,γέηβημα,γένξνμα,γέννγνα
εκτιμάω,δλτιμάω,εουιμάω,εκγ8μάω,εκτοκάω,εκτιξςω
ερώτημα,ςεώτημα,εφφτημα,ερβγημα,ερώυξμα,ερώτβκα
εστία,δδτία,εςρία,εσφξα,εστ8;,εστί;
εύρημα,δτρημα,ετεημα,εύ5γμα,εύρθκα,εύρηξσ
εύφημα,ςηφημα,εγωημα,εύγυμα,εύφθξα,εύφηνς
κλίμα,λπίμα,κοθμα,κλ8ξα,κλίξζ,κλίμα
κρίμα,οείμα,κε8μα,κρθξα,κρίξζ,κρίμσ
πέταμα,ο4ταμα,π46αμα,πέφ;μα,πέτ;ξα,πέτανζ
πέτυχα,0ςτυχα,π46υχα,πέ5θχα,πέττδα,πέτυσσ
ποίημα,-0ίημα,π98ημα,ποξυμα,ποίβκα,ποίηξζ
στέμμα,ε5έμμα,σ5ρμμα,στ3νμα,στένξα,στέμν;
σχήμα,αζήμα,σζξμα,σχβνα,σχήνς,σχήμσ
έγκαιρος,ςυκαιρος,έυξαιρος,έγξσιρος,έγκ;ξρος,έγκαξεος
έπακρος,40ακρος,έ-ςκρος,έπςορος,έπαο4ος,έπακε0ς
έτερος,4φερος,έ5ςρος,έτσ4ος,έτε5λς,έτερκε
ημερολόγιον,ξνερολόγιον,ηνδρολόγιον,ημςεολόγιον,ημεδ9λόγιον,ημερκκόγιον
αερολογία,;3ρολογία,ασ5ολογία,αε4λλογία,αερ9πογία,αεροπκγία
ημερολογιακή,υκερολογιακή,ηξ4ρολογιακή,ημ35ολογιακή,ημεδ9λογιακή,ημερ0΄ογιακή
ιδεολογία,θεεολογία,ιεσολογία,ιδςιλογία,ιδε0πογία,ιδεοπκγία
ιδεολογικό,8ρεολογικό,ιφδολογικό,ιδδκλογικό,ιδε9οογικό,ιδεο΄9γικό
διαιτολόγιό,ρξαιτολόγιό,δξςιτολόγιό,δισοτολόγιό,διαο5ολόγιό,διαι6πλόγιό
μοιρολογάω,νλιρολογάω,μκθρολογάω,μοξφολογάω,μοιτιλογάω,μοιρκοογάω
ημεραλωπία,υκεραλωπία,ηξ4ραλωπία,ημρ5αλωπία,ημε4σλωπία,ημερσοωπία
είδα,ρθδα,εξψα,είσσ,είδε,είδα
είπα,ςξπα,εκλα,εί΄;,είπς,είπα
είχα,39χα,εοδα,είζζ,είχδ,είχ2
θεριό,ξ3ριό,θς4ιό,θεδκό,θερκκ,θερι[
θυρεοειδής,ηηρεοειδής,θγφεοειδής,θυεςοειδής,θυρ3ιειδής,θυρελ3ιδής
ιδρύω,κψρύω,ιφδύω,ιδε6ω,ιδργβ,ιδρύγ
μοιραίο,ξπιραίο,μλξραίο,μοκ4αίο,μοι4σίο,μοιρ;θο
χημείο,συμείο,χυνείο,χηκ4ίο,χημδκο,χημε9ι
χηρεία,δβρεία,χξ4εία,χηφςία,χηρδκα,χηρεθζ
ψειρίζω,ω4ιρίζω,ψσθρίζω,ψε84ίζω,ψειφ8ζω,ψειρκχω
ψηφίο,φνφίο,ψθωίο,ψηρξο,ψηφθπ,ψηφί0
ψυγείο,δθγείο,ψττείο,ψυβ4ίο,ψυγςξο,ψυγεξκ
ωάριο,ψ;ριο,ω;φιο,ωάτκο,ωάροπ,ωάρι0
θαμμένους,7;μμένους,θζκμένους,θαξνένους,θαμκ4νους,θαμμςξους
καμένος,μσμένος,κσνένος,καξρνος,καμδξος,καμέβλς
καπνός,ισπνός,κζ-νός,κα[βός,καπηις,καπνκα
λάγνος,.σγνος,λσυνος,λάυηος,λάγμκς,λάγνια
κανέλα,λ;νέλα,κςξέλα,καμρλα,καν4κα,κανέ΄σ
καπέλα,ισπέλα,κσοέλα,κα΄ρλα,καπδ.α,καπέ.ζ
καράφλα,μζράφλα,κζφάφλα,καδ;φλα,καρσψλα,καράγοα
καρέκλα,ξσρέκλα,κζτέκλα,κα54κλα,καρςμλα,καρέξοα
καραμέλα,ξζραμέλα,κσ4αμέλα,κα4ςμέλα,καρ;ξέλα,καραξςλα
μαϊμούς,κσϊμούς,μζ9μούς,μα9κούς,μαϊξ9ύς,μαϊμπης
λίτρα,.8τρα,λ9φρα,λίυ5α,λίτ5ζ,λίτρ2
λουτρά,.πυτρά,λπ6τρά,λοθγρά,λου65ά,λουτ5;
πλατεία,0κατεία,πκστεία,πλσ5εία,πλαυσία,πλατ39α
φλάντζα,δπάντζα,φ.ζντζα,φλςβτζα,φλάβφζα,φλάνγαα
χαζά,δ;ζά,χςαά,χασζ,χαζχ,χαζα
θετικό,ιρτικό,θσυικό,θε5ξκό,θετθλό,θετιλλ
λευκό,΄δυκό,λ47κό,λεγοό,λευμ9,λευκκ
λιβυκό,κθβυκό,λθωυκό,λιγ6κό,λιβγιό,λιβυξ9
λογικό,΄λγικό,λιτικό,λοβθκό,λογοξό,λογιι0
λυρικό,οηρικό,λγ4ικό,λυ5οκό,λυροξό,λυριμπ
ξενικό,κ4νικό,ξ4ηικό,ξεηθκό,ξενκμό,ξενιμι
ξερικό,νδρικό,ξςτικό,ξεεκκό,ξερ8λό,ξεριοκ
παίξιμο,0ςίξιμο,π;9ξιμο,παθηιμο,παίη9μο,παίξκξο
παιδικό,-ςιδικό,πςκδικό,πα9ρικό,παιφ9κό,παιδ8ξό
πεζικό,-4ζικό,πσαικό,πεσοκό,πεζοξό,πεζιολ
πλέξιμο,΄΄έξιμο,π.3ξιμο,πλσιιμο,πλέθομο,πλέξονο
ταξικό,ρζξικό,τ;ιικό,ταμοκό,ταξκοό,ταξιο9
τελικό,φρλικό,τδοικό,τεκξκό,τελ9ξό,τελιοκ
τοξικό,ρ0ξικό,τλνικό,τομ8κό,τοξκλό,τοξιξ0
επιρρεπείς,ς[ιρρεπείς,ε[8ρρεπείς,επξ4ρεπείς,επιεφεπείς,επιρ54πείς
ευπρεπών,ρτπρεπών,εγορεπών,ευλδεπών,ευπ4ρπών,ευπρσ΄ών
απρεπής,ςορεπής,α΄δεπής,απ4ρπής,απρσ[ής,απρε΄υς
ευφραίνεις,σηφραίνεις,ε7ψραίνεις,ευψταίνεις,ευφτ;ίνεις,ευφρζονεις
εφορεύεις,σδορεύεις,εγιρεύεις,εφι5εύεις,εφο4δύεις,εφορσθεις
εύπεπτης,3τπεπτης,ε60επτης,εύ[δπτης,εύπσ΄της,εύπε΄5ης
θεοπρεπής,υδοπρεπής,θςιπρεπής,θει-ρεπής,θεο΄τεπής,θεοπφ4πής
αμφιρρεπείς,ςνφιρρεπείς,ακγιρρεπείς,αμρ9ρρεπείς,αμφξφρεπείς,αμφιφδεπείς
απρέπεια,ζ΄ρέπεια,α[4έπεια,απ4σπεια,απρσ-εια,απρέ-ρια
αφαίρεσης,ζδαίρεσης,αωςίρεσης,αφσκρεσης,αφαξ4εσης,αφαί44σης
διαπρεπής,εξαπρεπής,δξςπρεπής,δι;ορεπής,διαλ4επής,διαπτςπής
εκκρεμής,δοκρεμής,ελιρεμής,εκμδεμής,εκκφσμής,εκκρδκής
επιρρεπές,3λιρρεπές,ε΄8ρρεπές,επο4ρεπές,επι54επές,επιρ4σπές
ευπαθής,ς6παθής,ετ΄αθής,ευ0σθής,ευπζηής,ευπαιθς
φέρελπις,τςρελπις,φδ4ελπις,φέ43λπις,φέρ3.πις,φέρε.0ις
ζούγκλα,χ9ύγκλα,ζ9γγκλα,ζοητκλα,ζούηξλα,ζούγμπα
πουγγιά,΄λυγγιά,ππθγγιά,πο7ηγιά,πουφηιά,πουγτ8ά
καλάμι,λσλάμι,κ;΄άμι,κα΄σμι,καλςνι,καλάκ8
κορνιζα,μλρνιζα,κι4νιζα,κοεξιζα,κορξκζα,κορν8σα
λαιμος,π;ιμος,λζκμος,λαθνος,λαιν9ς,λαιμ9ε
λατζα,οστζα,λ;γζα,λαφσα,λατασ,λατζα
λεξικο,π3ξικο,λσμικο,λεηθκο,λεξοοο,λεξιμι
ζούλα,απύλα,ζ0θλα,ζο6΄α,ζούκσ,ζούλα
ζούρλα,ακύρλα,ζ96ρλα,ζοθ5λα,ζούφοα,ζούρ.ς
βούλα,ηιύλα,β9τλα,βογκα,βού΄σ,βούλα
ζουλάει,αλυλάει,ζ0θλάει,ζογκάει,ζουπσει,ζουλζ4ι
ζουμιά,χ9υμιά,ζ0τμιά,ζο6ξιά,ζουνκά,ζουμξσ
σούβλα,ε0ύβλα,σλ6βλα,σο6ωλα,σούγοα,σούβκζ
τούβλα,59ύβλα,τκθβλα,τοτνλα,τούω΄α,τούβπσ
τούρλα,6ιύρλα,τ0γρλα,το7ελα,τούδ.α,τούροζ
φούγκα,ωκύγκα,φλ6γκα,φογηκα,φούφια,φούγλ;
αίτημα,ςοτημα,αξ6ημα,αίρβμα,αίτγνα,αίτηκσ
ακόλλητος,ςξόλλητος,αοκλλητος,ακιολητος,ακόκ.ητος,ακόλ.βτος
βάζο,ησζο,β;αο,βάχ9,βάζ.,βάζλ
βόλος,ηπλος,βππος,βόκλς,βόλ9ε,βόλο2
άφιλος,σριλος,άψ9λος,άφξκος,άφιπις,άφιλι3
γλείφω,τπείφω,γο4ίφω,γλ4κφω,γλε8ωω,γλείψφ
δανεικός,σςνεικός,δσμεικός,δαβσικός,δαν3οκός,δανε9λός
διάλλειμα,χοάλλειμα,δξ;λλειμα,διζπλειμα,διάκοειμα,διάλκδιμα
δήμος,ρβμος,δγξος,δήξλς,δήμπ;,δήμος
δίστιχο,εκστιχο,δξδτιχο,δίχφιχο,δίσγ9χο,δίστοψο
έγγειος,3υγειος,έυηειος,έγφδιος,έγγρ9ος,έγγεθις
έκκληση,σξκληση,έοξληση,έκλ΄ηση,έκκκβση,έκκλβεη
εξάρτηση,3κάρτηση,εισρτηση,εξζετηση,εξά5φηση,εξάρυθση
ετοιμολογία,σφοιμολογία,ε5λιμολογία,ετπκμολογία,ετοξκολογία,ετοινιλογία
ευφορία,4γφορία,εθδορία,ευτκρία,ευφιτία,ευφο48α
εύηχα,ςτηχα,εθυχα,εύυδα,εύηζς,εύηχ1
θαλάμη,ιζλάμη,θζ.άμη,θα.ζμη,θαλζκη,θαλάξβ
θύρα,ξγρα,θθεα,θύεζ,θύρα,θύρα
ίλη,θκη,ίκβ,ίλτ,ίλι,ίλβ
ιός,κ9ς,ικε,ιός,ιό2,ιό1
Ιωνικός,Ογνικός,Ιγμικός,Ιωμ9κός,Ιωνκξός,Ιωνιο9ς
κάλλος,οσλλος,κς΄λος,κάππος,κάλ.0ς,κάλλ93
κερί,ξ3ρί,κςδί,κε4ξ,κερυ,κερλ
κλίνει,λπίνει,κκ9νει,κλ8μει,κλίηδι,κλίνρθ
κλήση,λοήση,κπγση,κλνδη,κλήχν,κλήσγ
κλήμα,μπήμα,κκξμα,κλβκα,κλήνς,κλήμα
κόμη,μ0μη,κινη,κόξβ,κόμξ,κόμτ
κόμμα,λπμμα,κκκμα,κόκξα,κόμξζ,κόμμδ
Κρητικός,Μφητικός,Κ4βτικός,Κρξ5ικός,Κρηρκκός,Κρητξλός
κινώ,ξ9νώ,κοξώ,κιββ,κινω,κινγ
λήμμα,πνμμα,λυκμα,λήξνα,λήμξς,λήμμ2
λιμός,πθμός,λ8ξός,λιν9ς,λιμλε,λιμός
λήθη,.γθη,λγιη,λή7ν,λήθξ,λήθβ
λίπη,.8πη,λο[η,λίλγ,λίπυ,λίπι
λίρα,΄θρα,λοδα,λίτζ,λίρ;,λίρα
μέλι,νσλι,μς΄ι,μέ.ξ,μέλθ,μέλθ
μέρη,κ4ρη,μςτη,μέεγ,μέρω,μέρ7
Μήλος,<υλος,Μξοος,Μήκ9ς,Μήλ9α,Μήλο4
μήτρα,κγτρα,μυφρα,μή55α,μήτ4σ,μήτρ1
μοιχός,κιιχός,μικχός,μοοψός,μοιψλς,μοιχ9;
μηλιά,κυλιά,μθοιά,μηποά,μηλθσ,μηλις
νίκη,β8κη,ν9μη,νίον,νίκω,νίκξ
νότα,βλτα,νλ5α,νό6ς,νότ3,νότα
ξηρός,ηγρός,ξγτός,ξη49ς,ξηρ0σ,ξηρόδ
όμως,ικως,όνγς,όμβ2,όμωσ,όμω4
όρος,πφος,ό4ις,όρ9σ,όροδ,όρος
πάλι,λ;λι,πςπι,πά΄9,πάλ8,πάλκ
πήρα,λγρα,πξ5α,πήτ;,πήρ2,πήρα
πυθών,λ7θών,πγξών,πυυγν,πυθφμ,πυθώβ
πολύ,0πλύ,ππ.ύ,πο.7,πολν,πολρ
πιάνο,[8άνο,πθςνο,πι;ηο,πιάμ9,πιάνμ
ποιά,λ0ιά,π98ά,ποθζ,ποια,ποιχ
παράλειψη,[;ράλειψη,πστάλειψη,πα5ςλειψη,παρ;πειψη,παρά΄διψη
ρήμα,5υμα,ρβξα,ρήξς,ρήμσ,ρήμα
σατυρικός,αστυρικός,σ;υυρικός,σαρηρικός,σατη4ικός,σατυδ9κός
σήκω,ευκω,σνμω,σήλβ,σήκω,σήκφ
σκηνή,ςιηνή,σοθνή,σκββή,σκημυ,σκηνξ
σορός,ζλρός,σκ4ός,σοφις,σορ9σ,σορό3
στίχος,ζ6ίχος,συοχος,στ9δος,στίψις,στίχ0ε
στήλη,χφήλη,σ6βλη,στγ΄η,στή.γ,στήλω
τείχος,υσίχος,τδ9χος,τεθψος,τείδ0ς,τείχλ;
τόπι,υ9πι,τπ[ι,τό΄9,τόπυ,τόπκ
τύχη,υ7χη,τηση,τύδβ,τύχ8,τύχβ
τυρί,5γρί,τττί,τυ49,τυρι,τυρλ
φύλλο,ψθλλο,φγκλο,φύοοο,φύλ.λ,φύλλ8
φυτό,ρ7τό,φθγό,φυυι,φυτπ,φυτπ
φυλή,ρ6λή,φηπή,φυκγ,φυλθ,φυλη
χήρος,ψνρος,χνφος,χήδπς,χήρια,χήρο;
χορικός,ψ0ρικός,χκτικός,χοδκκός,χορθοός,χοριλλς
ψηλός,δθλός,ψυοός,ψηπ0ς,ψηλπ3,ψηλό;
χοίρων,ψλίρων,χπξρων,χο84ων,χοίφφν,χοίρφξ
ωράριο,ψ4άριο,ω4;ριο,ωρζειο,ωρά5θο,ωράρ8λ
Ααρών,΅;ρών,Α;τών,Αα4βν,Ααργη,Ααρώυ
Βελισσάριος,Η4λισσάριος,Β3οισσάριος,Βεκ9σσάριος,Βελθζσάριος,Βελιχχάριος
Εύδημος,Ρ6δημος,Ετρημος,Εύενμος,Εύδυξος,Εύδηξπς
Κανέλος,Ξςνέλος,Κζμέλος,Καμσλος,Καν4.ος,Κανέ΄9ς
Νικόλαος,Ξ8κόλαος,Νκιόλαος,Νιολλαος,Νικλ΄αος,Νικόπςος
Ρωμύλος,Εγμύλος,Ρφνύλος,Ρων7λος,Ρωμ6οος,Ρωμύ΄κς
Φωτάς,Δγτάς,Φψφάς,Φωφσς,Φωτςσ,Φωτάς
Αγάθη,Σωάθη,Αφ;θη,Αγςηη,Αγάξθ,Αγάθκ
Γιαννιώ,Φξαννιώ,Γξςννιώ,Γι;ξνιώ,Γιαμηιώ,Γιανηθώ
Θεονίκη,Ισονίκη,Θ39νίκη,Θε9μίκη,Θεοξξκη,Θεονοξη
Μαρκέλλα,Ξζρκέλλα,Μ;4κέλλα,Μαδλέλλα,Μαρξςλλα,Μαρκ3΄λα
Ρούλα,Επύλα,Ρκ7λα,Ρο7οα,Ρούο;,Ρούλα
