πατρίδα,[ςγρίδα,πσρείδα,παγτκδα,πατφθψα
διάμεσος,ρ8ςμεσος,δ8σξεσος,δισνδσος,διάνρςος
διαβάζεις,φξζβάζεις,δξ;ωάζεις,διςγσζεις,διαη;αεις
διαβαίνεις,εκςβαίνεις,δξςηαίνεις,διζωσίνεις,διαησονεις
διαγώνιος,εθσγώνιος,δοζτώνιος,διστγνιος,διαηγμιος
διακαές,σ8;καές,δ8;ξαές,δισμζές,διαο;ςς
διαμάχης,ρ8;μάχης,δ8σκάχης,διζκςχης,διακζδης
διαπνοή,σοςπνοή,δ8ζ-νοή,διζλβοή,δια0ηπή
διαφαίνομαι,ροζφαίνομαι,δξζωαίνομαι,δισωσίνομαι,διατςξνομαι
δικέφαλος,φθμέφαλος,δκο3φαλος,διξρωαλος,δικ4τ;λος
ένσημα,3βδημα,έξζνμα,ένεβνα,ένσγκ;
βούτημα,νπ7τημα,βι66ημα,βογυυμα,βούγυκα
γέννημα,ω4βνημα,γ3βμημα,γέηβνμα,γένββκα
εκτιμάω,ςι6ιμάω,εμρομάω,εκυθκάω,εκτθκ;ω
ερώτημα,δφγτημα,ετγφημα,εργφξμα,ερώγξξα
εστία,σχγία,εδγξα,εσ69σ,εστ8χ
εύρημα,ργ5ημα,ετ5θμα,εύφγνα,εύρνξ;
εύφημα,στγημα,ε7γυμα,εύδβξα,εύφθξζ
κλίμα,ξπομα,κ.9ξα,κλονζ,κλίκσ
κρίμα,μεκμα,κτθκα,κρ8κζ,κρίκχ
πέταμα,λ36αμα,π36ζμα,πέρζξα,πέτςξ;
πέτυχα,[ςγυχα,π46γχα,πέ57σα,πέτ6ζζ
ποίημα,οκοημα,πκ8νμα,πο9γνα,ποίυνζ
στέμμα,ς6ςμμα,σ5δξμα,στ4ξκα,στέννς
σχήμα,χψθμα,σψξκα,σχγκζ,σχήν;
έγκαιρος,ςβιαιρος,έημ;ιρος,έγιζ8ρος,έγκ;9εος
έπακρος,4-ςκρος,έ΄ςξρος,έπςοφος,έπαοφλς
έτερος,σ5ςρος,έ5ς5ος,έτςφπς,έτεδλσ
ημερολόγιον,βνσρολόγιον,ηκρ4ολόγιον,ημδτκλόγιον,ημε49οόγιον
αερολογία,ς35ολογία,α3τκλογία,αεφιπογία,αερλ΄λγία
ημερολογιακή,γξςρολογιακή,ηξςτολογιακή,ημ4τπλογιακή,ημεε9.ογιακή
ιδεολογία,8σρολογία,ιρ4ιλογία,ιδσλ΄ογία,ιδεππ0γία
ιδεολογικό,οψρολογικό,ιχδκλογικό,ιδςι.ογικό,ιδεππ0γικό
διαιτολόγιό,χ8ςιτολόγιό,δκζ8τολόγιό,δισο5ολόγιό,διακ6κλόγιό
μοιρολογάω,κιορολογάω,μ985ολογάω,μοο5κλογάω,μοιφι.ογάω
ημεραλωπία,γν4ραλωπία,ηνςφαλωπία,ημρ5ςλωπία,ημεδ;πωπία
είδα,ροσα,εοε;,είφα,είδ2
είπα,ςξοα,εκος,εί[ζ,είπζ
είχα,ςξδα,εξδζ,είσα,είχχ
θεριό,η4διό,θστοό,θετ9ι,θερκ8
θυρεοειδής,ηττεοειδής,θ653οειδής,θυες9ειδής,θυρδκ3ιδής
ιδρύω,θσ4ύω,ισδ7ω,ιδτθφ,ιδρ7γ
μοιραίο,κκκραίο,μιξ4αίο,μο95ζίο,μοιδζ9ο
χημείο,σθνείο,χυκςίο,χηκςκο,χημσ9λ
χηρεία,σθφεία,χυδ3ία,χηφδοα,χηρσ8σ
ψειρίζω,φρ9ρίζω,ψ4κείζω,ψεκ4ξζω,ψειε8χω
ψηφίο,ωνρίο,ψυτ8ο,ψηδξ9,ψηφκ9
ψυγείο,φγφείο,ψ7ησίο,ψυηδξο,ψυγσθι
ωάριο,φζειο,ωςφκο,ωά4θ9,ωάρξ8
θαμμένους,7σνμένους,θ;κκένους,θανν3νους,θαμκδβους
καμένος,ιζξένος,κσνρνος,καξ4ξος,καμ3ηλς
καπνός,ο;λνός,κς[ηός,κα0ηπς,καπμκε
λάγνος,.;υνος,λςτηος,λάωηλς,λάγβ03
κανέλα,ο;ηέλα,κσβσλα,καβδ.α,κανρ.;
καπέλα,ξ;οέλα,κσ04λα,κα-ρκα,καπς΄ς
καράφλα,ο;4άφλα,κζ4ςφλα,κα4;τλα,καρσψπα
καρέκλα,ις4έκλα,κζ44κλα,καερλλα,καρσμοα
καραμέλα,οζ5αμέλα,κςεζμέλα,καεζξέλα,καρζνρλα
μαϊμούς,κζθμούς,μζξκούς,μακνιύς,μαϊνπγς
λίτρα,.96ρα,λο5τα,λίρ5ζ,λίτ5ς
λουτρά,κιθτρά,λιηγρά,λοη5φά,λου5τς
πλατεία,λπστεία,π.ςφεία,πλσ6ρία,πλαφδ9α
φλάντζα,τ΄;ντζα,φ΄σξτζα,φλςξ5ζα,φλάξ6σα
χαζά,ψ;χά,χσσζ,χασ2,χαζσ
θετικό,ηςυικό,θςφθκό,θε5κξό,θετκο0
λευκό,πσθκό,λδηιό,λε6μλ,λευξ.
λιβυκό,κκνυκό,λκηηκό,λιη6μό,λιβθξ0
λογικό,.ληικό,λκυθκό,λοτθμό,λογοολ
λυρικό,π75ικό,λ6τξκό,λυ5κοό,λυρ8λ9
ξενικό,κ3βικό,ξσβξκό,ξεμκλό,ξενξξ9
ξερικό,θδ5ικό,ξστθκό,ξε4θξό,ξερθμι
παίξιμο,λςξξιμο,πσ8ιιμο,παοκομο,παίνκξο
παιδικό,λσ8δικό,πσ9ρικό,παθχξκό,παιφοιό
πεζικό,ο3αικό,πςσ8κό,πεα8ιό,πεζομκ
πλέξιμο,0ο4ξιμο,πκσηιμο,πλ3ν9μο,πλέη9ξο
ταξικό,5σνικό,τ;κ9κό,ταικμό,ταξξξκ
τελικό,5σκικό,τσοοκό,τεκκλό,τελθξπ
τοξικό,φ9μικό,τκηξκό,τομ9ιό,τοξ8ξ9
επιρρεπείς,ρ0ξρρεπείς,ε0ξ5ρεπείς,επ9δφεπείς,επιφδρπείς
ευπρεπών,ς6λρεπών,ετ[4επών,ευ΄ε3πών,ευπδσ-ών
απρεπής,;οεεπής,α[τ3πής,απφδ-ής,απρσ΄βς
ευφραίνεις,ρ6ωραίνεις,εηγταίνεις,ευωεζίνεις,ευφ5σ8νεις
εφορεύεις,3τ9ρεύεις,εδπ4εύεις,εφ0δςύεις,εφο5ρ7εις
εύπεπτης,ςθλεπτης,ετ΄4πτης,εύ0δ0της,εύπ3ουης
θεοπρεπής,υςππρεπής,θ3κ[ρεπής,θειλεεπής,θεοοφδπής
αμφιρρεπείς,ζκγιρρεπείς,ακωξρρεπείς,αμρ8τρεπείς,αμφξ54επείς
απρέπεια,ζ05έπεια,α0τ3πεια,απεσοεια,απρ3οδια
αφαίρεσης,ςρζίρεσης,αγςθρεσης,αφ;ο4εσης,αφα853σης
διαπρεπής,ψ9ςπρεπής,δθζ0ρεπής,διζ0τεπής,διαοδ4πής
εκκρεμής,δομρεμής,εμοφεμής,εκλ4ςμής,εκκτρκής
επιρρεπές,ς-θρρεπές,εο8ερεπές,επ9φ5επές,επιφ5σπές
ευπαθής,δτ΄αθής,ετ΄σθής,ευ-σ7ής,ευπ;ηγς
φέρελπις,ρσ5ελπις,φρ4ρλπις,φέδσοπις,φέρς΄λις
ζούγκλα,αιτγκλα,ζιτηκλα,ζοθτξλα,ζούυιπα
πουγγιά,ο9ηγγιά,ππττγιά,ποηφβιά,πουηβ8ά
καλάμι,ις.άμι,κσ΄σμι,κα.ςξι,καλ;κ8
κορνιζα,οπτνιζα,κ9δμιζα,κο5ξ9ζα,κορξθαα
λαιμος,π;ξμος,λζ9ξος,λαονπς,λαινκ2
λατζα,.ζγζα,λςραα,λα6σζ,λατασ
λεξικο,οσμικο,λ4μ9κο,λεκ8οο,λεξ8ι0
ζούλα,χ07λα,ζλτοα,ζογκ;,ζού΄α
ζούρλα,σκτρλα,ζ0θ4λα,ζο7τοα,ζούεο;
βούλα,ω96λα,βιγ.α,βο6΄ς,βούοα
ζουλάει,αληλάει,ζπτ΄άει,ζο6οζει,ζου.;4ι
ζουμιά,α0γμιά,ζ9τνιά,ζοτν9ά,ζουνξς
σούβλα,χιηβλα,σλγγλα,σο6ωοα,σούω΄;
τούβλα,φιθβλα,τ9θγλα,τοτη.α,τούηοσ
τούρλα,γ9τρλα,τι6τλα,τοθ4κα,τού5κσ
φούγκα,τπτγκα,φ0γφκα,φοθηοα,φούωι;
αίτημα,σθφημα,αθρυμα,αί5υκα,αίτβκ;
ακόλλητος,ζιιλλητος,αοικλητος,ακικ΄ητος,ακό΄.ντος
βάζο,η;σο,βσχ9,βάσο,βάζο
βόλος,γιοος,βκππς,βόοισ,βόλλζ
άφιλος,σγκλος,άρ9.ος,άφ8΄ις,άφι.λ3
γλείφω,τπ4ίφω,γορ8φω,γλδ8ωω,γλεξρψ
δανεικός,εζμεικός,δςμ4ικός,δαμ3οκός,δανσ8οός
διάλλειμα,φ9σλλειμα,δξζ΄λειμα,δι;..ειμα,διά..3ιμα
δήμος,σνξος,δθνις,δήνισ,δήμκ4
δίστιχο,χκζτιχο,δκχφιχο,δία68χο,δίσ6ξζο
έγγειος,3βωειος,έηφ4ιος,έγωσ8ος,έγγ4θ9ς
έκκληση,σλοληση,έομ΄ηση,έκλογση,έκκπνεη
εξάρτηση,ρμ;ρτηση,εμσ4τηση,εξ;δρηση,εξάφ5νση
ετοιμολογία,δ6ιιμολογία,ερκκμολογία,ετλκνολογία,ετο8κιλογία
ευφορία,ςθωορία,εθτκρία,ευωλδία,ευφπφ9α
εύηχα,3γγχα,εθβσα,εύξζσ,εύηψ2
θαλάμη,ξζπάμη,θσκζμη,θαπ;νη,θαλ;κν
θύρα,υ75α,θτφσ,θύεε,θύρς
ίλη,ο.β,ί.ν,ίλη,ίλν
ιός,ξ92,ιλ3,ιό`,ιόζ
Ιωνικός,Θψηικός,Ιψβθκός,Ιωηθλός,Ιωνθοπς
κάλλος,ιζπλος,κς΄πος,κάο.πς,κάλκπε
κερί,λρτί,κδ59,κε49,κερ7
κλίνει,ξπκνει,κο9βει,κλξησι,κλίβσθ
κλήση,οπβση,κ΄θδη,κλυζθ,κλήζω
κλήμα,λπνμα,κκγνα,κλννς,κλήνχ
κόμη,λ9κη,κλνγ,κόξν,κόμγ
κόμμα,οιξμα,κικξα,κόνκς,κόμξα
Κρητικός,Μ4γτικός,Κεγγικός,Κρβρκκός,Κρη6κλός
κινώ,ικξώ,κθξψ,κιξω,κινφ
λήμμα,΄νκμα,λγξξα,λήκκσ,λήμκ2
λιμός,.9νός,λοκ9ς,λιξπε,λιμλρ
λήθη,ου7η,λυ7υ,λήυυ,λήθ6
λίπη,κο-η,λ9΄γ,λίομ,λίπ6
λίρα,π84α,λ84;,λίφ2,λίρ1
μέλι,ξρ΄ι,μρπκ,μέκ9,μέλι
μέρη,ξ4εη,μρδθ,μέδω,μέρφ
Μήλος,<υ΄ος,Μθ΄πς,Μήπ9α,Μήλπ3
μήτρα,κν6ρα,μγρφα,μήγ4ς,μήτδς
μοιχός,ξκξχός,μ9κζός,μοοδ9ς,μοιψ0;
μηλιά,κξοιά,μξπκά,μηο8ζ,μηλος
νίκη,μθμη,νθξυ,νίμω,νίκμ
νότα,ξ96α,νκρσ,νόυς,νότσ
ξηρός,μγ5ός,ξυδ9ς,ξη5κ3,ξηρ9ζ
όμως,κξψς,όκγ2,όμβ4,όμωψ
όρος,πε0ς,όδλα,όρ0ζ,όρο2
πάλι,λζ.ι,π;ο8,πά.η,πάλ9
πήρα,λξτα,πβφ;,πήες,πήρς
πυθών,οθιών,πγ7ψν,πυ8φβ,πυθφθ
πολύ,00κύ,πκ΄γ,ποκξ,πολυ
πιάνο,΄ο;νο,π8;ηο,πιςβι,πιάβο
ποιά,΄κ8ά,πιθς,ποξ3,ποιδ
παράλειψη,΄;εάλειψη,πσ5;λειψη,πατ;.ειψη,παρ;΄4ιψη
ρήμα,τγνα,ργξζ,ρήξε,ρήμα
σατυρικός,ε;6υρικός,σ;υτρικός,σαγθ4ικός,σατθδξκός
σήκω,εγιω,σνξβ,σήξω,σήκδ
σκηνή,αμννή,σμξμή,σκβξξ,σκηξ6
σορός,ελ5ός,σ9επς,σοεκσ,σορλ;
στίχος,ευθχος,σφκσος,στοζ0ς,στίψ93
στήλη,ζγυλη,σ5βκη,στγκξ,στή΄θ
τείχος,γδξχος,τ48ζος,τεξσ9ς,τείσ0σ
τόπι,υπλι,τι΄ξ,τό[ι,τόπ8
τύχη,5γση,ττσν,τύδκ,τύχβ
τυρί,5θδί,τηδ9,τυει,τυρι
φύλλο,ωθ΄λο,φτο΄ο,φύποκ,φύλκπ
φυτό,ψ7ρό,φ6γκ,φυρθ,φυτπ
φυλή,τγοή,φηκυ,φυ.ν,φυλβ
χήρος,σθδος,χγ4κς,χήδλα,χήρ02
χορικός,δ0δικός,χ0δξκός,χοτολός,χορκολς
ψηλός,φβπός,ψβ΄ις,ψηολ2,ψηλι2
χοίρων,ζι8ρων,χ0ο5ων,χοξ5ψν,χοί5φβ
ωράριο,φ5ζριο,ωδζδιο,ωρςφκο,ωράτκ9
Ααρών,Ζζφών,Αςφβν,Αα4φξ,Ααρβκ
Βελισσάριος,Γρκισσάριος,Β3π8σσάριος,Βεπκεσάριος,Βελ8εδάριος
Εύδημος,Δηφημος,Εηψγμος,Εύσγνος,Εύδβκ9ς
Κανέλος,Ισβέλος,Κ;ησλος,Καμσοος,Κανςκις
Νικόλαος,Βοοόλαος,Ν9ι9λαος,Νιξκπαος,Νικ0κσος
Ρωμύλος,%βκύλος,Ργν6λος,Ρων7.ος,Ρωμ7π9ς
Φωτάς,Δβφάς,Φβφ;ς,Φωγσσ,Φωτ;1
Αγάθη,:ωςθη,Αυςιη,Αγσξγ,Αγάιβ
Γιαννιώ,Υξσννιώ,Γοςμνιώ,Γιζξηιώ,Γιαξμκώ
Θεονίκη,Ηδπνίκη,Θ39βίκη,Θεκξκκη,Θεοηξξη
Μαρκέλλα,Νσφκέλλα,Μ;τοέλλα,Μαφξ3λλα,Μαρο3πλα
Ρούλα,Τιτλα,Ρπθ΄α,Ρο6κζ,Ρού΄;
