πατρίδα,0σγρίδα,πσρτίδα,παρτ9δα,πατφθχα
κανενός,ι;ηενός,κ;ξ3νός,καβδηός,κανςηπς
λαιμός,οσ9μός,λζθξός,λα9νλς,λαικ9;
φανερός,ρ;ξερός,φζβδρός,φαξ4τός,φαν4φ0ς
απλός,σ΄κός,α0οις,απππ;,απλιζ
βάλτος,γζ΄τος,β;κυος,βάορλς,βάλγκα
βάτος,ν;γος,βσ6ις,βάρπ;,βάτ9ς
βέλος,γρκος,β3ο0ς,βέκκ2,βέλ9α
βέτο,γ36ο,βδ5κ,βέρ΄,βέτκ
δέος,φσπς,δς03,δέ0ς,δέοσ
ιστός,θδ6ός,ιχφις,ισρ03,ιστλρ
κάθετος,ξς8ετος,κςηρτος,κάιρ5ος,κάθ3ρλς
κάκτος,ξσμτος,κ;μ5ος,κάλφις,κάκ5πα
κήτος,μξρος,κγυπς,κήρλα,κήτπς
καινός,ξς8νός,κζ9μός,καξξις,καιμι;
καιρός,ιζ9ρός,κζ8εός,κα9φπς,καιτλ3
καυτός,ι;θτός,κςγ6ός,καγρ9ς,καυυ9α
κενός,μρμός,κδμλς,κεβκσ,κενι4
λιτός,΄ξγός,λθφ0ς,λι6λ3,λιτ9ε
λωτός,οψ6ός,λφγκς,λωγλα,λωτι2
ρητώς,4θ5ώς,ρυγφς,ρη5β3,ρητβσ
φαεινός,γ;σινός,φζς8νός,φα4ξμός,φαεομ9ς
φελλός,τδολός,φδοοός,φε.πλς,φελκκε
ψητός,ωυ6ός,ψυρ9ς,ψηυλ3,ψητ01
βλήμα,ωονμα,β΄γκα,βλβνζ,βλήκα
άθλημα,σ7΄ημα,άυ.νμα,άθογνα,άθλγνζ
έγκλημα,4βλλημα,έτξπημα,έγξ΄ξμα,έγκουκα
έλλειμμα,σ΄.ειμμα,έ΄πσιμμα,έλπ3ξμμα,έλλ49ξμα
ασχήμια,ζςσήμια,αζψυμια,ασσγνια,ασχξξ9α
βλέμμα,ν.ςμμα,βπσκμα,βλςνκα,βλένκ;
δουλειά,σιηλειά,δπθπειά,δογ΄σιά,δουκ4θά
ζημιά,χνκιά,ζγκθά,ζηξοζ,ζημκε
ηλίθια,νοθθια,ηκκηια,ηλθξκα,ηλί7ος
ηλικία,βοξκία,η΄οξία,ηλξλξα,ηλιιξσ
θέλημα,υδ΄ημα,θςοξμα,θέ.βξα,θέλξκζ
κάλυμμα,ο;ουμμα,κ;κημμα,κά.τκμα,κάλ6ννα
καλάμια,ι;.άμια,κζο;μια,κα΄σνια,καλσνξα
κόλλημα,ο0΄λημα,κ9ο΄ημα,κόποθμα,κόλκνξα
μούμια,νκτμια,μκ6κια,μοτνοα,μούνξσ
ντουλάπα,βγλυλάπα,ν6πγλάπα,ντ9θ.άπα,ντοη΄ςπα
πλημμύρα,-.ξμμύρα,πκξκμύρα,πλγξνύρα,πληξξ7ρα
φίλημα,ψξ΄ημα,φξ΄βμα,φίοβξα,φίλξν;
φουλάρια,ω9γλάρια,φπηπάρια,φο7.ςρια,φουπσ5ια
θάνατος,ιςβατος,θζμ;τος,θάξσφος,θάνςγις
κανίβαλος,λσμίβαλος,κζμ9βαλος,καη8γαλος,κανκν;λος
σανδάλι,ασμδάλι,σζβφάλι,σαβψ;λι,σανφζοι
σανδάλια,χ;βδάλια,σ;ξσάλια,σαηχζλια,σανψσοια
σκάνδαλο,αοζνδαλο,σισβδαλο,σκσηφαλο,σκάξφζλο
άρδην,ζ5ψην,άφρβν,άρψυη,άρδυθ
βάφουν,ηζψουν,βςωπυν,βάδ96ν,βάφπθη
βαδίζω,νζρίζω,β;χθζω,βαροχω,βαδ8χβ
βαρούν,νζ5ούν,βστ0ύν,βατκγν,βαρλ6β
βαρύνει,ν;τύνει,βσε7νει,βατθμει,βαρ6βσι
βοδινό,ωλσινό,βκψξνό,βοψ8ηό,βοδ9βπ
γάλα,ωςκα,γσ΄;,γά΄α,γάλζ
θέτω,8ρ6ω,θςυβ,θέ6φ,θέτ5
ντουέτο,βριυέτο,νφ0γέτο,ντλγρτο,ντοηςρο
γαβγίσματα,βζηγίσματα,γ;ωφίσματα,γαηωοσματα,γαβωκζματα
ράβδισμα,εςνδισμα,ρσωχισμα,ράηχξσμα,ράβχξαμα
άθροισμα,;ηδοισμα,ά8ε9ισμα,άθφκοσμα,άθρλκεμα
τραύλισμα,φ5;ύλισμα,ττζ7λισμα,τρζηπισμα,τρα6΄οσμα
χάρισμα,ζςεισμα,χς4κσμα,χά49ζμα,χάρ8εκα
αδιαφανής,ζφκαφανής,ασθσφανής,αδοζτανής,αδισω;νής
διαφάνεια,εθζφάνεια,δ9σράνεια,διςδσνεια,διαψζξεια
δίγραμμος,ρξτραμμος,δοβδαμμος,δίηφ;μμος,δίγ4ςνμος
δίκαννο,ψθοαννο,δ9λ;ννο,δίξςηνο,δίκ;ξμο
δίχρονος,σοσρονος,δθζτονος,δίψδλνος,δίχτ9βος
διάλογος,εκσλογος,δ9;πογος,δισ΄ιγος,διάκπβος
διάμεσος,ε9;μεσος,δοζνεσος,δι;κ4σος,διάκσεος
διαβάζεις,σθζβάζεις,δοζγάζεις,δι;ωςζεις,διαησσεις
διαβαίνεις,εο;βαίνεις,δκςωαίνεις,δισγσίνεις,διανςονεις
διαγώνιος,ρ8ζγώνιος,δ9;φώνιος,δισφψνιος,διαωφβιος
διακαές,εξσκαές,δθ;λαές,δι;λ;ές,διαμσρς
διαμάχης,ψθ;μάχης,δξ;ξάχης,διςνζχης,διαξςσης
διαπνοή,ρθ;πνοή,δθζ[νοή,δις0βοή,δια[μλή
διαφαίνομαι,ροζφαίνομαι,δο;ψαίνομαι,διςδ;ίνομαι,διαω;8νομαι
δικέφαλος,χ9μέφαλος,δξλδφαλος,διλρραλος,δικ4γζλος
ένσημα,3βεημα,έηχθμα,ένευξα,ένσβνζ
βούτημα,ω0θτημα,βλτ6ημα,βοηφβμα,βούυγξα
γέννημα,ωσηνημα,γδββημα,γέμξξμα,γένηβνα
εκτιμάω,δμγιμάω,ειγκμάω,εκγκκάω,εκτξκζω
ερώτημα,3δγτημα,ε4φ5ημα,ερψρυμα,ερώφνξα
εστία,δα6ία,εε59α,εσγκσ,εστο2
εύρημα,3θφημα,εθτνμα,εύ4ξξα,εύργξσ
εύφημα,ργρημα,ετδβμα,εύρβνα,εύφθξζ
κλίμα,ιπ8μα,κο8να,κλ9νς,κλίξ3
κρίμα,οεξμα,κ5οξα,κρξνζ,κρίνα
πέταμα,[ςυαμα,πσφ;μα,πέυ;κα,πέτσξσ
πέτυχα,οσ5υχα,πςυγχα,πέφηζα,πέτ7δσ
ποίημα,λ0ξημα,πλουμα,ποξγξα,ποίθν;
στέμμα,χρςμμα,σρδξμα,στδκνα,στέννσ
σχήμα,ασνμα,σδθξα,σχξκσ,σχήνς
έγκαιρος,σηλαιρος,έτξςιρος,έγλςθρος,έγκζ8τος
έπακρος,σοζκρος,έοςλρος,έπσλ4ος,έπαιεπς
έτερος,4φρρος,έ6ςεος,έτδτκς,έτεδπε
ημερολόγιον,νκδρολόγιον,ηκρτολόγιον,ημςειλόγιον,ημε49οόγιον
αερολογία,σ3τολογία,αδεκλογία,αε4κπογία,αερπ.λγία
ημερολογιακή,ξνδρολογιακή,ηκςδολογιακή,ημδ49λογιακή,ημε49κογιακή
ιδεολογία,9σδολογία,ιρδ9λογία,ιδρκπογία,ιδε0πλγία
ιδεολογικό,κφσολογικό,ιχδπλογικό,ιδδιοογικό,ιδε9.9γικό
διαιτολόγιό,εοσιτολόγιό,δοσθτολόγιό,δισκρολόγιό,δια860λόγιό
μοιρολογάω,ξπκρολογάω,μ08τολογάω,μοξφκλογάω,μοιει.ογάω
ημεραλωπία,βνςραλωπία,ηκρ5αλωπία,ημρφ;λωπία,ημε5σοωπία
είδα,ς8εα,εξφ;,είρα,είδρ
είπα,σξοα,εοοζ,εί΄ς,είπδ
είχα,σ9ψα,εξδζ,είζ2,είχψ
θεριό,υ3ειό,θς5θό,θετθ9,θερθ9
θυρεοειδής,ιη4εοειδής,θ7φςοειδής,θυεσλειδής,θυρ393ιδής
ιδρύω,8ρ4ύω,ιψτγω,ιδφ7γ,ιδρ6φ
μοιραίο,κλοραίο,μλ8ταίο,μοο5ςίο,μοιδζξο
χημείο,δβξείο,χβνδίο,χηνσοο,χημροπ
χηρεία,ζξ5εία,χνφ4ία,χηε4ξα,χηρρθς
ψειρίζω,ωσκρίζω,ψσο5ίζω,ψεκ4οζω,ψειτοχω
ψηφίο,ωυψίο,ψξρθο,ψηψ9ι,ψηφ9[
ψυγείο,χ7ωείο,ψ7η3ίο,ψυη38ο,ψυγσθπ
ωάριο,βζφιο,ωςεξο,ωά4θλ,ωάρ9ο
θαμμένους,8σξμένους,θ;κνένους,θανκρνους,θαμκ4ηους
καμένος,οσνένος,κζν3νος,καν3ξος,καμςβ9ς
καπνός,ισλνός,κςοηός,καλμ9ς,καπβκα
λάγνος,΄σφνος,λ;υμος,λάφηλς,λάγμλα
κανέλα,λςξέλα,κςβ3λα,καξςπα,κανςπς
καπέλα,ις0έλα,κσ0ρλα,κα΄ςπα,καπςος
καράφλα,ισ5άφλα,κςδ;φλα,κατστλα,καρστ΄α
καρέκλα,ιζδέκλα,κ;δρκλα,καεσιλα,καρροκα
καραμέλα,οσ4αμέλα,κ;τ;μέλα,κατσνέλα,καρςξδλα
μαϊμούς,ξς8μούς,μςοκούς,μαοξλύς,μαϊν0γς
λίτρα,οθ5ρα,λκγτα,λίγφς,λίτεδ
λουτρά,.κττρά,λπηφρά,λοτ5εά,λου65σ
πλατεία,ο.στεία,π.ςυεία,πλζγδία,πλαρδξα
φλάντζα,τοςντζα,φπ;ητζα,φλςη6ζα,φλάη5αα
χαζά,σςσά,χσαζ,χασα,χαζσ
θετικό,ξ4γικό,θρ5οκό,θεγθλό,θετξλ9
λευκό,΄δ6κό,λδθξό,λετοκ,λευμκ
λιβυκό,.ονυκό,λκω6κό,λιω6οό,λιβτλλ
λογικό,κ0ωικό,λκυξκό,λου9μό,λογκμπ
λυρικό,οθδικό,λγφοκό,λυ5θιό,λυροξκ
ξενικό,μςμικό,ξρξοκό,ξεμκοό,ξενκξ9
ξερικό,μσ5ικό,ξσεξκό,ξετθμό,ξεροοκ
παίξιμο,[;9ξιμο,πσξιιμο,παξηκμο,παίμ8κο
παιδικό,[σοδικό,π;9ψικό,παθφθκό,παισκξό
πεζικό,[3αικό,πσσκκό,πεαξμό,πεζ9ξκ
πλέξιμο,-΄ρξιμο,πκ4νιμο,πλ4ν9μο,πλέκ8νο
ταξικό,γζιικό,τςκξκό,ταηκμό,ταξ9μκ
τελικό,53΄ικό,τρ΄κκό,τεπκοό,τελοι0
τοξικό,υ9ηικό,τκθθκό,τοηθοό,τοξκλκ
επιρρεπείς,4οκρρεπείς,ε0κτρεπείς,επξφ5επείς,επι55δπείς
ευπρεπών,ρτορεπών,ε6΄εεπών,ευ[φςπών,ευπ43΄ών
απρεπής,;[εεπής,α-4ςπής,απδδ΄ής,απρδ-υς
ευφραίνεις,σηγραίνεις,ε7ψταίνεις,ευρεζίνεις,ευφτζκνεις
εφορεύεις,3τπρεύεις,ετι4εύεις,εφι4σύεις,εφοδ4τεις
εύπεπτης,σ6οεπτης,ετ[ρπτης,εύλδ[της,εύπρ-6ης
θεοπρεπής,8ς9πρεπής,θσ90ρεπής,θελ[εεπής,θεολδρπής
αμφιρρεπείς,ςξριρρεπείς,ανω9ρρεπείς,αμωθ4ρεπείς,αμφθ45επείς
απρέπεια,σλδέπεια,αλε3πεια,απ5ρ[εια,απρσ[ςια
αφαίρεσης,ζδσίρεσης,αρ;ξρεσης,αφςξδεσης,αφακφδσης
διαπρεπής,χ9;πρεπής,δ9ζλρεπής,διζλεεπής,δια΄τσπής
εκκρεμής,4οιρεμής,ειι4εμής,εκοτ3μής,εκκ4ρξής
επιρρεπές,ροορρεπές,ελο5ρεπές,επ8δτεπές,επιδφρπές
ευπαθής,36οαθής,ετ΄ζθής,ευ[ζιής,ευπςξβς
φέρελπις,ρ4τελπις,φ45ςλπις,φέτδκπις,φέρροοις
ζούγκλα,χ97γκλα,ζιτωκλα,ζο7βολα,ζούωμκα
πουγγιά,΄κγγγιά,π0τφγιά,ποθτβιά,πουωφξά
καλάμι,οςπάμι,κσ.;μι,κα.ςνι,καλσκ8
κορνιζα,ιιδνιζα,κ9δμιζα,κοδβ8ζα,κορμοχα
λαιμος,πζξμος,λσκκος,λακξκς,λαιξ9ε
λατζα,.ςρζα,λζρσα,λαρας,λατας
λεξικο,οςκικο,λςι9κο,λεν8ξο,λεξ8μλ
ζούλα,χλ7λα,ζκτκα,ζοτ.;,ζού.ς
ζούρλα,σπ6ρλα,ζλ7φλα,ζο6δκα,ζού4πς
βούλα,γιγλα,βλ7πα,βοτ.ζ,βούπ1
ζουλάει,σληλάει,ζ97΄άει,ζοθπσει,ζου.;σι
ζουμιά,απημιά,ζπτνιά,ζο6νθά,ζουκοσ
σούβλα,διγβλα,σιηηλα,σογω.α,σούγπς
τούβλα,φ0ηβλα,τλγηλα,τοηωοα,τούγοσ
τούρλα,γλ6ρλα,τκ6φλα,το65.α,τούδ.;
φούγκα,τ0ηγκα,φπττκα,φο7τλα,φούβιζ
αίτημα,;ο6ημα,ακφγμα,αίργκα,αίτθνσ
ακόλλητος,σλ0λλητος,αξπ.λητος,ακ0οοητος,ακόκ΄θτος
βάζο,ν;σο,β;σπ,βάχπ,βάζκ
βόλος,ν9΄ος,βκπις,βόκ9σ,βόλιε
άφιλος,ζτ9λος,άρκκος,άφθ.0ς,άφικι;
γλείφω,υ΄3ίφω,γ.δ8φω,γλ4οωω,γλεοτψ
δανεικός,ρςμεικός,δ;μ3ικός,δαησ9κός,δανρ8λός
διάλλειμα,ρ8;λλειμα,δ9ςπλειμα,δισπκειμα,διά΄κσιμα
δήμος,ρβξος,δθνις,δήξκ3,δήμ0;
δίστιχο,χ9χτιχο,δ8αριχο,δίδ5οχο,δίσγοσο
έγγειος,3υφειος,έητ4ιος,έγη3κος,έγγς8ις
έκκληση,ροοληση,έμοπηση,έκοουση,έκκπγεη
εξάρτηση,δηςρτηση,εης5τηση,εξ;δγηση,εξάευβση
ετοιμολογία,459ιμολογία,εφλομολογία,ετπ8νολογία,ετοξν9λογία
ευφορία,σγψορία,εηρκρία,ευτκ4ία,ευφκδοα
εύηχα,δθυχα,ε7γδα,εύυδσ,εύηψ1
θαλάμη,ι;.άμη,θσπζμη,θαπσνη,θαλςξβ
θύρα,η6δα,θητ;,θύτχ,θύρζ
ίλη,ξ.θ,ίκν,ίλυ,ίλθ
ιός,θ9σ,ι0;,ιόε,ιόσ
Ιωνικός,Ογηικός,Ιψβξκός,Ιωβθλός,Ιων9μ0ς
κάλλος,ι;΄λος,κζοκος,κά΄.λς,κάλολε
κερί,ξςτί,κσδ8,κε4μ,κερν
κλίνει,ξοονει,κκξηει,κλ9βρι,κλίβρξ
κλήση,ο΄θση,κπγχη,κλγεβ,κλήςη
κλήμα,οκνμα,κπγνα,κλθνσ,κλήνζ
κόμη,μ9ξη,κικυ,κόνμ,κόμθ
κόμμα,ιπνμα,κ0κξα,κόνν;,κόμνε
Κρητικός,Ξ4θτικός,Κτυ5ικός,Κργ69κός,Κρη5οιός
κινώ,λ9ηώ,κθμψ,κιξη,κινφ
λήμμα,΄θνμα,λθκκα,λήνξ;,λήμκα
λιμός,΄ξξός,λθκις,λιν0σ,λιμπσ
λήθη,΄ν7η,λθυν,λήηξ,λήθθ
λίπη,΄ξ0η,λκλξ,λί[ν,λίπω
λίρα,΄84α,λ8τσ,λίφ1,λίρ3
μέλι,κ4΄ι,μσ΄9,μέπ7,μέλ9
μέρη,νρ4η,μρφυ,μέ4γ,μέρβ
Μήλος,Ξθ΄ος,Μθοπς,Μή.λσ,Μήλκς
μήτρα,νγγρα,μγ5εα,μήφ4σ,μήτεα
μοιχός,ξιθχός,μλ8ζός,μο9ψπς,μοιζλσ
μηλιά,νθ΄ιά,μν΄οά,μηπ9ς,μηλοχ
νίκη,μθξη,νκμγ,νίλω,νίκκ
νότα,β9φα,ν06σ,νόγε,νότ;
ξηρός,νβφός,ξυτ0ς,ξηφλ3,ξηρπ4
όμως,ικγς,όξβσ,όμβ1,όμω2
όρος,ιεις,ότι2,όρκα,όροα
πάλι,0;κι,πζοκ,πάο8,πάλο
πήρα,0θ5α,πγ4ς,πήδχ,πήρχ
πυθών,΄θιών,π7ξβν,πυ7ψη,πυθγμ
πολύ,0ι΄ύ,πκ΄η,ποοη,πολ4
πιάνο,΄οςνο,πξ;βο,πισμπ,πιάβο
ποιά,-ποά,πκκς,πο81,ποιφ
παράλειψη,[ςτάλειψη,πςφσλειψη,παδ;κειψη,παρζ.4ιψη
ρήμα,5νκα,ρθνζ,ρήξχ,ρήμς
σατυρικός,ςςυυρικός,σσγ7ρικός,σα6γεικός,σατη4οκός
σήκω,εθοω,σνξβ,σήοφ,σήκν
σκηνή,εξννή,σμθμή,σκνην,σκηξγ
σορός,ακ5ός,σ9φις,σοφ9σ,σορλδ
στίχος,χ6ξχος,σφθσος,στοσπς,στίζλσ
στήλη,ςφθλη,σφν΄η,στξκυ,στή.μ
τείχος,5δοχος,τ39σος,τε8ψ0ς,τείδ93
τόπι,υ9οι,τλ[κ,τό0ο,τόπ9
τύχη,υηψη,τ6ζβ,τύδν,τύχβ
τυρί,5ηεί,τ6φ8,τυφο,τυρ΄
φύλλο,ργ΄λο,φθπκο,φύκ΄ι,φύλπμ
φυτό,ψηφό,φ7υ9,φυ6ο,φυτλ
φυλή,ττκή,φ7πθ,φυπφ,φυλυ
χήρος,δγδος,χγτλς,χή50σ,χήρλε
χορικός,σπ5ικός,χ9φ9κός,χοεομός,χορθξλς
ψηλός,φξ.ός,ψβ΄πς,ψη΄ια,ψηλ01
χοίρων,σπξρων,χκκτων,χοξ5ψν,χοίεβμ
ωράριο,ψε;ριο,ω5;4ιο,ωρζτκο,ωράτκπ
Ααρών,:ζφών,Αςεψν,Αα4γμ,Ααργκ
Βελισσάριος,Ω3.ισσάριος,Βροοσσάριος,Βεποεσάριος,Βελθζχάριος
Εύδημος,Σ6ψημος,Εθρνμος,Εύσξκος,Εύδβξπς
Κανέλος,Ξσμέλος,Κςβ4λος,Καβ3.ος,Κανρο9ς
Νικόλαος,Η8ξόλαος,Νξι0λαος,Νιλ9παος,Νικ0πσος
Ρωμύλος,%φξύλος,Ρφν7λος,Ρωξθκος,Ρωμη΄πς
Φωτάς,Τψυάς,Φψ6ςς,Φωφς2,Φωτ;;
Αγάθη,Σβςθη,Αω;7η,Αγςξγ,Αγά8η
Γιαννιώ,Τθζννιώ,Γξ;ηνιώ,Γισξβιώ,Γιαξμκώ
Θεονίκη,Ι39νίκη,Θ3κβίκη,Θεληξκη,Θεοβοιη
Μαρκέλλα,<;δκέλλα,Μζ4ξέλλα,Μαεξ3λλα,Μαρλ3΄λα
Ρούλα,Φλγλα,Ρ06οα,Ροη΄ζ,Ρούπς
