πατρίδα,λζτίδα,πς6ίδα,πα6θδα,πατξφα,πατίψζ
έγκλημα,διλημα,έο.ημα,έκπνμα,έκλθνα,έκληνς
έλλειμμα,σ.λειμα,έ΄οειμα,έλ.4ιμα,έλλδκμα,έλλεθκα
ασχήμια,σχχήμα,αχζήμα,ασζβμα,ασχννα,ασχήνζ
βλέμμα,ωκέμμ,β΄4μμ,βλσκμ,βλέξν,βλέμμ
δουλειά,ελυειά,δ9γειά,δοθςιά,δουςοά,δουεκζ
ζημιά,συμά,ζξξά,ζηξ;,ζημ2,ζημ1
ηλίθια,γκίθι,ηποθι,ηλ87ι,ηλί89,ηλίθ7
ηλικία,κ8κία,λ9λία,λιμ8α,λικξ;,λικίς
θέλημα,δ΄ημα,έ.ξμα,έλνξα,έληκσ,έλημς
κάλυμμα,οζλμμα,κ;΄μμα,κάονμα,κάλκνα,κάλμξς
καλάμια,ο;λάμι,κσ΄άμι,καπσμι,καλσνι,καλάξκ
κόλλημα,ξκλημα,κπ.ημα,κλονμα,κλλγξα,κλληκς
μούμια,νκύμα,μιθμα,μο7ξα,μούνσ,μούμδ
ντουλάπα,μρουλπα,νγιυλπα,ντιθλπα,ντογ΄πα,ντου.οα
πλημμύρα,πθμμύρα,λννμύρα,ληκξύρα,λημκτρα,λημμθ4α
φίλημα,ρθλημ,φθπημ,φίπθμ,φίλβν,φίληη
φουλάρια,ιηλάρια,ογοάρια,ουπςρια,ουλςεια,ουλά58α
θάνατος,ξςναος,θζβαος,θάησος,θάν;9ς,θάναλα
κανίβαλος,ςβίβαλος,αμ9βαλος,αν9ωαλος,ανίνσλος,ανίβσ.ος
σανδάλι,δ;νδλι,σσμδλι,σαμχλι,σανφπι,σανδ.θ
σανδάλια,ςςνδάλι,σσμδάλι,σαξχάλι,σανσςλι,σανδς΄ι
σκάνδαλο,ςξνδαλο,σξηδαλο,σκηφαλο,σκνε;λο,σκνδ;οο
άρδην,σφην,άφυν,άρνμ,άρηθ,άρηκ
βάφουν,ηςουν,βςκυν,βά9τν,βάο6η,βάουγ
βαδίζω,ωςδίω,β;χίω,βασ9ω,βαδ8φ,βαδίτ
βαρούν,νςρον,βσ5ον,βαδ0ν,βαρ9μ,βαροξ
βαρύνει,ηφύνει,βδ6νει,βργηει,βρύβ3ι,βρύν4κ
βοδινό,0ψινό,οφξνό,οδκηό,οδιμλ,οδινθ
γάλα,υσα,γσς,γά1,γάα,γάσ
θέτω,ξςω,θδψ,θέδ,θέψ,θέη
ντουέτο,μυυέτο,ν6γέτο,ντθδτο,ντυ4ρο,ντυέγλ
γαβγίσματα,ω;γίσματα,γζωίσματα,γαη8σματα,γαγ9δματα,γαγίαξατα
ράβδισμα,τσβδσμα,ρζνδσμα,ράηχσμα,ράβφεμα,ράβδανα
άθροισμα,σιροσμα,άιτοσμα,άθφπσμα,άθρλζμα,άθροςνα
τραύλισμα,ρ5ύλισμα,τ4ηλισμα,τρ6.ισμα,τρύ.κσμα,τρύλ8δμα
χάρισμα,ψζρισα,χς4ισα,χά4κσα,χάρθχα,χάριχ;
αδιαφανής,σραφανής,αεσφανής,αδςδανής,αδαω;νής,αδαφ;μής
διαφάνεια,σκαφάνεα,δ9σφάνεα,διζτάνεα,διαρσνεα,διαφςβεα
δίγραμμος,εθγραμος,δξφραμος,δίβταμος,δίγεςμος,δίγρςνος
δίκαννο,ψξαννο,δ8ςννο,δί;βνο,δίαξηο,δίανηπ
δίχρονος,8ζρονος,ίσ4ονος,ίχ4λνος,ίχρ0ξος,ίχροξπς
διάλογος,κςλογος,ις.ογος,ιάππγος,ιάλ9υος,ιάλοηλς
διάμεσος,ψοάμεος,δ9ζμεος,δι;νεος,διάκ4ος,διάμ4πς
διαβάζεις,ψοβάζεις,δκγάζεις,διν;ζεις,διβζαεις,διβάσ3ις
διαβαίνεις,φσβαίνεις,δςγαίνεις,δαν;ίνεις,δαβζ8νεις,δαβαοξεις
διαγώνιος,ψξγώνιος,δθηώνιος,διυγνιος,διγψμιος,διγώβθος
διακαές,ψθακας,δξσκας,διςμας,διαλςς,διακ;2
διαμάχης,φοαμάχη,δ9σμάχη,δι;νάχη,διακζχη,διαμςδη
διαπνοή,φκαποή,δξςποή,διζ΄οή,δια[πή,διαπ9θ
διαφαίνομαι,ρξαφαίνομα,δθ;φαίνομα,διζδαίνομα,διαρσίνομα,διαφσ9νομα
δικέφαλος,σξέφαλος,δξςφαλος,δι4δαλος,διέγ;λος,διέφ;΄ος
ένσημα,βςημα,νδγμα,νσγνα,νσηνς,νσημα
βούτημα,ωπύημα,βκγημα,βο6ξμα,βούννα,βούηξσ
γέννημα,ησνημα,γρξημα,γέμγμα,γέννξα,γένηκσ
εκτιμάω,3λιμάω,ελθμάω,εκ9κάω,εκιξ;ω,εκιμζψ
ερώτημα,ς4ώτηα,ετψτηα,ερβυηα,ερώ6να,ερώτξ;
εστία,χρία,συθα,στ8ζ,στίσ,στία
εύρημα,6εημα,ύ4βμα,ύργκα,ύρηκζ,ύρημζ
εύφημα,δηφημ,ε7δημ,εύψβμ,εύφξκ,εύφην
κλίμα,ξ9μα,κ8να,κίξζ,κίμς,κίμ2
κρίμα,δ8μα,ρκκα,ρίν;,ρίμ1,ρίμ;
πέταμα,οσταμ,πδ5αμ,πέγζμ,πέτ;ν,πέταβ
πέτυχα,-δτυχ,π3ρυχ,πέφτχ,πέττσ,πέτυς
ποίημα,[λημα,ππβμα,ποθξα,ποηξζ,ποημα
στέμμα,εςμμα,σ4κμα,σέξνα,σέμξς,σέμμσ
σχήμα,ψγμα,χννα,χήξσ,χήμσ,χήμα
έγκαιρος,ρτκαιος,έβμαιος,έγλ;ιος,έγκ;οος,έγκακκς
έπακρος,σ[κρος,έ-λρος,έπιφος,έπκδκς,έπκρια
έτερος,36εος,έφδος,έτσκς,έτελα,έτεοζ
ημερολόγιον,υνεροόγιον,ηνσροόγιον,ημ4εοόγιον,ημεφπόγιον,ημερ09γιον
αερολογία,ςφολογία,αφλλογία,αρποογία,αρο.πγία,αρολ0φία
ημερολογιακή,θξερολοιακή,ηνσρολοιακή,ημσ5ολοιακή,ημεεκλοιακή,ημερκποιακή
ιδεολογία,ρ3ολογία,δ40λογία,δελ΄ογία,δεοπιγία,δεολ0τία
ιδεολογικό,9ψεολογικ,ιφρολογικ,ιδδ0λογικ,ιδε0΄ογικ,ιδεο΄ιγικ
διαιτολόγιό,σκαιτλόγιό,δοςιτλόγιό,διζξτλόγιό,δια8υλόγιό,διαιροόγιό
μοιρολογάω,κλιρολγάω,μκξρολγάω,μοοτολγάω,μοιε0λγάω,μοιρι.γάω
ημεραλωπία,ξρραλωπία,η3ταλωπία,ηεδςλωπία,ηερσπωπία,ηεραοψπία
είδα,3κδ,ε8χ,εί5,είδ,είχ
είπα,ολα,ίο;,ίπα,ίπ1,ίπζ
είχα,4θα,εοσ,είε,είε,είχ
θεριό,8διό,θτθό,θρο0,θριπ,θρικ
θυρεοειδής,ιθρεοειδή,θγεεοειδή,θυτσοειδή,θυρσ0ειδή,θυρειριδή
ιδρύω,κσρω,ιφ4ω,ιδεβ,ιδρβ,ιδρν
μοιραίο,ν9ραίο,μ0εαίο,μοδζίο,μορςξο,μοραθλ
χημείο,δκείο,χκ4ίο,χμδ9ο,χμε9π,χμείλ
χηρεία,ψθρία,χγεία,χη4θα,χηρ8ζ,χηρίσ
ψειρίζω,ωδιίζω,ψς8ίζω,ψεκ9ζω,ψειξχω,ψειίαφ
ψηφίο,υψίο,ηψοο,ηφξ0,ηφίθ,ηφί9
ψυγείο,δγγεο,ψ7φεο,ψυη4ο,ψυγρ0,ψυγει
ωάριο,βφιο,ωδξο,ωροκ,ωριι,ωριθ
θαμμένους,ξςμένους,θζνένους,θανςνους,θαμσμους,θαμέξλυς
καμένος,λ;μνος,κ;ννος,κακμος,καμμις,καμνια
καπνός,οσπνό,κζ-νό,κα[ξό,καπβ9,καπνκ
λάγνος,σηνος,άτηος,άγηις,άγνλ3,άγνος
κανέλα,;ηέλα,αβ3λα,αν4πα,ανέ΄σ,ανέλ2
καπέλα,λσπέα,κ;[έα,καλ3α,καπσσ,καπέσ
καράφλα,μ;ρφλα,κζτφλα,κα4ωλα,καρδ΄α,καρφπ;
καρέκλα,ξ;ρκλα,κ;5κλα,κατλλα,καροοα,καρκ΄σ
καραμέλα,μζραμέλ,κζταμέλ,κα4σμέλ,καρ;νέλ,καρανδλ
μαϊμούς,ξ;ϊμού,μ;κμού,μαξνού,μαϊν0ύ,μαϊμκ6
λίτρα,.5ρα,λ6δα,λτ4ς,λτρ2,λτρ1
λουτρά,ο0τρά,λ9γρά,λο65ά,λοτδς,λοτρχ
πλατεία,οπατεί,π.ςτεί,πλςφεί,πλαυ3ί,πλατ3ξ
φλάντζα,ρκάτζα,φ΄ζτζα,φλσ6ζα,φλά5χα,φλάτα;
χαζά,δζά,χζζ,χα3,χασ,χα1
θετικό,8ρτικ,θσυικ,θερξκ,θετοο,θετιθ
λευκό,π3υό,λδ7ό,λεγ0,λευο,λευο
λιβυκό,.θβυό,λοωυό,λιω6ό,λιβτκ,λιβυκ
λογικό,΄ιγικ,λπηικ,λοωθκ,λογομ,λογιι
λυρικό,κγρκό,λθεκό,λυδμό,λυρλι,λυρκο
ξενικό,θσικό,ξ4κκό,ξεξοό,ξειξι,ξεικ-
ξερικό,κδρικ,ξρ5ικ,ξε4κκ,ξερ8ο,ξεριξ
παίξιμο,0;ίξιο,πς8ξιο,παθηιο,παίθθο,παίξ89
παιδικό,[σιδκό,π;9δκό,παορκό,παιροό,παιδολ
πεζικό,δχικό,εχ8κό,εζθμό,εζιοκ,εζικο
πλέξιμο,-΄έιμο,π.ςιμο,πλ3ομο,πλέθξο,πλέικπ
ταξικό,;κικό,ακ9κό,αξθοό,αξιξ9,αξικο
τελικό,ρρλικ,τς.ικ,τεπξκ,τελξι,τελιθ
τοξικό,γθικό,τκ9κό,τξ8λό,τξιξ0,τξικο
επιρρεπείς,4-ιρεπείς,εο9ρεπείς,εποφεπείς,επιδδπείς,επιρσ΄είς
ευπρεπών,ςτπεπών,εγλεπών,ευ-4πών,ευπ3οών,ευπε-ψν
απρεπής,ς0ρεής,α[φεής,απεσής,απρ3ξς,απρεξε
ευφραίνεις,3τφρανεις,ε6γρανεις,ευψ5ανεις,ευφφςνεις,ευφρζξεις
εφορεύεις,δδορεύες,εδπρεύες,εφ9τεύες,εφοεςύες,εφορ3ηες
εύπεπτης,σ-επτης,ε΄ρπτης,επς΄της,επε0υης,επεπρβς
θεοπρεπής,7ςπρεπής,θσορεπής,θε[δεπής,θεπφρπής,θεπρρ΄ής
αμφιρρεπείς,ςριρρεπείς,αγ8ρρεπείς,αφοερεπείς,αφιετεπείς,αφιρεςπείς
απρέπεια,;εέπεια,αφ3πεια,αρσ-εια,αρέ΄4ια,αρέπςκα
αφαίρεσης,ζτίρεσης,ατξρεσης,αφξεεσης,αφί53σης,αφίρρςης
διαπρεπής,ροαρεπής,δκ;ρεπής,διςφεπής,διαφ4πής,διαρδ-ής
εκκρεμής,ςιρεμής,ελτεμής,εκδ4μής,εκρσξής,εκρεκνς
επιρρεπές,σ΄ιρεπές,ε0ξρεπές,επο5επές,επιφςπές,επιρςλές
ευπαθής,3ηπαής,εγοαής,ευ΄ςής,ευπςβς,ευπαθε
φέρελπις,ωτελπις,φδρλπις,φρς΄πις,φρεκ-ις,φρελ΄κς
ζούγκλα,απύγκα,ζπτγκα,ζοθφκα,ζούτια,ζούγμσ
πουγγιά,λκυγγά,πιθγγά,πο6ηγά,πουωφά,πουγβσ
καλάμι,ζοάμι,ακσμι,αλ;ξι,αλάκ8,αλάμ9
κορνιζα,λ0ρνια,κλφνια,κο4βια,κορξκα,κορνξ;
λαιμος,.;ιμο,λ;8μο,λαθξο,λαιν9,λαιμκ
λατζα,κστα,λςφα,λα6ς,λατσ,λατ1
λεξικο,οςξιο,λσηιο,λεκκο,λεξκλ,λεξιο
ζούλα,χκύλ,ζ0θλ,ζο7΄,ζού.,ζού0
ζούρλα,σπρλα,ζπ4λα,ζο5οα,ζορκζ,ζορλ;
βούλα,κτλα,ο7πα,ούο;,ούλσ,ούλς
ζουλάει,σιυλάι,ζ9γλάι,ζο6οάι,ζου΄σι,ζουλςκ
ζουμιά,χ9υιά,ζιτιά,ζογκά,ζουξ;,ζουις
σούβλα,ζ6βλα,σ6νλα,σύγ΄α,σύβκζ,σύβλσ
τούβλα,50ύβλ,τ97βλ,το6γλ,τούωο,τούβλ
τούρλα,φ0ύρλ,τ06ρλ,τοηδλ,τού5κ,τούρ0
φούγκα,τηγκα,φηυκα,φύυια,φύγμσ,φύγκσ
αίτημα,ς8ημα,α9υμα,αίξκα,αίηξ;,αίημ;
ακόλλητος,;λόλητος,αλ9λητος,ακ0κητος,ακόπγτος,ακόλγυος
βάζο,νσο,βσκ,βά-,βά8,βά0
βόλος,λ.ος,όοπς,όλ0ε,όλοδ,όλος
άφιλος,ςωιος,άγ9ος,άφθ0ς,άφικα,άφιος
γλείφω,τ.είφ,γπ4ίφ,γλροφ,γλεξγ,γλείδ
δανεικός,φ;εικός,δςδικός,δαςκκός,δαε9οός,δαειο0ς
διάλλειμα,ψθάλλιμα,δξζλλιμα,δισ΄λιμα,διά.οιμα,διάλοθμα
δήμος,σκος,δξις,δμλ;,δμοε,δμορ
δίστιχο,ψθστχο,δ8ζτχο,δίζρχο,δίσφζο,δίστσπ
έγγειος,3βγεος,έωβεος,έγβρος,έγγρλς,έγγελσ
έκκληση,ςξκλση,έοξλση,έκλπση,έκκπζη,έκκλςγ
εξάρτηση,ριάρτση,ειζρτση,εξςττση,εξά5υση,εξάρυαη
ετοιμολογία,σγοιμοογία,εγλιμοογία,ετκ8μοογία,ετοοξοογία,ετοικλογία
ευφορία,4τορία,ε79ρία,ευπδία,ευο58α,ευορ8σ
εύηχα,σθηα,ετνα,εύξζ,εύησ,εύης
θαλάμη,ι;λμη,θσομη,θαπνη,θαλκν,θαλμκ
θύρα,74α,ύδς,ύρα,ύρδ,ύρε
ίλη,.θ,λη,λ8,λι,λθ
ιός,9ε,ός,όε,όσ,ός
Ιωνικός,(ξικός,Ιξ9κός,Ιν8μός,Ινιμις,Ινικκα
κάλλος,;΄λος,άο.ος,άλ.9ς,άλλ03,άλλοζ
κερί,ςδί,ε5θ,ερι,ερ9,ερν
κλίνει,ο.ίνι,κοκνι,κλ8μι,κλίηθ,κλίν8
κλήση,μπήσ,κ.ξσ,κλβς,κλήσ,κλήρ
κλήμα,ξυμα,κθκα,κήξς,κήμε,κήμς
κόμη,ξιμ,κ0ν,κόλ,κόν,κόξ
κόμμα,πκμα,όννα,όμνσ,όμμα,όμμδ
Κρητικός,Οδητικς,Κ4βτικς,Κρυφικς,Κρηγ8κς,Κρητομς
κινώ,ι9ν,κ9η,κιξ,κικ,κιω
λήμμα,ογμμ,λβξμ,λήκκ,λήμι,λήμι
λιμός,.ομς,λονς,λικε,λιμσ,λιμ4
λήθη,ξ7η,ήυγ,ήθυ,ήθμ,ήθη
λίπη,πκπ,λξ-,λίλ,λίπ,λί9
λίρα,π4α,λ5ζ,λρα,λρδ,λρδ
μέλι,ξπι,μοο,μλ8,μλθ,μλ9
μέρη,ςεη,έ5ν,έρυ,έρη,έρθ
Μήλος,βοος,ή.πς,ήλλ;,ήλο3,ήλο2
μήτρα,ξ5ρα,ήφδα,ήτ5;,ήτρα,ήτρσ
μοιχός,κθχός,μοσός,μιψπς,μιχπα,μιχόχ
μηλιά,νθλι,μυ΄ι,μη.8,μηλκ,μηλθ
νίκη,ηιη,νλξ,νκη,νκμ,νκν
νότα,0γα,όγζ,ότ2,ότα,ότσ
ξηρός,ν5ός,ξ5πς,ξρ0σ,ξρόε,ξρό3
όμως,0κς,όν2,όμς,όμ;,όμρ
όρος,κ4ο,ό4λ,όρ0,όρ8,όρ.
πάλι,[σι,πςξ,πάη,πάκ,πάι
πήρα,ν5α,ή4σ,ήρχ,ήρ2,ήρσ
πυθών,0ξών,π7βν,πθββ,πθώυ,πθών
πολύ,-΄ύ,ππγ,πλω,πλυ,πλυ
πιάνο,9σνο,ι;ξο,ιάβπ,ιάνξ,ιάνξ
ποιά,λ0ά,π9σ,πος,ποα,ποχ
παράλειψη,-σάλειψη,πςςλειψη,πασκειψη,παά.4ιψη,παάλσοψη
ρήμα,τξα,ρβ;,ρήσ,ρήε,ρήε
σατυρικός,αστυρικς,σζγυρικς,σαυγρικς,σατ6τικς,σατυ4ξκς
σήκω,ζβω,σξγ,σήγ,σήν,σήω
σκηνή,αοηή,σλβή,σκνξ,σκηη,σκητ
σορός,δ5ός,σδκς,σρ0ε,σρόδ,σρό2
στίχος,γξχος,τθδος,τίζκς,τίχ03,τίχο2
στήλη,αγλη,σγκη,στοβ,στλη,στλξ
τείχος,υ4ίχο,τσ9χο,τεξψο,τείψ9,τείχ8
τόπι,ριι,τιο,τόι,τό0,τό7
τύχη,ρψη,τδυ,τχβ,τχν,τχγ
τυρί,6γί,τ7κ,τυπ,τυμ,τυ9
φύλλο,τθλλ,φ6ολ,φύο.,φύλπ,φύλ΄
φυτό,γφό,φ6π,φτ΄,φτπ,φτμ
φυλή,δηλ,φθ.,φυξ,φυ/,φυο
χήρος,ψξρς,χυτς,χή43,χήρς,χήρς
χορικός,9εικός,ο59κός,ορ8μός,οριι0ς,ορικια
ψηλός,χ΄ός,ψκις,ψλι3,ψλόε,ψλόζ
χοίρων,διίων,χ9οων,χοογν,χοίφξ,χοίων
ωράριο,βεάρο,ω5σρο,ωρζ4ο,ωράφ9,ωράρ΄
Ααρών,΅ςών,Α;γν,Ααγξ,Ααώκ,Ααώη
Βελισσάριος,δοισσάριος,ε΄κσσάριος,ελοασάριος,ελιζςάριος,ελισζζριος
Εύδημος,΅τδημο,Εγεημο,Εύεθμο,Εύδνξο,Εύδηνκ
Κανέλος,Οβέλος,Κη4λος,Κνςοος,Κνέπ0ς,Κνέλ0ε
Νικόλαος,Βθκόλος,Ν8οόλος,Νιμλλος,Νικλκος,Νικόκπς
Ρωμύλος,Τψύλος,Ρφηλος,Ρω6πος,Ρωύ΄0ς,Ρωύλ9α
Φωτάς,Δφάς,Φγςς,Φωζ2,Φωάζ,Φωάς
Αγάθη,φζθη,γσ8η,γάξβ,γάθυ,γάθγ
Γιαννιώ,Υ8ννιώ,Γοηνιώ,Γιμμιώ,Γινη9ώ,Γιννθφ
Θεονίκη,Ιςονίκ,Θςλνίκ,Θεκξίκ,Θεοβθκ,Θεονοο
Μαρκέλλα,Ξζρκέλα,Μ;4κέλα,Μαδλέλα,Μαρμςλα,Μαρκ3κα
Ρούλα,πθλα,οηπα,ούκζ,ούλ2,ούλε
