πατρίδα,-ατρίδα,πζτρίδα,παγρίδα,πατ5ίδα,πατρθδα,πατρίδ;
λαιμός,παιμός,λςιμός,λα9μός,λαικός,λαιμ9ς,λαιμό;
φανερός,γανερός,φσνερός,φαξερός,φανςρός,φανε5ός,φανερόα
απλός,ςπλός,α΄λός,απ΄ός,απλ0ς,απλόσ,απλόσ
βάλτος,νάλτος,βζλτος,βάοτος,βάλγος,βάλτ0ς,βάλτοε
βάτος,ηάτος,β;τος,βάρος,βάτπς,βάτοε,βάτοσ
βέλος,νέλος,βςλος,βέπος,βέλις,βέλοα,βέλο2
βέτο,ωέτο,βςτο,βέρο,βέτ9,βέτ9,βέτι
δέος,ρέος,δσος,δέλς,δέο2,δέοε,δέο2
ιστός,8στός,ιζτός,ισρός,ιστ9ς,ιστόα,ιστόσ
κάθετος,ξάθετος,κςθετος,κάυετος,κάθ4τος,κάθεφος,κάθετο3
κάκτος,ξάκτος,κςκτος,κάμτος,κάκρος,κάκτις,κάκτο;
κήτος,λήτος,κντος,κήρος,κήτ0ς,κήτοσ,κήτοε
καινός,ξαινός,κςινός,κα8νός,καιβός,καινκς,καινό;
καιρός,οαιρός,κςιρός,κα9ρός,καιφός,καιρπς,καιρό3
καυτός,οαυτός,κ;υτός,καγτός,καυρός,καυτ0ς,καυτόε
κενός,οενός,κςνός,κεμός,κεν9ς,κενό;,κενόε
λιτός,κιτός,λοτός,λιφός,λιτλς,λιτόα,λιτό3
λωτός,οωτός,λβτός,λωυός,λωτκς,λωτόα,λωτό;
ρητώς,δητώς,ρθτώς,ρη5ώς,ρητφς,ρητώε,ρητώ2
φαεινός,ψαεινός,φζεινός,φαρινός,φαεξνός,φαειμός,φαεινό3
φελλός,ρελλός,φ3λλός,φε.λός,φελ.ός,φελλλς,φελλό2
ψητός,φητός,ψντός,ψηφός,ψητ9ς,ψητόε,ψητό3
βλήμα,ωλήμα,β΄ήμα,βλξμα,βλήνα,βλήμζ,βλήμς
άθλημα,ζθλημα,άυλημα,άθκημα,άθλβμα,άθληνα,άθλημσ
έγκλημα,δγκλημα,έηκλημα,έγολημα,έγκκημα,έγκλυμα,έγκλημ;
έλλειμμα,4λλειμμα,έπλειμμα,έλπειμμα,έλλριμμα,έλλεξμμα,έλλειμκα
ασχήμια,;σχήμια,ααχήμια,ασδήμια,ασχξμια,ασχήξια,ασχήμι;
βλέμμα,ωλέμμα,β΄έμμα,βλδμμα,βλέξμα,βλέμξα,βλέμμσ
δουλειά,ρουλειά,δκυλειά,δοθλειά,δου΄ειά,δουλδιά,δουλει;
ζημιά,χημιά,ζβμιά,ζηνιά,ζημκά,ζημισ,ζημιζ
ηλίθια,γλίθια,ηπίθια,ηλκθια,ηλί7ια,ηλίθ8α,ηλίθιζ
ηλικία,γλικία,η.ικία,ηλ8κία,ηλιιία,ηλικθα,ηλικί;
θέλημα,υέλημα,θ4λημα,θέ΄ημα,θέλθμα,θέληξα,θέλημζ
κάλυμμα,λάλυμμα,κζλυμμα,κάουμμα,κάλτμμα,κάλυνμα,κάλυμμ;
καλάμια,λαλάμια,κζλάμια,κα΄άμια,καλζμια,καλάνια,καλάμι;
κόλλημα,οόλλημα,κιλλημα,κό΄λημα,κόλ΄ημα,κόλλξμα,κόλλημ;
μούμια,κούμια,μιύμια,μοτμια,μούκια,μούμθα,μούμι;
ντουλάπα,μτουλάπα,νγουλάπα,ντλυλάπα,ντοθλάπα,ντου.άπα,ντουλά΄α
πλημμύρα,[λημμύρα,πκημμύρα,πλγμμύρα,πληκμύρα,πλημκύρα,πλημμύδα
φίλημα,ψίλημα,φξλημα,φί΄ημα,φίλυμα,φίληνα,φίλημζ
φουλάρια,δουλάρια,φ0υλάρια,φο6λάρια,φου΄άρια,φουλσρια,φουλάρκα
θάνατος,ιάνατος,θζνατος,θάβατος,θάνστος,θάνα5ος,θάνατο3
κανίβαλος,μανίβαλος,κ;νίβαλος,καμίβαλος,καν8βαλος,κανίναλος,κανίβακος
σανδάλι,αανδάλι,σςνδάλι,σαμδάλι,σανψάλι,σανδςλι,σανδάλξ
σανδάλια,δανδάλια,σζνδάλια,σαηδάλια,σανχάλια,σανδσλια,σανδάλ8α
σκάνδαλο,δκάνδαλο,σξάνδαλο,σκζνδαλο,σκάβδαλο,σκάνραλο,σκάνδαπο
άρδην,σρδην,άδδην,άρσην,άρδυν,άρδηη,άρδημ
βάφουν,νάφουν,βζφουν,βάρουν,βάφλυν,βάφογν,βάφουξ
βαδίζω,ηαδίζω,β;δίζω,βαείζω,βαδ9ζω,βαδίσω,βαδίζβ
βαρούν,ναρούν,β;ρούν,βαδούν,βαρ0ύν,βαροθν,βαρούμ
βαρύνει,ωαρύνει,βζρύνει,βατύνει,βαρ6νει,βαρύξει,βαρύνεξ
βοδινό,ωοδινό,βλδινό,βοεινό,βοδκνό,βοδιβό,βοδινπ
γάλα,ωάλα,γσλα,γάκα,γάλς,γάλ;,γάλζ
θέτω,ηέτω,θ4τω,θέρω,θέτγ,θέτβ,θέτψ
ντουέτο,βτουέτο,νγουέτο,ντ0υέτο,ντοτέτο,ντου4το,ντουέτ9
γαβγίσματα,ωαβγίσματα,γσβγίσματα,γαγγίσματα,γαβτίσματα,γαβγκσματα,γαβγίσνατα
ράβδισμα,4άβδισμα,ρζβδισμα,ράωδισμα,ράβρισμα,ράβδ8σμα,ράβδισνα
άθροισμα,ζθροισμα,άξροισμα,άθεοισμα,άθρπισμα,άθροοσμα,άθροισκα
τραύλισμα,φραύλισμα,τ5αύλισμα,τρ;ύλισμα,τρα7λισμα,τραύοισμα,τραύλιαμα
χάρισμα,ψάρισμα,χσρισμα,χάτισμα,χάρ8σμα,χάριεμα,χάρισμς
αδιαφανής,;διαφανής,αφιαφανής,αδθαφανής,αδιζφανής,αδιαψανής,αδιαφαξής
διαφάνεια,ριαφάνεια,δ9αφάνεια,διζφάνεια,διαψάνεια,διαφςνεια,διαφάν3ια
δίγραμμος,ρίγραμμος,δθγραμμος,δίωραμμος,δίγεαμμος,δίγρσμμος,δίγραμξος
δίκαννο,ψίκαννο,δκκαννο,δίμαννο,δίκςννο,δίκαμνο,δίκανν0
δίχρονος,σίχρονος,δξχρονος,δίσρονος,δίχτονος,δίχρ0νος,δίχρον9ς
διάλογος,φιάλογος,δοάλογος,διςλογος,διάπογος,διάλπγος,διάλογ0ς
διάμεσος,σιάμεσος,δκάμεσος,διζμεσος,διάξεσος,διάμ4σος,διάμεσις
διαβάζεις,σιαβάζεις,δξαβάζεις,δι;βάζεις,διαηάζεις,διαβζζεις,διαβάζσις
διαβαίνεις,φιαβαίνεις,δθαβαίνεις,δισβαίνεις,διαηαίνεις,διαβ;ίνεις,διαβαίηεις
διαγώνιος,φιαγώνιος,δοαγώνιος,δισγώνιος,διαηώνιος,διαγψνιος,διαγώνξος
διακαές,φιακαές,δκακαές,διςκαές,διαξαές,διακσές,διακαέ;
διαμάχης,ψιαμάχης,δοαμάχης,διςμάχης,διαξάχης,διαμσχης,διαμάχθς
διαπνοή,σιαπνοή,δοαπνοή,δισπνοή,διαονοή,διαπηοή,διαπνου
διαφαίνομαι,ψιαφαίνομαι,δ8αφαίνομαι,δισφαίνομαι,διαωαίνομαι,διαφ;ίνομαι,διαφαίηομαι
δικέφαλος,ρικέφαλος,δοκέφαλος,διμέφαλος,δικδφαλος,δικέγαλος,δικέφα΄ος
ένσημα,ςνσημα,έησημα,ένχημα,ένσυμα,ένσηκα,ένσημσ
βούτημα,νούτημα,βπύτημα,βοττημα,βούφημα,βούτβμα,βούτημζ
γέννημα,βέννημα,γρννημα,γέξνημα,γένξημα,γέννξμα,γέννημσ
εκτιμάω,σκτιμάω,εξτιμάω,εκριμάω,εκτ9μάω,εκτιξάω,εκτιμάβ
ερώτημα,δρώτημα,ε4ώτημα,ερψτημα,ερώυημα,ερώτξμα,ερώτημς
εστία,ρστία,εχτία,εσφία,εστκα,εστίς,εστίς
εύρημα,4ύρημα,ε7ρημα,εύ4ημα,εύρξμα,εύρηξα,εύρημζ
εύφημα,ςύφημα,εθφημα,εύωημα,εύφξμα,εύφηξα,εύφημς
κλίμα,μλίμα,κ.ίμα,κλ9μα,κλίκα,κλίμς,κλίμς
κρίμα,ορίμα,κείμα,κρ9μα,κρίνα,κρίμς,κρίμς
πέταμα,΄έταμα,πδταμα,πέυαμα,πέτςμα,πέτανα,πέταμσ
πέτυχα,[έτυχα,π3τυχα,πέ5υχα,πέτ7χα,πέτυψα,πέτυχ;
ποίημα,λοίημα,πιίημα,πο8ημα,ποίυμα,ποίηκα,ποίημς
στέμμα,ατέμμα,σρέμμα,στςμμα,στέκμα,στέμκα,στέμμ;
σχήμα,χχήμα,σψήμα,σχνμα,σχήκα,σχήμς,σχήμς
έγκαιρος,δγκαιρος,έωκαιρος,έγξαιρος,έγκζιρος,έγκαορος,έγκαιρπς
έπακρος,δπακρος,έ-ακρος,έπςκρος,έπαιρος,έπακ5ος,έπακρο2
έτερος,ρτερος,έ5ερος,έτ3ρος,έτεδος,έτερκς,έτεροα
ημερολόγιον,νμερολόγιον,ηξερολόγιον,ημδρολόγιον,ημετολόγιον,ημερ9λόγιον,ημερολιγιον
αερολογία,ζερολογία,α3ρολογία,αεεολογία,αερπλογία,αεροκογία,αερολοωία
ημερολογιακή,ξμερολογιακή,ηξερολογιακή,ημδρολογιακή,ημεεολογιακή,ημερπλογιακή,ημερολιγιακή
ιδεολογία,8δεολογία,ιεεολογία,ιδρολογία,ιδεκλογία,ιδεοπογία,ιδεολοηία
ιδεολογικό,θδεολογικό,ιφεολογικό,ιδσολογικό,ιδε9λογικό,ιδεοπογικό,ιδεολουικό
διαιτολόγιό,ειαιτολόγιό,δοαιτολόγιό,δισιτολόγιό,διακτολόγιό,διαιυολόγιό,διαιτοκόγιό
μοιρολογάω,νοιρολογάω,μλιρολογάω,μο9ρολογάω,μοι4ολογάω,μοιριλογάω,μοιρολπγάω
ημεραλωπία,ξμεραλωπία,ηνεραλωπία,ημδραλωπία,ημε5αλωπία,ημερζλωπία,ημεραλφπία
είδα,ρίδα,εοδα,είσα,είδς,είδζ,είδσ
είπα,ρίπα,εξπα,είλα,είπ;,είπζ,είπσ
είχα,ςίχα,ε9χα,είδα,είχ;,είχ;,είχ;
θεριό,ηεριό,θςριό,θε4ιό,θερκό,θερι9,θερικ
θυρεοειδής,υυρεοειδής,θθρεοειδής,θυφεοειδής,θυρδοειδής,θυρεπειδής,θυρεοεοδής
ιδρύω,θδρύω,ισρύω,ιδ5ύω,ιδρ6ω,ιδρύψ,ιδρύφ
μοιραίο,κοιραίο,μιιραίο,μοκραίο,μοι4αίο,μοιρζίο,μοιραίι
χημείο,ζημείο,χβμείο,χηκείο,χημσίο,χημεκο,χημεί0
χηρεία,ζηρεία,χξρεία,χηφεία,χηρ3ία,χηρεξα,χηρεί;
ψειρίζω,ωειρίζω,ψριρίζω,ψεκρίζω,ψειείζω,ψειρ9ζω,ψειρίζβ
ψηφίο,φηφίο,ψξφίο,ψηψίο,ψηφθο,ψηφί9,ψηφί0
ψυγείο,ωυγείο,ψηγείο,ψυυείο,ψυγ4ίο,ψυγε8ο,ψυγείι
ωάριο,γάριο,ωζριο,ωάειο,ωάροο,ωάριλ,ωάρικ
θαμμένους,8αμμένους,θςμμένους,θακμένους,θαμνένους,θαμμ4νους,θαμμέν9υς
καμένος,λαμένος,κζμένος,κακένος,καμδνος,καμέβος,καμένοα
καπνός,μαπνός,κζπνός,καλνός,καπξός,καπνις,καπνόε
λάγνος,.άγνος,λςγνος,λάηνος,λάγηος,λάγνπς,λάγνο;
κανέλα,οανέλα,κζνέλα,καξέλα,κανσλα,κανέ΄α,κανέλζ
καπέλα,λαπέλα,κ;πέλα,καοέλα,καπρλα,καπέοα,καπέλς
καράφλα,ξαράφλα,κζράφλα,κα4άφλα,καρσφλα,καράψλα,καράφλς
καρέκλα,οαρέκλα,κςρέκλα,κα5έκλα,καρ4κλα,καρέιλα,καρέκλζ
καραμέλα,οαραμέλα,κζραμέλα,καταμέλα,καρ;μέλα,καραξέλα,καραμέ΄α
μαϊμούς,καϊμούς,μζϊμούς,μαομούς,μαϊνούς,μαϊμκύς,μαϊμούα
λίτρα,οίτρα,λ9τρα,λίυρα,λίτ5α,λίτρς,λίτρσ
λουτρά,πουτρά,λιυτρά,λοθτρά,λου5ρά,λουτδά,λουτρζ
πλατεία,΄λατεία,π.ατεία,πλζτεία,πλα6εία,πλατ3ία,πλατεί;
φλάντζα,δλάντζα,φ.άντζα,φλζντζα,φλάξτζα,φλάν6ζα,φλάντζ;
χαζά,σαζά,χςζά,χααά,χαζζ,χαζζ,χαζ;
θετικό,ιετικό,θρτικό,θευικό,θετοκό,θετιιό,θετικι
λευκό,΄ευκό,λδυκό,λεηκό,λευιό,λευκ0,λευκι
λιβυκό,΄ιβυκό,λθβυκό,λινυκό,λιβθκό,λιβυλό,λιβυκπ
λογικό,πογικό,λ9γικό,λοηικό,λογ8κό,λογιοό,λογικκ
λυρικό,κυρικό,ληρικό,λυδικό,λυροκό,λυριιό,λυρικ0
ξενικό,ιενικό,ξσνικό,ξεβικό,ξενοκό,ξενιξό,ξενικ9
ξερικό,κερικό,ξςρικό,ξε5ικό,ξερκκό,ξεριοό,ξερικι
παίξιμο,οαίξιμο,π;ίξιμο,παξξιμο,παίμιμο,παίξομο,παίξιμκ
παιδικό,-αιδικό,πσιδικό,παθδικό,παιρικό,παιδ9κό,παιδικι
πεζικό,λεζικό,π4ζικό,πεαικό,πεζκκό,πεζιλό,πεζικ0
πλέξιμο,-λέξιμο,π.έξιμο,πλ3ξιμο,πλέθιμο,πλέξξμο,πλέξιμλ
ταξικό,6αξικό,τσξικό,ταμικό,ταξκκό,ταξιλό,ταξικπ
τελικό,ρελικό,τ3λικό,τεοικό,τελοκό,τελιξό,τελικκ
τοξικό,5οξικό,τ9ξικό,τοθικό,τοξκκό,τοξιξό,τοξικλ
επιρρεπείς,4πιρρεπείς,εοιρρεπείς,επθρρεπείς,επιτρεπείς,επιρ4επείς,επιρρε΄είς
ευπρεπών,3υπρεπών,ε7πρεπών,ευ-ρεπών,ευπεεπών,ευπρ3πών,ευπρεπβν
απρεπής,σπρεπής,α0ρεπής,απ4επής,απρ3πής,απρε-ής,απρεπήε
ευφραίνεις,4υφραίνεις,ε6φραίνεις,ευψραίνεις,ευφ5αίνεις,ευφρςίνεις,ευφραίηεις
εφορεύεις,σφορεύεις,εδορεύεις,εφ0ρεύεις,εφοδεύεις,εφορ3ύεις,εφορεύσις
εύπεπτης,3ύπεπτης,εγπεπτης,εύ-επτης,εύπσπτης,εύπεοτης,εύπεπτγς
θεοπρεπής,7εοπρεπής,θ3οπρεπής,θε0πρεπής,θεοορεπής,θεοπ4επής,θεοπρεοής
αμφιρρεπείς,ςμφιρρεπείς,αξφιρρεπείς,αμτιρρεπείς,αμφκρρεπείς,αμφι4ρεπείς,αμφιρρ3πείς
απρέπεια,ζπρέπεια,α[ρέπεια,απ4έπεια,απρσπεια,απρέ[εια,απρέπε8α
αφαίρεσης,σφαίρεσης,αψαίρεσης,αφσίρεσης,αφα9ρεσης,αφαίφεσης,αφαίρεζης
διαπρεπής,ειαπρεπής,δ8απρεπής,διζπρεπής,διαλρεπής,διαπεεπής,διαπρε0ής
εκκρεμής,σκκρεμής,ελκρεμής,εκμρεμής,εκκεεμής,εκκρ3μής,εκκρεμθς
επιρρεπές,3πιρρεπές,ε-ιρρεπές,επκρρεπές,επιδρεπές,επιρφεπές,επιρρεοές
ευπαθής,συπαθής,ε7παθής,ευ[αθής,ευπζθής,ευπαξής,ευπαθήσ
φέρελπις,ωέρελπις,φ3ρελπις,φέτελπις,φέρ3λπις,φέρε΄πις,φέρελπκς
ζούγκλα,σούγκλα,ζκύγκλα,ζοτγκλα,ζούηκλα,ζούγλλα,ζούγκλζ
πουγγιά,΄ουγγιά,π0υγγιά,πογγγιά,πουωγιά,πουγυιά,πουγγιζ
καλάμι,ιαλάμι,κζλάμι,καπάμι,καλ;μι,καλάξι,καλάμκ
κορνιζα,ξορνιζα,κ0ρνιζα,κοφνιζα,κορβιζα,κορνκζα,κορνιζζ
λαιμος,.αιμος,λσιμος,λα9μος,λαιξος,λαιμπς,λαιμο2
λατζα,πατζα,λστζα,λαφζα,λατσα,λατζς,λατζσ
λεξικο,πεξικο,λδξικο,λενικο,λεξοκο,λεξιοο,λεξικι
ζούλα,αούλα,ζ0ύλα,ζο7λα,ζούοα,ζούλ;,ζούλσ
ζούρλα,σούρλα,ζ9ύρλα,ζογρλα,ζούτλα,ζούρ΄α,ζούρλσ
βούλα,ωούλα,β9ύλα,βο6λα,βούκα,βούλς,βούλσ
ζουλάει,χουλάει,ζπυλάει,ζογλάει,ζουπάει,ζουλςει,ζουλάεο
ζουμιά,αουμιά,ζιυμιά,ζο7μιά,ζουξιά,ζουμ8ά,ζουμισ
σούβλα,δούβλα,σ9ύβλα,σοθβλα,σούηλα,σούβπα,σούβλ;
τούβλα,γούβλα,τπύβλα,το7βλα,τούωλα,τούβκα,τούβλσ
τούρλα,ρούρλα,τπύρλα,τοηρλα,τού5λα,τούρ.α,τούρλζ
φούγκα,ωούγκα,φ9ύγκα,φοτγκα,φούφκα,φούγξα,φούγκζ
αίτημα,σίτημα,α8τημα,αί5ημα,αίτξμα,αίτηκα,αίτημ;
ακόλλητος,ςκόλλητος,αλόλλητος,ακ0λλητος,ακόολητος,ακόλκητος,ακόλληφος
βάζο,νάζο,βςζο,βάσο,βάζλ,βάζ9,βάζκ
βόλος,γόλος,βλλος,βό΄ος,βόλπς,βόλοε,βόλο;
άφιλος,ζφιλος,άγιλος,άφκλος,άφικος,άφιλ0ς,άφιλο;
γλείφω,φλείφω,γ΄είφω,γλρίφω,γλε8φω,γλείγω,γλείφγ
δανεικός,σανεικός,δςνεικός,δαξεικός,δανσικός,δανεθκός,δανεικκς
διάλλειμα,ειάλλειμα,δκάλλειμα,διςλλειμα,διά΄λειμα,διάλοειμα,διάλλε8μα
δήμος,εήμος,δθμος,δήνος,δήμλς,δήμοα,δήμοα
δίστιχο,ρίστιχο,δ8στιχο,δίζτιχο,δίσ6ιχο,δίστκχο,δίστιχ0
έγγειος,ργγειος,έωγειος,έγυειος,έγγδιος,έγγε8ος,έγγειοα
έκκληση,δκκληση,έοκληση,έκοληση,έκκ΄ηση,έκκλθση,έκκλησυ
εξάρτηση,3ξάρτηση,εθάρτηση,εξσρτηση,εξάετηση,εξάρφηση,εξάρτηεη
ετοιμολογία,ρτοιμολογία,ε5οιμολογία,ετπιμολογία,ετοξμολογία,ετοιξολογία,ετοιμο.ογία
ευφορία,ρυφορία,ετφορία,ευψορία,ευφ0ρία,ευφοτία,ευφορί;
εύηχα,ρύηχα,εηηχα,εύυχα,εύηδα,εύηχ;,εύηχ;
θαλάμη,ξαλάμη,θζλάμη,θαοάμη,θαλ;μη,θαλάξη,θαλάμυ
θύρα,ιύρα,θθρα,θύτα,θύρσ,θύρ;,θύρζ
ίλη,ξλη,ίκη,ίλγ,ίλγ,ίλν,ίλξ
ιός,θός,ιις,ιό3,ιόα,ιό3,ιόε
Ιωνικός,Κωνικός,Ιγνικός,Ιωξικός,Ιωνκκός,Ιωνιξός,Ιωνικό2
κάλλος,λάλλος,κσλλος,κάολος,κάλοος,κάλλκς,κάλλο2
κερί,λερί,κσρί,κεδί,κερκ,κερθ,κερξ
κλίνει,μλίνει,κ΄ίνει,κλονει,κλίηει,κλίνρι,κλίνεξ
κλήση,ξλήση,κ΄ήση,κλυση,κλήζη,κλήσβ,κλήσξ
κλήμα,λλήμα,κ.ήμα,κλυμα,κλήκα,κλήμς,κλήμσ
κόμη,οόμη,κ9μη,κόκη,κόμυ,κόμγ,κόμθ
κόμμα,ξόμμα,κ9μμα,κόξμα,κόμκα,κόμμ;,κόμμσ
Κρητικός,Μρητικός,Κδητικός,Κρξτικός,Κρη5ικός,Κρητξκός,Κρητικ9ς
κινώ,λινώ,κξνώ,κιηώ,κινψ,κινγ,κινφ
λήμμα,οήμμα,λθμμα,λήνμα,λήμνα,λήμμζ,λήμμς
λιμός,΄ιμός,λθμός,λιξός,λιμ0ς,λιμόα,λιμό;
λήθη,κήθη,λγθη,λή7η,λήθθ,λήθξ,λήθν
λίπη,κίπη,λ8πη,λίλη,λίπθ,λίπυ,λίπβ
λίρα,.ίρα,λκρα,λίδα,λίρς,λίρσ,λίρσ
μέλι,νέλι,μρλι,μέπι,μέλο,μέλ8,μέλ9
μέρη,νέρη,μ4ρη,μέδη,μέργ,μέργ,μέρν
Μήλος,<ήλος,Μνλος,Μή.ος,Μήλ9ς,Μήλοσ,Μήλο3
μήτρα,ξήτρα,μυτρα,μήρρα,μήτ5α,μήτρζ,μήτρ;
μοιχός,κοιχός,μ0ιχός,μοκχός,μοιζός,μοιχ9ς,μοιχόα
μηλιά,νηλιά,μξλιά,μηοιά,μηλκά,μηλισ,μηλιζ
νίκη,ηίκη,νθκη,νίλη,νίκν,νίκθ,νίκν
νότα,μότα,ν9τα,νόγα,νότσ,νότσ,νότς
ξηρός,θηρός,ξξρός,ξη4ός,ξηρπς,ξηρό;,ξηρό2
όμως,0μως,όνως,όμψς,όμωα,όμω2,όμωα
όρος,ιρος,όδος,όρ9ς,όρο;,όροα,όρο3
πάλι,0άλι,πζλι,πάοι,πάλο,πάλκ,πάλκ
πήρα,-ήρα,πυρα,πήφα,πήρσ,πήρσ,πήρσ
πυθών,΄υθών,πθθών,πυ8ών,πυθγν,πυθώη,πυθώξ
πολύ,[ολύ,π0λύ,ποπύ,πολ6,πολ6,πολη
πιάνο,0ιάνο,πθάνο,πιζνο,πιάβο,πιάν9,πιάνι
ποιά,λοιά,πκιά,ποκά,ποισ,ποι;,ποι;
παράλειψη,οαράλειψη,πςράλειψη,παεάλειψη,παρ;λειψη,παρά.ειψη,παράλεοψη
ρήμα,εήμα,ρθμα,ρήκα,ρήμ;,ρήμσ,ρήμς
σατυρικός,ζατυρικός,σστυρικός,σα5υρικός,σατ6ρικός,σατυεικός,σατυριοός
σήκω,χήκω,σγκω,σήλω,σήκφ,σήκψ,σήκφ
σκηνή,δκηνή,σμηνή,σκβνή,σκηξή,σκηνυ,σκηνγ
σορός,ςορός,σπρός,σοδός,σορλς,σορόσ,σορόσ
στίχος,ατίχος,σ6ίχος,στκχος,στίψος,στίχλς,στίχο;
στήλη,ετήλη,σ6ήλη,στγλη,στήοη,στήλθ,στήλξ
τείχος,5είχος,τςίχος,τεθχος,τείψος,τείχκς,τείχο;
τόπι,γόπι,τππι,τό΄ι,τόπ9,τόπκ,τόπκ
τύχη,υύχη,τθχη,τύζη,τύχυ,τύχγ,τύχβ
τυρί,5υρί,τθρί,τυφί,τυρ8,τυρκ,τυρξ
φύλλο,δύλλο,φηλλο,φύ.λο,φύλ΄ο,φύλλ9,φύλλπ
φυτό,ρυτό,φθτό,φυγό,φυτλ,φυτλ,φυτ0
φυλή,δυλή,φγλή,φυπή,φυλυ,φυλξ,φυλβ
χήρος,δήρος,χθρος,χήδος,χήρπς,χήροα,χήροσ
χορικός,ζορικός,χπρικός,χοτικός,χορθκός,χοριοός,χορικόα
ψηλός,φηλός,ψξλός,ψηοός,ψηλις,ψηλό3,ψηλόσ
χοίρων,ζοίρων,χκίρων,χο9ρων,χοίεων,χοίρφν,χοίρωμ
ωράριο,βράριο,ω5άριο,ωρσριο,ωρά5ιο,ωράροο,ωράρι0
Ααρών,Ζαρών,Αςρών,Αατών,Ααρψν,Ααρώμ,Ααρώξ
Βελισσάριος,Νελισσάριος,Βσλισσάριος,Βε.ισσάριος,Βελ9σσάριος,Βελιεσάριος,Βελισσσριος
Εύδημος,#ύδημος,Ε6δημος,Εύεημος,Εύδξμος,Εύδηξος,Εύδημοε
Κανέλος,Ιανέλος,Κςνέλος,Καβέλος,Κανδλος,Κανέ΄ος,Κανέλο2
Νικόλαος,Μικόλαος,Ν9κόλαος,Νιοόλαος,Νικκλαος,Νικό.αος,Νικόλακς
Ρωμύλος,%ωμύλος,Ρφμύλος,Ρωνύλος,Ρωμθλος,Ρωμύπος,Ρωμύλο3
Φωτάς,Δωτάς,Φφτάς,Φω5άς,Φωτ;ς,Φωτά3,Φωτάσ
Αγάθη,:γάθη,Αφάθη,Αγ;θη,Αγά7η,Αγάθν,Αγάθξ
Γιαννιώ,Βιαννιώ,Γοαννιώ,Γιςννιώ,Γιαηνιώ,Γιανηιώ,Γιαννιψ
Θεονίκη,&εονίκη,Θδονίκη,Θεινίκη,Θεοηίκη,Θεονκκη,Θεονίκξ
