πατρίδα,λατρίδ,πστρίδ,παφρίδ,πατφίδ,πατροδ,πατρίψ
ψητός,δηός,ψγός,ψηπς,ψηό;,ψηό;,ψηό3
βλήμα,γλήμ,βοήμ,βλυμ,βλήκ,βλήκ,βλήξ
άθλημα,;θληα,άξληα,άθκηα,άθλγα,άθληζ,άθλη;
έγκλημα,3κλημα,έμλημα,έκοημα,έκλγμα,έκληνα,έκλημ;
έλλειμμα,σλλεμμα,έπλεμμα,έλοεμμα,έλλρμμα,έλλεξμα,έλλεμμ;
ασχήμια,;χήμια,ασήμια,αχγμια,αχήνια,αχήμ9α,αχήμισ
βλέμμα,γέμμα,β3μμα,βέκμα,βέμνα,βέμμζ,βέμμς
δουλειά,εουειά,διυειά,δο7ειά,δουσιά,δουε9ά,δουει;
ζημιά,αημά,ζγμά,ζηνά,ζημ;,ζημ;,ζημσ
ηλίθια,βλίθα,ηκίθα,ηλκθα,ηλίια,ηλίθ;,ηλίθ;
ηλικία,βικία,η9κία,ηιιία,ηικοα,ηικί;,ηικίζ
θέλημα,8έλημ,θρλημ,θέοημ,θέλνμ,θέληξ,θέληξ
κάλυμμα,λάλυμμ,κ;λυμμ,κάκυμμ,κάλ6μμ,κάλυξμ,κάλυμξ
καλάμια,μαλμια,κςλμια,κακμια,καλξια,καλμ8α,καλμιζ
κόλλημα,ιλλημα,κπλημα,κλοημα,κλλυμα,κλληνα,κλλημσ
μούμια,κούμι,μιύμι,μοθμι,μούνι,μούμ9,μούμο
ντουλάπα,μτουάπα,νρουάπα,ντ9υάπα,ντοηάπα,ντου;πα,ντουάπς
πλημμύρα,΄ημμύρα,πθμμύρα,πηξμύρα,πημξύρα,πημμ6ρα,πημμύρσ
φίλημα,γίλμα,φξλμα,φίπμα,φίλκα,φίλμζ,φίλμ;
φουλάρια,τουλάρα,φπυλάρα,φογλάρα,φουκάρα,φουλςρα,φουλάρσ
θάνατος,ηάντος,θ;ντος,θάξτος,θάνφος,θάντλς,θάντο2
κανίβαλος,ιανίαλος,κςνίαλος,καμίαλος,κανθαλος,κανί;λος,κανίαλπς
σανδάλι,εαδάλι,σςδάλι,σασάλι,σαδςλι,σαδάκι,σαδάλξ
σανδάλια,ςανάλια,σ;νάλια,σαμάλια,σανζλια,σανάοια,σανάλι;
σκάνδαλο,εκάδαλο,σιάδαλο,σκσδαλο,σκάψαλο,σκάδ;λο,σκάδαλ0
άρδην,σρδη,άεδη,άρψη,άρδβ,άρδθ,άρδθ
βάφουν,ςφουν,άδουν,άφλυν,άφο6ν,άφουμ,άφουμ
βαδίζω,ωαδίζ,βςδίζ,βαχίζ,βαδοζ,βαδίσ,βαδία
βαρούν,ναρού,βςρού,βαεού,βαρπύ,βαροη,βαρο6
βαρύνει,;ρύνει,α4ύνει,αρ6νει,αρύβει,αρύν4ι,αρύνεθ
βοδινό,9δινό,οφινό,οδ8νό,οδιηό,οδινλ,οδινλ
γάλα,ηάλ,γςλ,γάκ,γάο,γάπ,γάπ
θέτω,8έτ,θδτ,θέ6,θέφ,θέφ,θέ5
ντουέτο,ητυέτο,ν6υέτο,ντθέτο,ντυςτο,ντυέυο,ντυέτ9
γαβγίσματα,ββγίσματα,γωγίσματα,γβυίσματα,γβγ9σματα,γβγίεματα,γβγίσμ;τα
ράβδισμα,4άβδισμ,ρζβδισμ,ράνδισμ,ράβφισμ,ράβδξσμ,ράβδισν
άθροισμα,ςθροισα,ά7ροισα,άθφοισα,άθρ9ισα,άθροξσα,άθροισσ
τραύλισμα,ρραύισμα,τδαύισμα,τρσύισμα,τραθισμα,τραύοσμα,τραύισξα
χάρισμα,ζρισμα,άτισμα,άρθσμα,άριαμα,άρισνα,άρισμς
αδιαφανής,ειαφανής,δ8αφανής,δισφανής,διαδανής,διαφςνής,διαφαννς
διαφάνεια,σιαάνεια,δξαάνεια,διζάνεια,δια;νεια,διαάμεια,διαάνεκα
δίγραμμος,ψίγραμος,δογραμος,δίυραμος,δίγ5αμος,δίγρσμος,δίγραμ0ς
δίκαννο,φίκανο,δθκανο,δίοανο,δίκσνο,δίκαμο,δίκανκ
δίχρονος,φίχροος,δ8χροος,δίψροος,δίχφοος,δίχρ9ος,δίχροο;
διάλογος,ψιλογος,δξλογος,διπογος,διλιγος,διλοφος,διλογο3
διάμεσος,χιάμεσς,δθάμεσς,δι;μεσς,διάνεσς,διάμ3σς,διάμεσ;
διαβάζεις,φιαβάζις,δ9αβάζις,διζβάζις,διαγάζις,διαβςζις,διαβάζος
διαβαίνεις,φιαβαίνες,δθαβαίνες,διςβαίνες,διαγαίνες,διαβσίνες,διαβαίμες
διαγώνιος,θαγώνιος,ιςγώνιος,ιατώνιος,ιαγβνιος,ιαγώηιος,ιαγώνιπς
διακαές,ψικαές,δ8καές,διιαές,δικ;ές,δικα4ς,δικαέ3
διαμάχης,φιμάχης,δξμάχης,δικάχης,διμζχης,διμάδης,διμάχη2
διαπνοή,σιπνοή,δξπνοή,δι0νοή,διπηοή,διπνλή,διπνον
διαφαίνομαι,σιαφίνομαι,δκαφίνομαι,διςφίνομαι,διατίνομαι,διαφ8νομαι,διαφίνπμαι
δικέφαλος,εικέαλος,δθκέαλος,διλέαλος,δικδαλος,δικέζλος,δικέαλλς
ένσημα,δνσμα,έμσμα,ένεμα,ένσκα,ένσμζ,ένσμσ
βούτημα,νούτημ,β0ύτημ,βοττημ,βού6ημ,βούτγμ,βούτηκ
γέννημα,υέννηα,γςννηα,γέμνηα,γένηηα,γέννυα,γέννησ
εκτιμάω,4κιμάω,εοιμάω,εκθμάω,εκικάω,εκιμζω,εκιμάβ
ερώτημα,4ώτημα,ρφτημα,ρώγημα,ρώτθμα,ρώτηκα,ρώτημς
εστία,ςστί,εχτί,εσ5ί,εστξ,εστκ,εστ8
εύρημα,4ύρημ,ετρημ,εύτημ,εύρξμ,εύρηξ,εύρηξ
εύφημα,ςφημα,ερημα,εφγμα,εφηνα,εφημζ,εφημς
κλίμα,ιλία,κκία,κλ9α,κλίζ,κλίζ,κλίς
κρίμα,είμα,ρ8μα,ρίνα,ρίμ;,ρίμζ,ρίμς
πέταμα,λέαμα,π4αμα,πέσμα,πέαξα,πέαμ;,πέαμ;
πέτυχα,οέτυχ,π3τυχ,πέγυχ,πέτ7χ,πέτυψ,πέτυσ
ποίημα,οοίηα,πιίηα,πο9ηα,ποίγα,ποίη;,ποίησ
στέμμα,ςτέμα,σφέμα,στ4μα,στέκα,στέμζ,στέμ;
σχήμα,δχμα,σψμα,σχνα,σχμσ,σχμσ,σχμσ
έγκαιρος,σγκαρος,έφκαρος,έγξαρος,έγκ;ρος,έγκα4ος,έγκαροσ
έπακρος,3ακρος,έ;κρος,έαορος,έακδος,έακρκς,έακρο2
έτερος,στερς,έγερς,έτρρς,έτεφς,έτερ2,έτερε
ημερολόγιον,θμεροόγιον,ηκεροόγιον,ημρροόγιον,ημε5οόγιον,ημερπόγιον,ημεροόφιον
αερολογία,σεροογία,ασροογία,αετοογία,αερπογία,αεροπγία,αεροογ8α
ημερολογιακή,γμεροογιακή,ηκεροογιακή,ημρροογιακή,ημεεοογιακή,ημερ9ογιακή,ημεροοβιακή
ιδεολογία,χεολογία,δδολογία,δειλογία,δεοοογία,δεολλγία,δεολογ9α
ιδεολογικό,8δεολογιό,ιρεολογιό,ιδσολογιό,ιδε0λογιό,ιδεοοογιό,ιδεολοωιό
διαιτολόγιό,ψιαιτλόγιό,δ8αιτλόγιό,δι;ιτλόγιό,διαθτλόγιό,διαιφλόγιό,διαιτλπγιό
μοιρολογάω,νοιολογάω,μιιολογάω,μοξολογάω,μοιπλογάω,μοιοπογάω,μοιολοφάω
ημεραλωπία,θμεραλπία,ηκεραλπία,ημςραλπία,ημεταλπία,ημερσλπία,ημεραλ΄ία
είδα,ρίδ,ε8δ,είσ,είψ,είψ,είφ
είπα,9πα,ί-α,ίπσ,ίπς,ίπσ,ίπ;
είχα,ςίχ,ε9χ,είσ,είψ,είδ,είσ
θεριό,υερι,θσρι,θετι,θερ9,θερ9,θερκ
θυρεοειδής,υυρεοεδής,θηρεοεδής,θυ4εοεδής,θυρδοεδής,θυρε0εδής,θυρεοεεής
ιδρύω,8δύω,ιεύω,ιδ7ω,ιδύβ,ιδύφ,ιδύβ
μοιραίο,κιραίο,μθραίο,μιεαίο,μιρζίο,μιραοο,μιραί0
χημείο,σημεο,χξμεο,χηξεο,χημςο,χημεπ,χημει
χηρεία,γρεία,ηφεία,ηρδία,ηρε9α,ηρείσ,ηρείς
ψειρίζω,ωερίζω,ψ4ρίζω,ψεδίζω,ψερκζω,ψερίχω,ψερίζβ
ψηφίο,ωηφί,ψθφί,ψηγί,ψηφξ,ψηφκ,ψηφξ
ψυγείο,χυγεί,ψ6γεί,ψυυεί,ψυγςί,ψυγεθ,ψυγεο
ωάριο,σριο,ά4ιο,άρξο,άριπ,άριλ,άρικ
θαμμένους,υαμμνους,θσμμνους,θαξμνους,θαμκνους,θαμμηους,θαμμνοθς
καμένος,οαμνος,κσμνος,καξνος,καμηος,καμνκς,καμνο3
καπνός,ιαπνό,κσπνό,κα-νό,καπηό,καπν0,καπνκ
λάγνος,ςγνος,άυνος,άγβος,άγνκς,άγνοε,άγνοα
κανέλα,λανέα,κζνέα,καξέα,κανρα,κανέζ,κανέσ
καπέλα,οαπέλ,κ;πέλ,καοέλ,καπρλ,καπέ.,καπέ.
καράφλα,ιαράφλ,κσράφλ,κα5άφλ,καρσφλ,καράδλ,καράφ.
καρέκλα,μρέκλα,κδέκλα,κρ4κλα,κρέμλα,κρέκκα,κρέκλς
καραμέλα,μαρμέλα,κσρμέλα,καεμέλα,καρκέλα,καρμρλα,καρμέλ;
μαϊμούς,καϊμύς,μζϊμύς,μακμύς,μαϊνύς,μαϊμθς,μαϊμύ2
λίτρα,κτρα,ί5ρα,ίτ5α,ίτρσ,ίτρ;,ίτρζ
λουτρά,΄υτρά,λττρά,λυυρά,λυτ5ά,λυτρζ,λυτρσ
πλατεία,0λτεία,πκτεία,πλφεία,πλτςία,πλτεοα,πλτείσ
φλάντζα,δλάντα,φκάντα,φλςντα,φλάμτα,φλάν6α,φλάντζ
χαζά,ζζά,χσά,χζσ,χζ;,χζζ,χζζ
θετικό,υεικό,θ3ικό,θεκκό,θειλό,θεικπ,θεικι
λευκό,πυκό,λγκό,λυιό,λυκκ,λυκ0,λυκ0
λιβυκό,κιβυό,λ8βυό,λιηυό,λιβθό,λιβυ0,λιβυι
λογικό,κγικό,οωικό,ογοκό,ογιιό,ογικπ,ογικπ
λυρικό,.υριό,λτριό,λυ5ιό,λυρθό,λυρικ,λυρικ
ξενικό,ηενικ,ξσνικ,ξεηικ,ξενθκ,ξενιξ,ξενιμ
ξερικό,3ρικό,ε5ικό,ερ8κό,εριξό,ερικπ,ερικκ
παίξιμο,0αίξιμ,πσίξιμ,πακξιμ,παίκιμ,παίξθμ,παίξιν
παιδικό,ςιδικό,αθδικό,αιψικό,αιδθκό,αιδιιό,αιδικ9
πεζικό,-εικό,πςικό,πε8κό,πειοό,πεικ0,πεικπ
πλέξιμο,οέξιμο,πρξιμο,πέμιμο,πέξομο,πέξιξο,πέξιμκ
ταξικό,γαικό,τσικό,ταοκό,ταιλό,ταικκ,ταικι
τελικό,γελκό,τ3λκό,τε΄κό,τελοό,τελκπ,τελκλ
τοξικό,γοξκό,τιξκό,τονκό,τοξξό,τοξκπ,τοξκι
επιρρεπείς,δπιρρεπίς,ε[ιρρεπίς,επθρρεπίς,επι5ρεπίς,επιρ4επίς,επιρρε[ίς
ευπρεπών,δυρεπών,εηρεπών,ευεεπών,ευρςπών,ευρε[ών,ευρεπώμ
απρεπής,;πεπής,α΄επής,απδπής,απε-ής,απεπνς,απεπή3
ευφραίνεις,7φραίνεις,υρραίνεις,υφ4αίνεις,υφρζίνεις,υφρακνεις,υφραίνσις
εφορεύεις,ςφορεύες,εγορεύες,εφ0ρεύες,εφοδεύες,εφορρύες,εφορεύ4ς
εύπεπτης,θπεπτης,ύ0επτης,ύπ4πτης,ύπε΄της,ύπεπ5ης,ύπεπτησ
θεοπρεπής,ηεοπρπής,θςοπρπής,θεππρπής,θεο0ρπής,θεοπ4πής,θεοπρπξς
αμφιρρεπείς,ζμφιρρεπεί,ακφιρρεπεί,αμδιρρεπεί,αμφθρρεπεί,αμφιδρεπεί,αμφιρρ4πεί
απρέπεια,;ρέπεια,α5έπεια,αρσπεια,αρέ[εια,αρέπ4ια,αρέπειζ
αφαίρεσης,ζφαίεσης,αψαίεσης,αφ;ίεσης,αφαθεσης,αφαίςσης,αφαίεσνς
διαπρεπής,σιαπρπής,δοαπρπής,διςπρπής,δια΄ρπής,διαπ4πής,διαπρπνς
εκκρεμής,σκκεμής,εξκεμής,εκμεμής,εκκδμής,εκκενής,εκκεμή3
επιρρεπές,3πιρεπές,ε-ιρεπές,επθρεπές,επιτεπές,επιρ4πές,επιρεπ4ς
ευπαθής,δυπαής,ετπαής,ευ΄αής,ευπσής,ευπαβς,ευπαή;
φέρελπις,γέρλπις,φσρλπις,φέδλπις,φέρκπις,φέρλοις,φέρλπι3
ζούγκλα,αύγκλα,ζηγκλα,ζύβκλα,ζύγολα,ζύγκκα,ζύγκλζ
πουγγιά,ουγγιά,πτγγιά,πυωγιά,πυγηιά,πυγγθά,πυγγιζ
καλάμι,λαλάι,κςλάι,κα΄άι,καλσι,καλάο,καλάο
κορνιζα,λρνιζα,οδνιζα,ορμιζα,ορνξζα,ορνισα,ορνιζ;
λαιμος,.αιμς,λςιμς,λαθμς,λαινς,λαιμ;,λαιμα
λατζα,ςτζα,αρζα,αταα,ατζς,ατζσ,ατζς
λεξικο,΄εξκο,λσξκο,λεικο,λεξοο,λεξκ0,λεξκι
ζούλα,χύλα,ζ6λα,ζύ΄α,ζύλζ,ζύλς,ζύλ;
ζούρλα,χούλα,ζπύλα,ζοθλα,ζούοα,ζούλσ,ζούλς
βούλα,ωύλα,β6λα,βύπα,βύλσ,βύλσ,βύλ;
ζουλάει,σουλάι,ζ9υλάι,ζο6λάι,ζουοάι,ζουλ;ι,ζουλάξ
ζουμιά,αομιά,ζιμιά,ζοξιά,ζομκά,ζομιζ,ζομισ
σούβλα,εοβλα,σιβλα,σοηλα,σοβκα,σοβλζ,σοβλσ
τούβλα,ρούλα,τπύλα,τοθλα,τού΄α,τούλς,τούλ;
τούρλα,6ούλα,τκύλα,τοηλα,τούοα,τούλ;,τούλς
φούγκα,ρούγα,φ0ύγα,φο7γα,φούβα,φούγζ,φούγζ
αίτημα,ζτημα,αφημα,ατξμα,ατηκα,ατημς,ατημς
ακόλλητος,σκόλητος,αιόλητος,ακ9λητος,ακό΄ητος,ακόλξτος,ακόλητ9ς
βάζο,σζο,άσο,άζκ,άζ9,άζπ,άζπ
βόλος,ιλος,ό΄ος,όλπς,όλοσ,όλο3,όλο3
άφιλος,σιλος,ά9λος,άι΄ος,άιλ9ς,άιλοα,άιλο;
γλείφω,ηλείω,γ.είω,γλ3ίω,γλεξω,γλείψ,γλείβ
δανεικός,φανεικό,δ;νεικό,δαηεικό,δανςικό,δανεκκό,δανεικπ
διάλλειμα,ειάλλιμα,δ8άλλιμα,δι;λλιμα,διά΄λιμα,διάλ.ιμα,διάλλικα
δήμος,βμος,ήξος,ήμπς,ήμοσ,ήμοα,ήμοσ
δίστιχο,σίσιχο,δξσιχο,δίχιχο,δίσθχο,δίσισο,δίσιχ0
έγγειος,σγγεις,έβγεις,έγυεις,έγγ3ις,έγγε9ς,έγγει2
έκκληση,3κληση,έξληση,έκ.ηση,έκλθση,έκληςη,έκλησξ
εξάρτηση,ρξάρτση,εκάρτση,εξςρτση,εξά5τση,εξάρ6ση,εξάρτσβ
ετοιμολογία,ςτοιμοογία,ευοιμοογία,ετ0ιμοογία,ετοομοογία,ετοικοογία,ετοιμοπγία
ευφορία,3φορία,εδορία,εφ9ρία,εφοδία,εφορξα,εφορίζ
εύηχα,ςύχα,εθχα,εύζα,εύχς,εύχ;,εύχς
θαλάμη,8αλμη,θ;λμη,θακμη,θαλνη,θαλμβ,θαλμυ
θύρα,8ύρ,θ6ρ,θύφ,θύδ,θύ4,θύδ
ίλη,9η,ίν,ίθ,ίβ,ίγ,ίβ
ιός,ξς,ι;,ιε,ισ,ι2,ι3
Ιωνικός,*ωνκός,Ιγνκός,Ιωηκός,Ιωνξός,Ιωνκπς,Ιωνκόα
κάλλος,ιάλος,κςλος,κάκος,κάλ9ς,κάλο3,κάλοσ
κερί,μρί,κφί,κρξ,κρ8,κρκ,κρκ
κλίνει,ιλίει,κ.ίει,κλκει,κλί4ι,κλίεκ,κλίε9
κλήση,ιλήσ,κοήσ,κλβσ,κλήε,κλήα,κλήζ
κλήμα,οήμα,λβμα,λήκα,λήμ;,λήμς,λήμς
κόμη,ιόμ,κιμ,κόν,κόξ,κόκ,κόξ
κόμμα,ιόμα,κ9μα,κόνα,κόμσ,κόμζ,κόμ;
Κρητικός,Λρητκός,Κ5ητκός,Κρντκός,Κρηγκός,Κρητοός,Κρητκόα
κινώ,ονώ,ιηώ,ινψ,ινφ,ινφ,ινφ
λήμμα,οήμα,λγμα,λήξα,λήμς,λήμσ,λήμσ
λιμός,κμός,ικός,ιμις,ιμό3,ιμόα,ιμό3
λήθη,.θη,λξη,λθθ,λθν,λθυ,λθθ
λίπη,οίη,λοη,λίν,λίβ,λίβ,λίξ
λίρα,κία,λξα,λί;,λίζ,λίζ,λίσ
μέλι,νλι,μπι,μλξ,μλξ,μλξ,μλο
μέρη,κέη,μ3η,μέξ,μέγ,μέυ,μέν
Μήλος,νλος,ήοος,ήλ0ς,ήλο3,ήλοα,ήλο3
μήτρα,ξτρα,μγρα,μτ5α,μτρζ,μτρς,μτρζ
μοιχός,κοχός,μλχός,μοσός,μοχλς,μοχόα,μοχόα
μηλιά,κηιά,μυιά,μη9ά,μηις,μηι;,μηιζ
νίκη,θκη,ίοη,ίκυ,ίκν,ίκβ,ίκθ
νότα,μτα,ν6α,ντσ,ντσ,ντσ,ντ;
ξηρός,νρός,ηφός,ηρκς,ηρόε,ηρό;,ηρό3
όμως,9ως,όγς,όω;,όω3,όωε,όωε
όρος,9ρς,ό5ς,όρ3,όρα,όρα,όρ2
πάλι,;λι,ά΄ι,άλ9,άλκ,άλκ,άλ9
πήρα,βρα,ή4α,ήρς,ήρς,ήρς,ήρ;
πυθών,0υών,π6ών,πυβν,πυώβ,πυώξ,πυώβ
πολύ,οού,π0ύ,πογ,πο7,πογ,ποθ
πιάνο,οινο,πθνο,πιηο,πινπ,πινκ,πιν9
ποιά,πιά,ο9ά,οι;,οι;,οισ,οιζ
παράλειψη,΄αάλειψη,πζάλειψη,παζλειψη,παά.ειψη,παάλριψη,παάλειδη
ρήμα,δήα,ρξα,ρή;,ρής,ρή;,ρής
σατυρικός,ςατυριός,σςτυριός,σαφυριός,σατγριός,σατυφιός,σατυριλς
σήκω,ςήω,σθω,σήγ,σήφ,σήγ,σήβ
σκηνή,χκην,σμην,σκνν,σκηη,σκηξ,σκηξ
σορός,αρός,σδός,σρλς,σρόε,σρό;,σρό2
στίχος,ςτίος,σ6ίος,στθος,στίκς,στίοα,στίοα
στήλη,ζτήη,σ5ήη,στυη,στήγ,στήγ,στήυ
τείχος,6ίχος,τοχος,τίδος,τίχ0ς,τίχο3,τίχο;
τόπι,6όπ,τλπ,τόο,τό[,τό-,τό[
τύχη,τχη,ύση,ύχυ,ύχν,ύχξ,ύχξ
τυρί,γυρ,ττρ,τυε,τυε,τυ4,τυτ
φύλλο,θλλο,ύπλο,ύλοο,ύλλλ,ύλλλ,ύλλκ
φυτό,ρυό,φ6ό,φυλ,φυπ,φυ0,φυλ
φυλή,ψυλ,φηλ,φυ΄,φυ.,φυπ,φυο
χήρος,ψρος,χ4ος,χρ0ς,χρο3,χρο2,χρο3
χορικός,δορικς,χκρικς,χοφικς,χορ9κς,χοριμς,χορικ2
ψηλός,ξλός,ηπός,ηλ9ς,ηλό2,ηλό3,ηλόσ
χοίρων,δοίρω,χλίρω,χοξρω,χοί4ω,χοίρβ,χοίργ
ωράριο,δάριο,ρ;ριο,ράτιο,ράρκο,ράριλ,ράριπ
Ααρών,:αρν,Αςρν,Ααεν,Ααρμ,Ααρβ,Ααρμ
Βελισσάριος,Νελισάριος,Β3λισάριος,Βε.ισάριος,Βελοσάριος,Βελιαάριος,Βελισάφιος
Εύδημος,Ρύδηος,Ε7δηος,Εύσηος,Εύδνος,Εύδη0ς,Εύδηοε
Κανέλος,Οανλος,Κςνλος,Καηλος,Καν΄ος,Κανλ9ς,Κανλο;
Νικόλαος,Ηικόλαο,Ν8κόλαο,Νιοόλαο,Νικ0λαο,Νικόπαο,Νικόλαλ
Ρωμύλος,Δωμλος,Ρβμλος,Ρωκλος,Ρωμ΄ος,Ρωμλλς,Ρωμλοσ
Φωτάς,Γωτά,Φβτά,Φωυά,Φωτς,Φωτσ,Φωτζ
Αγάθη,Ζγάθ,Αφάθ,Αγςθ,Αγά7,Αγά7,Αγάυ
Γιαννιώ,Φαννιώ,Γζννιώ,Γαμνιώ,Γανβιώ,Γαννθώ,Γαννιψ
Θεονίκη,Υεονκη,Θσονκη,Θε0νκη,Θεοβκη,Θεονιη,Θεονκξ
Μαρκέλλα,Καρέλλα,Μσρέλλα,Ματέλλα,Μαρρλλα,Μαρέ.λα,Μαρέλλς
Ρούλα,Φύλα,Ρ7λα,Ρύ.α,Ρύλζ,Ρύλ;,Ρύλζ
