πατρίδα,οξρζτρίδα,ωπ;γρίοδα,πτακυείδα,παγστδθδα,επατρκσλα
άγγελος,;υχγελοης,άβωψβελος,άγωρατλος,άλγγρροος,μάγγεοπ9ς
άνισος,σρβιβσος,άξσ9μσος,άνυοξεος,άνλιυακς,άνιζστιε
άνοδος,;βοθδοις,κξάηλδος,άχνψπρος,άνθοφπλς,άνοωδιγ2
ήρεμος,γυ5εδμος,ήτζςξμος,ήρ3ντψος,ηήρχεξλς,νήρεμ9γ;
αγενώς,σωσεκνώς,αξηωδνώς,αγα3βώας,αγεξθχψς,ταγενβωα
αδένος,ξωσσένος,αε3νοφας,αδ3ηβδος,αδέπμτκς,αδέξσν9α
αετός,σ3αατός,αχεσφός,αγεργλς,ζαεδτισ,αγετόγ2
ατμός,;θ5μότς,απφνόως,ψατνιζς,ατμγιτσ,πατμεός
αφελώς,;δεφλβώς,αψςλώαξς,αηφρ.ώκς,αφεπψικς,αφεαχλψε
αφενός,ζγενδεός,αω4ψνκός,αφ3υβόρς,αφεσηγκς,χαφενσ9σ
γκρεμός,ηλρρεμλός,γορδπεμός,γκκ4δμξός,νγκρνδκός,εγκρεγκ9ς
κανενός,ιοςενενός,κ;ηεκνβός,καξχ4ψνός,κανςβυόζς,κανεκηξκς
λαιμός,οωσιπμός,λσκμγξός,λαθλκηός,χλαινλυς,κλβαιμπ3
φανερός,ρσξνεηρός,δφσηερόης,ρφαξρρόγς,φανεεςδός,φανκεφλρς
απλός,ς0λαόρς,α-κβόυς,αυπσπ0ς,αωπλπζσ,απολόος
βάλτος,δν;λτοψς,δγβσκτος,θβάακ5ος,βάλρρδις,βάλοτθισ
βάτος,γςτοιφς,βσ6κοψς,βωάυπλς,βάτ0ωθ;,βάυφτο1
βέλος,ονωςλος,βρθομος,βυέυ΄λς,νβέλ9λ3,λβέλοτ2
βέτο,ιγφστο,ββδρωο,βοέγφπ,βιέπτο,ηβέλτλ
δέος,νχωςος,κσδρ9ς,μδχέι;,δέπσοζ,ωδμέοσ
ιστός,8ζτοχός,ιχγμόις,ιβσ6δις,ιθστφ92,τδιστόε
κάθετος,μζιθεωτος,κ;ρηφετος,νκά83τωος,κάθςλ5ζος,κάθευτπφς
κάκτος,μ;κφτπος,κζξστοχς,κάξτροξς,κάκφην9ς,κζάκτιδ2
κήτος,λρξτβος,κθγ6οψς,ρκή6λκς,κήτυπφ2,κήιτβοζ
καινός,λσινεόης,κφς8ονός,κκοα8ηός,καιδηκας,καινξπλσ
καιρός,ισσιηρός,κςχ9νρός,κηα8φόνς,κθαιδξλς,καιθρζλ;
καυτός,λςυρωτός,κσθτφθός,κοα65βός,καυφ0κπς,ακαυτλτσ
κενός,ιςχρνός,ηκυσμός,κξεμβ9ς,κεν9σρε,θδκενό4
λιτός,σ.βοτός,λη9λγός,βλιγρκς,ξλτιτιε,λιχτόαδ
λωτός,κφτόπσς,λψγόλζς,λω5κλσς,λωπτρ9ε,λωρλτό1
ρητώς,5υυτώμς,ρπξρώτς,νρηχ6γς,ρηγττφσ,ρηγτμώδ
φαεινός,γψτ;εινός,φζκ3ηινός,δφαδονεός,ιφφαεθξός,φαεγτιβκς
φελλός,γξ3λλόμς,ψδφ3ολός,δφειοπός,φειλ΄9ως,φτερλλ9ε
ψητός,ωγτμπός,πψβ6ζός,ψαηγφ0ς,ψδητβι;,ψητόαν2
βλήμα,ηω΄ήμθα,βγεκξμα,βηλββνα,ββλήνω;,βλνζήμχ
άθλημα,;υιλξημα,ξά8τκημα,άθπλυμσα,εάθλξιξα,άθληηκυζ
έγκλημα,δηυκλνημα,έωιλβυημα,λέγμοφημα,έγρκπβμγα,έγτκλγξξα
έλλειμμα,3΄λελιμγμα,ωέ΄.ειβμμα,έδλππδιμμα,έλλρομμσχα,έδλλε8νμαα
ασχήμια,;ξαχήθμια,αςδψήζμια,γασψυμιωα,ασχθοξιπα,νφασχήκξα
βλέμμα,αν.κέμμα,ωβο3μθμα,βζλρκεμα,βκλέξζνα,βυφλέμξς
δουλειά,ε9ιψυλειά,αδκ6λυειά,δδοθορειά,οδοευ.σιά,ηδοτυλ49ά
ζημιά,χυμοδιά,χζννοιά,ζιηηξκά,ζμρημ8;,ζψημιοσ
ηλίθια,υω΄είθια,ηηππ8θια,ηλ8ηαιεα,ηλθίμικα,ηλθίθ8φς
ηλικία,τξκιδκία,ηπογκίθα,ηλθολπία,ηλιξκυγα,αηαλικ9;
θέλημα,κ7ςληλμα,θ4β.ηημα,αθθέκβμα,θέλθαξφα,θέηληξζ;
κάλυμμα,ιζτλυμγμα,κξσζκυμμα,κάιλο7μμα,ωκάληξιμα,κγμάλυκνα
καλάμια,λ;λθθάμια,κβζκάμκια,πκακσξμια,ψκαλ;ξιηα,κανβλάξκα
κόλλημα,θιιλλλημα,κσιθκλημα,κόσ.πημδα,κόλπλυμρα,ακόλλγεκα
μούμια,ηκλύτμια,μκδλ7μια,μδο6κιυα,εμηούκ9α,μούμξλης
ντουλάπα,ηχυουλάπψα,νγλψουλάπα,ντπ0θλάπηα,νετογκάξπα,ζντουτοζπα
πλημμύρα,0τοεημμύρα,ψπκλβμμύρα,σπυλγξμύρα,πλημκνύερα,ιπλψημνηρα
φίλημα,ωβξλμημα,φεφξοημα,φίκμτξμα,φίιλβχνα,νλφίληκς
φουλάρια,τωλυμλάρια,φπ7λάξξρια,φολθωοάρια,φπουκσδρια,ζφμουλζ4ια
θάνατος,8ςνατκοβς,θξζσξατος,θάηςρατος,θάανσυορς,θχάνναγκς
κανίβαλος,λςνυίβχαλος,κδςξφίβαλος,καη9βαλοθσς,καν8βγδαλος,κοανίγ;χλος
σανδάλι,ςξςνδάλλι,σδζμδάπλι,σαλμράλμι,σαδνλχςλι,σαχνδ;π.ι
σανδάλια,δςνδψάξλια,σζξδμάλινα,αψσαηχάλια,σαγνεζλεια,σαχνδφσπια
σκάνδαλο,δοάνδδαλλο,σλσνδαναλο,σκ;φβδηαλο,σικάυηεαλο,σκάνεζτσλο
άρδην,τσφβδην,κθά4εην,άθορχυν,άκερδββ,άρδθηεκ
βάφουν,νςφγουυν,ιβζψουων,βάθδγιυν,ββάφκμγν,βάφορ6βη
βαδίζω,ω;δηίτζω,βςψκίζχω,βιαφκζαω,βξβαδ9χω,βαδιδίχγ
βαρούν,φωοςρούν,θβζδοψύν,βαφλιύον,βαρλκηρν,βηλαρο6η
βαρύνει,νωζρύνεπι,ζβυ;εύνει,κβαθδ7νει,βακριτξει,οβαρλύησι
βοδινό,η9ρδινπό,βκκχιθνό,βοοβχθνό,τβοδνξξό,βοψχδιη0
γάλα,βφςωλα,ψγσ;κα,σγάμκζ,γπάλξα,γάδλζ2
θέτω,θ7δψτω,τθπς6ω,θέαπγψ,θζέμτη,οθέωτη
ντουέτο,μγουέεγτο,νφλυνέυτο,ντλσμγέτο,ντοα7ςτκο,ντοουπ3ρο
γαβγίσματα,τγζβγίσμαπτα,γμσγγίσφματα,γπαωφχίσματα,γαββψκσματαα,γιαββγκςματα
ράβδισμα,ευζβδισομα,ρςυηδνισμα,ράωσισμζπα,ρζάβρ9σλμα,ράρβδρξεμα
άθροισμα,;ξηροισμδα,άηφοισδμχα,άθωδκιτσμα,άθρπξσομγα,άθροκθςνμα
τραύλισμα,ρφαύλιωστμα,τ4σχύλισμρα,τερξσγλισμα,πτραη΄ισμμα,τραύκθθασμα
χάρισμα,σι;ρισμγα,χγκ;5ισμα,χάυδθγσμα,χάρξζμνσα,χνάριεζκα
αδιαφανής,;σιμθαφανής,ηαθχ9αφανής,αδθζτφανήβς,αδθι;ωανήγς,αδιαδσουνής
διαφάνεια,ροαφάφννεια,δκ;φτθάνεια,δι;ωνάνιεια,δγιασψζνεια,δτιαφςιβεια
δίγραμμος,αρκγραομμος,δγ8φρφαμμος,δίπω4θαμμος,δίγε4ςμμοτς,πνδίγρζξμος
δίκαννο,χσ9κανμνο,δξμλαηννο,δρίιηςννο,τδίκςμγνο,δίφκαμηξο
δίχρονος,ψλξθχρονος,δοψροανοες,βδίλζφονος,δίχ4ισνλος,δίχρριηπος
διάλογος,ψκάλυογεος,δ9ζλογρσος,διςοοπγσος,ρδιωά.0γος,διάλ0ηυοας
διάμεσος,ψρκάεμεσος,οδξςμεεσος,ωδιζξεσωος,πδιάξρσοσς,ψδιάμσδοως
διαβάζεις,ρχ8αβοάζεις,δ8;ψβκάζεις,διπσνάβζεις,διαωζζεβυις,δνιαβμςσεις
διαβαίνεις,ψφοαβαίχνεις,δ8;βακίμνεις,ηβδιζγαίνεις,διανοη;ίνεις,μδιαβζ9νειες
διαγώνιος,ψοαγώφνιηος,ρδξςγώνιοβς,διι;φώκνιος,διαυψνιοζρς,μδιαγψηιορς
διακαές,ψοακαέθσς,σδκχζκαές,ωδι;γξαές,διαμςγεές,διακσξα4ς
διαμάχης,ψοαμάχητος,δοζμάχητχς,διζλξχάχης,σδιανπσχης,διαμωδςδης
διαπνοή,φθαπανουή,δθςρπξνοή,δβις0νοθή,δψδια0ηοή,διαπβ0κεή
διαφαίνομαι,φκχφαφαίνομαι,δ8γζφαίζνομαι,δισψμαίνοομαι,διαγωζίινομαι,δμιαφςξνομασι
δικέφαλος,σξ8ικέφαλος,δκλγέφηαλος,διοξδφαψλος,διπκδδαλβος,υδικέδ;ιλος
ένσημα,4νηισημα,υέξχημυα,ένζσβμζα,ένσευξυα,έψνοσηκσ
βούτημα,η9ύτημβνα,οβλθτημγα,βξο6φητμα,βούξρνμξα,βοκύτγκχα
γέννημα,ψυδγννημα,γδληνημρα,γρχέηβημα,γπένηξμαα,ωγένκνβνα
εκτιμάω,ςμητιμάοω,δεοω5ιμάω,εκ6βομβάω,εθικτξξάω,μελκτιξσω
ερώτημα,4εώπτηπμα,εμτ4βτημα,εργζ6ημμα,ερώπχρυμα,ωερώτλυξα
εστία,σςτυθία,κεχρσία,εσγρζξα,ερκστθσ,εστωίν2
εύρημα,μ46ρημια,γεγ4ηβμα,ηεύξεξμα,εύεροννα,τεύρσηκσ
εύφημα,4τφδημσα,ρεηδηκμα,εύωοουμα,εύτφνξνα,υρεύφηνς
κλίμα,ξ΄λίμλα,κ΄φ9γμα,πκλα8να,σκλλίξς,βκλίεμε
κρίμα,μοιδίμα,κεκμψχα,οκαρ9ξα,κρίπκλς,κρίκμνα
πέταμα,[4οσταμα,π4ψγαμρα,πέυασλμα,πέτμυςνα,πμέφταξ;
πέτυχα,νοστσυχα,π4γλυχωα,πεέζ5τχα,πέβττψοα,πφέοτυσζ
ποίημα,ολλρίημα,ηνπ9ξημα,ποομμθμα,ησποίβκα,ποχχίηνζ
στέμμα,εζγέμμμα,σ54μζξμα,σττλ3κμα,σχτπέξνα,στπέομξσ
σχήμα,εψήτζμα,γσζνμχα,σχβηδξα,βεσχήξς,υσρχήμσ
έγκαιρος,κ4φκαπιρος,αέιτοαιρος,υέιγισιρος,έζγκζξρζος,έγκαξκπτος
έπακρος,δομπακρος,έζλγσκρος,έπ;ιροθδς,έορπαλδος,νγέπακδ0ς
έτερος,δυψεροβς,έ6ςρτηος,ξξέτς4ος,έτζεετις,έτεβδρι2
ημερολόγιον,υξερολόγιαηον,ηπκσρολόγιδον,ημ4τολψόμγιον,ημεθδλλρόγιον,ημερ9.όκγφιον
αερολογία,βς3χρολογία,αβ3εοιλογία,αεερ0λογζία,αεαρ0κογίμα,αερο.0εγξία
ημερολογιακή,θξερτολογιθακή,ηενδρολξογιακή,ημς4ολζοπγιακή,ηομε49λοωγιακή,ημερξιπογιακτή
ιδεολογία,κψζεολογίρα,ιφσ3ολογλία,ιδγσθκλογία,ιδε9πδογτία,οιδεορο0γία
ιδεολογικό,κσεολογγιικό,ινωχρολογικό,ζκιδσπλογικό,ιδεε0χοογικό,ιδσεροο0γικό
διαιτολόγιό,σκαιπτοδλόγιό,δρξσιγτολόγιό,δδιζιοτολόγιό,διαουβολτόγιό,διαιφκλξόφγιό
μοιρολογάω,ξκιψρολλογάω,λμμλξρολογάω,μυοξεολαογάω,μοριτκλοργάω,ωημοιρπ΄ογάω
ημεραλωπία,ηβνεραλωπξία,αηκρρζαλωπία,ημ44αλωηπίβα,ημεδ;πλωπίζα,ημερο;οβωπία
είδα,ρραθδα,ηζε9ρα,εβψίφ;,θωείδε,ιεσίδς
είπα,3θφπηα,σεξομα,γείνλζ,λεχίπς,λσείπχ
είχα,η3οχκα,εωιοζα,φερίσζ,ρείχλ2,ηερίχα
θεριό,οξω3ριό,θ4βη4ιό,θφει5θό,θερβω9λ,ωθεριυπ
θυρεοειδής,υηιρξεοειδής,θν7τεοθειδής,θαυε4οξειδής,θυτρς9ειθδής,θσυρε0φςιδής
ιδρύω,ογχρύλω,μιφτωύω,ιυδ46ψω,ιδρ7μφγ,ιγγδρύω
μοιραίο,ωξ0αιραίο,μπθεραυίο,μοτ95αθίο,μζοιδ;κίο,βχμοιρσ9ο
χημείο,ζθμείρθο,χωυξψείο,αχηκρίσο,χημθρ3ξο,χχηρμεολ
χηρεία,δδγρείια,χβεαείοα,χηζ5ςίια,ωχηηρ49α,πλχηρε9σ
ψειρίζω,αφσιδρίζω,ψδξομρίζω,ρψβεθφίζω,ψει5ξμζγω,ψειιρκαδω
ψηφίο,χγβφίφο,τψυγλίο,ψηαξδ8ο,ψηφοολι,χψηδφίλ
ψυγείο,ωθγεφίοο,ρψγτεοίο,ψευυ3λίο,λψυχγς8ο,ψυγε8ρκλ
ωάριο,γπ;γριο,ωςτπικο,οωφάδ8ο,πωάρξηλ,ωεαάρι-
θαμμένους,ξζξμμένουξς,θδσκμέκνους,χεθαννένους,θαμνψρχνους,θαξμμρηδους
καμένος,λζμκέωνος,κηυσξένος,κααξςντος,κλαμ3μομς,καμθέομπς
καπνός,ιζπζηνός,κζλνηνός,ηκα-εηός,κγαψπηκς,καπνλγαε
λάγνος,πδζγνλος,λςδωξνος,λάπτξδος,ζλάγψμις,παλάγνπ;
κανέλα,φλςσνέλα,κκξ;μέλα,καλξ4λτα,καν3.ηβα,πκψανέ΄ζ
καπέλα,ιφσσπέλα,κζ-μέδλα,καω[ςλπα,κψαπ4ιοα,πκαπεέο;
καράφλα,λδζράφλβα,νρκσ4άφλα,καδζψφελα,κιηαρσρλα,καράωθκδα
καρέκλα,ιθσρέκκλα,ζκσεκέκλα,δκα4ο3κλα,ωκαρδδλλα,κκαρυέλοα
καραμέλα,αξσρζαμέλα,κσεαθμγέλα,καδσιςμέλα,καρςκένχλα,καρπαξ4ωλα
μαϊμούς,νζζϊμοβύς,μζ8κμμούς,μαρονούψς,μαϊνσι9ύς,μφαϊμκοθς
λίτρα,΄ρκωτρα,λζδξγρα,πλίπ6φα,λίτξδγσ,λυπίτρα
λουτρά,΄κυτρχσά,σλα0θτρά,λτογ6ψρά,λουγ5αλά,λοουτφσσ
πλατεία,-χκατωεία,πκνζτεψία,πλ;γυείγα,πλχλαρ4ία,πλατ4εμκα
φλάντζα,κκδπάντζα,φοθςντζξα,φλσιοβτζα,κφλλάβγζα,φλάνφατμα
χαζά,χοδςζά,χοεζαά,εχαχχζ,ηχραζ2,χξαιζζ
θετικό,7ρτξνικό,ωθδυικεό,ξθψερ9κό,θεξτψοιό,θεβτδιμκ
λευκό,οδυκρκό,πφλςηκό,φλεαθιό,λευοελ0,λεπρυκξ
λιβυκό,κ8βευκπό,ελσθωυκό,λθγιωηκό,λαιβθιδό,λιβμυξελ
λογικό,πφπγιλκό,λ9υιγνκό,λοβηθκθό,λογφ8δοό,ελοβγιοπ
λυρικό,γ΄ιηρικό,λγφχδικό,τλυεοκιό,εολυρξλό,λνυριξο0
ξενικό,νδκνιφκό,αξρβικπό,ξιεβκκπό,ξιενζ8ιό,δξεννιο0
ξερικό,ισφρρικό,ξσελιψκό,ξε4χθκηό,νθξεροξό,πξερηιοπ
παίξιμο,ογςίξσιμο,πςξυκξιμο,ρπαθνινμο,παπίνκνμο,παίηξ8ντο
παιδικό,΄;ιυδιψκό,π;9δτιπκό,πα9ψφιοκό,πηαιρπκκό,παιφδξζξό
πεζικό,0ρζζικθό,πσχικηπό,κπιεακκό,πεζομτχό,πεμζιξτ9
πλέξιμο,-΄έξιμδηο,τπ΄χ3ξιμο,πλρλχιιμο,πελέμομμο,πθλέιξκκο
ταξικό,5στξοικό,τφσανικό,ψτνακκκό,κκταξκοό,σταηξιοπ
τελικό,γφσλιθκό,λτςοικβό,τοεροξκό,τιενλ8μό,τελπαιοπ
τοξικό,6χ9χξικό,τπιμξικό,ητονξκωό,τδοξ9ιιό,τομξζιλ9
επιρρεπείς,σβ΄ιρρεπεπίς,εαυλ9ρρεπείς,εποοπ4ρεπείς,επιιεφ4επείς,επξιρδξ3πείς
ευπρεπών,ρθπρελπώξν,εγρορνεπών,ευωλδιεπών,ξευπφ3βπών,υευζπρσοών
απρεπής,;λξρχεπής,αω[5εππής,ξαπ4μσπής,απρςη-ήως,θαπρελ[υς
ευφραίνεις,δγφραικίνεις,ε6ξτρααίνεις,ευδεαίρνεψις,ευφ5ςίνιπεις,ευηφρ;ξνειβς
εφορεύεις,σ4ψγορεύεις,αεδγλρεύεις,εφπ5εφύειφς,ελφοη43ύεις,εφοηρς6ειχς
εύπεπτης,4γπεπτηπψς,ε70επντψης,εύλδππψτης,εύπδν΄τψης,εδύπε-φγης
θεοπρεπής,ξδοπρψεπλής,θτρλπρεπήρς,θελ΄ρμεπβής,θεο-ζ4εθπής,χθεοπτφσπής
αμφιρρεπείς,;κφιρρτεπεσίς,αξγικρρεπενίς,αμωοκρρεπφείς,ανμφθτδρεπείς,αμσφιε5επζείς
απρέπεια,σ[σρέπσεια,αλφέπτυεια,απ43ψπλεια,απδρσ4λεια,απρθρέ-ρια
αφαίρεσης,ζωδαθίρεσης,αω;ίρεσηχβς,ξαφσορεσηις,αφα9τυεεσης,αφαί5σσηαδς
διαπρεπής,σκακπρεδπής,θδ8ζπρεξπής,διζι-ρψεπής,λδιαοφβεπής,διαπ43ππδής
εκκρεμής,δξοκρεεμής,εξνιφρεμής,εκξδεμήογς,εηκξκ4δμής,εκκωρλςκής
επιρρεπές,δλιχρρεπέβς,ε[9ρχζρεπές,επ8ρ4ρεπέξς,επιτδζτεπές,εζπιρ5νδπές
ευπαθής,ςηπαλυθής,εηλβακθής,ιευοζεθής,ευομπςηής,επυεπαξξς
φέρελπις,φδςρελμπις,κφσεεμλπις,φέφ44λπβις,φέρσοπισος,φέρεπ0ζθις
ζούγκλα,α9γύγζκλα,ζλ6γοκδλα,ζολγκτκλα,ζοσνύυξλα,υζούγμβκα
πουγγιά,ολιυγδγιά,π9γζγγτιά,τξπογηγιά,πηοπυηυιά,ποπυγσβθά
καλάμι,ισελάμγι,κηςπάμλι,κγιακςμι,ηκαλ;βξι,κθαλάμνξ
κορνιζα,ξιηρνιωζα,κιφνιζυδα,κολ5βιοζα,κορηζκπζα,θκορν9φχα
λαιμος,α.;ιδμος,λζκημοις,λα9πντος,λεαιξξκς,τλαιμζια
λατζα,π;οτζζα,ξλψσφζα,λαυα5αα,λατωψχς,λιγατζ2
λεξικο,κσξψιδκο,λε3σκικο,λρεηθικο,ολπεξξοο,λεξζιλλι
ζούλα,αειύμλα,ζ0μσθλα,ζο6οκγα,ζροξύπς,αδζούλχ
ζούρλα,σ9κύρβλα,ζκβθρολα,ζποατφλα,ζοωωύεκα,ζγούρου;
βούλα,η9κύλγα,λωβκγλα,βοθδε.α,βούφφοζ,νβούλος
ζουλάει,χ9υλυιάει,ζιγλαοάει,ζζο6λ.άει,πζουπσφει,ζουλσβ4ψι
ζουμιά,βσ9υμιηά,ζκγπ6μιά,ζογσκιθά,ζουκχ9φά,νζουμκβζ
σούβλα,ζλύββλσα,σ0υ7ψβλα,σογδμωλα,σμοκύω.α,ερσούβοσ
τούβλα,50ύβνγλα,τλρ7βψλα,τνχο6γλα,φτούνπτα,τούβ.θκσ
τούρλα,χ5λύφρλα,τιβοηρλα,το6φχχλα,τούφθμοα,τβούρρκζ
φούγκα,ωληύπγκα,φιψ6γκλα,τφοθτκβα,φούψβχξα,εφούγυλζ
αίτημα,δσοτηυμα,απ9μρημα,παίπυβμα,αίτξινγα,ναίτηκν;
ακόλλητος,ζμόλλνηττος,αλ9λλβαητος,ακ0.δπλητος,αρκόπ΄τητος,ακβόψλκντος
βάζο,ξγςζηο,β;ησιο,βφηάχι,βάκρζκ,βάυψζ-
βόλος,ω0γλκος,β9οοθπς,βόοξ9χς,βόλρλκσ,μβόμλος
άφιλος,ζωιλληος,άζγζ8λος,άκφθπους,άφππι.πς,άφιζλ9ο2
γλείφω,ηοείωφτω,γομ.3ίφω,γλσκφοχω,γλεοχγγω,γελείζρψ
δανεικός,ψςνειδρκός,δσβθεικζός,δαξ4βικιός,δανδθχνκός,δανεκθπλός
διάλλειμα,μεθάλλοειμα,αδλθσλλειμα,δισππλωειμα,διάρ.οφειμα,ζδχιάλ΄σιμα
δήμος,φξβζμος,δνυκοχς,δήξζη0ς,ηδήπμπ;,δφυήμοσ
δίστιχο,ψθπσγτιχο,δξκχτιχυο,δίγαυισχο,δίσκτ58χο,θδίσψτοψο
έγγειος,ρρτγθειος,λέβτηειος,έγβφςιοκς,έηγγσδοος,έγγε8κμβς
έκκληση,ρχοκληξση,έλλληποση,ηέκι.ηπση,δέφκκ΄θση,ζέκκλυεψη
εξάρτηση,δτηάρτησαη,εεμςρρτηση,εξ;φτκησση,ελξάτγ5ηση,ιεξάρρδνση
ετοιμολογία,δζφοιμπολογία,εφιιμολκογοία,εχτλομολογίσα,ετοθυνολογίια,ετφοιξ9λογίχα
ευφορία,ρημφβορία,ιεθψοκρία,ευρζχ9ρία,ευλφκρφία,ευφοτοωωα
εύηχα,φρτιηχα,εσ6θχηα,ογεύξζα,εύηδσχσ,εύητλχα
θαλάμη,ιςλλάιμη,θνασκάμη,θαπκζμλη,θβαλ;ναη,θηαλαάκξ
θύρα,ι7πχρα,θλιθ5α,μθφύεζ,ωθύρπχ,θύτερχ
ίλη,οπξθη,ίπ΄δβ,γίλνη,ίλχυω,αίτλφ
ιός,ζρ89ς,φιλτα,ιιιόε,διξός,ιχτό1
Ιωνικός,Ορψνιχκός,Ιργαμικός,Ιωη9κγόκς,Ιωανθμρός,μΙωνιλπδς
κάλλος,κμςλβλος,κπσκλχος,κβπάοκος,κάγλοπλς,κάλθλπξ3
κερί,ομω4ρί,κυ3ε4ί,κελμφ8,κιεερ7,ψικερι
κλίνει,ιγω΄ίνει,κοδ8νενι,κλμφκηει,κλαίη4ιι,κμπλίνρ8
κλήση,βμρκήση,ακω.θση,κλθγρχη,κγλήεμν,ηκλξήσγ
κλήμα,λξκήπμα,κπηξδμα,κρλδυξα,κλψήντς,κλήωυμ2
κόμη,ογψιμη,κπνηαη,κμόρξγ,κόθμεφ,κσιόμξ
κόμμα,μθλμρμα,κοθλνμα,κόηδξκα,κόιμνυζ,κόμιβμα
Κρητικός,θΛεητικόρς,Κ4ξτιεικός,Κτργρικψός,Κρητυοκξός,Κρητξψσξός
κινώ,ολγθνώ,γκξ8ηώ,ζκιηκβ,κιβναδ,κινθου
λήμμα,ψπξμχμα,λαθγνμα,πλήκνψα,λήμκδθ;,λβτήμμ1
λιμός,΄8μωτός,λη9χκός,λθιανπς,τλιμρ0σ,ελζιμό1
λήθη,.υηαθη,ζθλβυη,λλήφιυ,βλήρθη,ξχλήθξ
λίπη,κοπτιη,μλκ΄δη,χλί-ψυ,λίζωπθ,πνλίπν
λίρα,οονραα,γλ9γφα,λξί5η;,λπίρυσ,ημλίρα
μέλι,κξςλδι,μπ4κει,σμκέ΄ο,θμιέλλ,μμέολξ
μέρη,νρωρκη,μσδ4ιη,βμέατν,μέρρβ8,μνέργη
Μήλος,<βλφσος,Μφσγκος,θΜήκ0γς,Μήεθλ0ε,Μήζλοκα
μήτρα,νχγβτρα,μνγγψρα,μήλουτα,ξμήτγ4σ,μήτεδρα
μοιχός,ιξπιχόβς,μκφκχφός,μοξδόψες,μοοιπζ0ς,μοιφχ0ζ3
μηλιά,ξξλζιχά,μβ.ιπφά,μηηυ.8ά,αλμηλθσ,μξηλιλχ
νίκη,νεμοκη,νκπημη,νίμιρθ,χνίκχθ,θνίβκτ
νότα,ηρ9τφα,νιξπυα,χπνόγσ,ηγνότε,νοξότσ
ξηρός,θγαροός,ξγδεόλς,ξηζδλπς,ξηζτρ9;,ξδηρηόχ
όμως,0ρκνως,όκνδγς,βόωμψε,ξξόμω;,θόμωω4
όρος,δλτογς,όιτθλς,όρπου3,βόροκζ,όρωοθα
πάλι,-ζολζι,πθοσκι,πάωπρθ,πτάσλθ,πλψάλ8
πήρα,΄βεηρα,πτκβ5α,τζπή5ς,πψήζρ2,πγήρπ;
πυθών,λτθώυον,πεηινών,πυγ8υψν,ιπυθφθξ,μπυθώρβ
πολύ,-ζ9λιύ,πιπτκύ,ποκδγ6,ππολβη,εζπολυ
πιάνο,ολ9ιάνο,πκτςενο,παισηβο,λπιάμξπ,πιμάνθξ
ποιά,λληθιά,λπλ9ξά,πλξο8ς,πψοιμ1,κπογιχ
παράλειψη,οζρχάλιειψη,πο;τάλειηψη,πα5βζλειρψη,ιπαρςκειψψη,παράπδκσιψη
ρήμα,4νμμμα,ρβθντα,ρήκγας,ραήιμσ,λρήνμα
σατυρικός,δζτυαρικόθς,σσφυργιικός,σαυ6ρικόνυς,βσαττ5ηικός,σατυεκζκόρς
