πατρίδα,οζτλυηρίδα,π;γρρίβδρα,παευιείδηα,πατλιδθσδα,πνανοτρκσα
ρητώς,5υτγοσώς,ωρξσγρώς,ρηζ6ιγθς,ρχητφυνσ,ρητυώρπδ
φαεινός,ξθγ;εινφός,φχζ3ιιενός,φαφδοοχνός,πφεαψεθξός,ηφαυειβζκς
φελλός,γ3κσβλλός,φσ3ολψόλς,φεαψοπόξς,φφελ΄μλ9ς,φφποελλ9ε
ψητός,ωγδτνκός,ψβξ6δόης,ψκγπηγ0ς,ψψρητδι;,φυψητκό2
βλήμα,ηττ΄ήβμα,βμκαξμωα,θβελθβνα,βλοήδην;,ββλήλμεχ
άθλημα,μα;υλυημα,αά8κηοομα,ζάμθπυμγα,κάμθλξμξα,ιάθλχιηκζ
έγκλημα,δυκληωμωλα,έκωσοιλημα,έτγμοηαμλα,έογκοπβμπα,γαέεγκλξξα
έλλειμμα,3΄λεφιμμψρα,φέ΄.οειλμμα,έλπδιβρζμμα,αέλξλυρομμα,έλλιερ8νμωα
ασχήμια,;αχήδμδαια,αςνψήμαλια,ασηψζυμοια,ασπχθνξωια,ασχαήυκξθα
βλέμμα,ννχρ.έμμα,βυο3εμχμα,βλρζκφμξα,ρβαλέξντα,ηωβζλέμξς
δουλειά,ε9φυψθλειά,δχκ6λφοειά,δθοθοθοειά,δουε.σωιοά,δδουωλ4ρ9ά
ζημιά,χπυυμιπά,ζνβνρινά,ζββηξξκά,ζημρ8αω;,νζπηζμισ
ηλίθια,δυ΄ίπθβια,ηλπ8ξγθια,αηλα8ηρια,ηγλλίιακα,πηλχίθλ8ς
ηλικία,ξκτνιικία,ηποκίιωπα,πηλθορίδα,ηλιμρξζκα,ηλδικππ9;
θέλημα,χ7ψξςλημα,θξθψ4.ημα,γθβμέκβμα,θέκλθξσζα,θαέεληγξ;
κάλυμμα,ξξιζλυομμα,οκζκυμδμεα,κθάζο7μμμα,κάλυιηηξμα,κάοηαλυκνα
καλάμια,ξσαλ;λάμια,κζξκάμγιβα,καδκτσχμια,κωαλ;σξιτα,καξμλάξακα
κόλλημα,ιθιδλξλημα,κιψοκλητμα,κόρ.ππημαα,ζκόογλπυμα,κόνλλδγκυα
μούμια,κκλσύζμια,εμκ7μδιψα,χμολ6καια,μούκ9αξαα,ιιμοφύμξς
ντουλάπα,ηυουωλικάπα,ανγλβυληάπα,ντ0ζσθθλάπα,νκτοργηκάπα,νητουνοζπια
πλημμύρα,0γγοημμψύρα,θνπκβμσμύρα,πλκγυμξμύρα,πλημτκνύωρα,πυλχηομνηρα
φίλημα,ωξσητλημα,οψθφξοημα,φψίκφξμχα,φίμδηλβνα,φτίψληζκς
φουλάρια,τλγυθλυάρια,φπ7λάρυριδα,φοθοάωπνρια,φοιτυκσπρια,φουολζ4ιμθα
θάνατος,τ8ςωναμτος,θσξααττξος,θάγτηςτφος,αθχαάνσυος,θβάωνακγκς
κανίβαλος,λςνίιβιαχλος,κλςξίβχηαλος,οκταηψ9βαλος,κανζν8γαλογς,καγνιίγ;λοσς
σανδάλι,τςςνδάλρλι,σζτμδξάλλι,σαθμρνάπλι,σκθανχχςλι,ρδσανζδ;.ι
σανδάλια,δςνδζάσολια,σζυξωδεάλια,σβαψηχλάλια,σανεθζληιαα,σξαντδλσπια
σκάνδαλο,ιδοάντδαλψο,σλσνωνδαχλο,σσκπθ;βδαλο,σκάγηεαρλοο,νκσκάνεζιλο
άρδην,υσφλδρην,σάν4ξεην,άωυρχκυν,άτρζρδββ,άρδεηημκ
βάφουν,σνςρφουυν,βγαζτψουν,ξβάγιυεαν,βάφκγλσεν,βπγάφοζ6η
βαδίζω,ηφω;ζδίζω,ηβςψζξίζω,ββαεζφκζω,ψβψδαδ9χω,πμβααδίχγ
βαρούν,βωςρφβούν,βνζψδούλν,ηβααβφιύν,ξβναρληζν,βδαρλοσ6η
βαρύνει,νζωρωύβνει,β;εύννσεωι,βαδ7κινετι,βαρεβτξωει,βαρύηελωσι
βοδινό,βη9δινλδό,βξκιχοινό,βοχζθθνυό,γβοδχξξπό,ιβοδψιξη0
γάλα,βτφςλψα,γψθ;κξα,ξγπάκζζ,γάλγλια,γάλδψω2
θέτω,α7ψδτψω,θςυγθ6ω,θέγαξψψ,θέτηψξη,θέπυητη
ντουέτο,νεμγρουέτο,ψηνφλυέθτο,ντκλγέγγτο,απντο7ιςτο,ντουλλφ3ρο
γαβγίσματα,τζβωγγίσματσα,ργσγγίσυμεατα,ιγαοπωφίσματα,ωαγατββκσματα,γθαβγκςαμλατα
ράβδισμα,εζβηδισμξτα,ξρςγηδισυμα,ράκωσριπσμα,ρωάηβρ9σμβα,ράκβδξθεμτα
άθροισμα,θ;ξροιυσιμα,άβαηδφοισμα,άοθδχκιλσμα,άθρπξββσγμα,σάλθρχοκςμα
τραύλισμα,ργξφαφύλισμα,τλ4σσύλικσμα,τρασγγλισμμα,τραη΄ιρσμψβα,τρραύκυθτσμα
χάρισμα,συ;ρβικσμα,χζα;5ισμδα,χάεδθσεβμα,χσάρμξζζμα,φχψάριεοκα
αδιαφανής,;σιοαργφανής,οαχ9αφανήκις,ααδθζλφοανής,θαδι;ωαανλής,ξαδιαεδσνρής
διαφάνεια,ξβροκαφάνεια,τιδκ;φάτνεια,δι;ωάντβειξα,δυιαψζνευιδα,διαφγζςβεγια
δίγραμμος,βρκψγρασμμος,μδ8φθραμμοας,δίωμγ4αβμμος,δδίθγ4ςπμμος,δίγορδζξεμος
δίκαννο,σζ9καιοννο,δξψμανεθνο,δίβτφιςννο,βδίηκςμνσο,δίκαεμμηγο
δίχρονος,ψθνχμροσνος,δυοψπρνονος,δίωζπφονοος,ρδίχυ4ινθος,δίχμριτνηος
διάλογος,ψκάλοαγοωδς,δ9ζλδοχγοτς,δτιλςοογοως,διάα.μ0γθος,δβιάβλ0μυος
διάμεσος,ψκηάμθεσκος,δλξηςμεσκος,πδιεζξυεσος,δζιάξρσοακς,διάμψσφδοος
διαβάζεις,χ8αιλβάζειχς,δ8δ;βάρζειμς,δσοισνάωζεις,δκιραωζζεκις,δβιαβςενσεις
διαβαίνεις,ψοφηηαβαίνεις,δ8τ;βαίηνειξς,δικζγαγίνεισς,διταν;ίγνειυς,διαβζ9νθνεδις
διαγώνιος,ψξοαγώνικαος,μδρξςγώνιλος,δηι;φώνλιψος,γδικαυψνιλος,διαιγβψηπιος
διακαές,κψοαηδκαές,δκψζλκσαές,μδι;ξξαέες,διακεμςγές,ζμτδιακσ4ς
διαμάχης,ψοαμάχχηγτς,δοζμτάχρημς,διζξυξεάχης,διανψσπχηφς,δδιμαμςδηβς
διαπνοή,τφθαλπανοή,γδθςπνηβοή,δψις0ωνοζή,διαχ0ηβψοή,δωιηταπβ0ή
διαφαίνομαι,ιηφκαφαίνοφμαι,δ8λζφαίνμψομαι,δισψθαίνξοζμαι,διαψγζίνοεμασι,διαφςξψνσομαοι
δικέφαλος,σκ8κέφσηαλος,δκοχλέφαλοδς,δπιξδφπαλπος,διτκχδδγαλος,δοισκσέδ;λος
ένσημα,4εσησηκμα,ζέωξχδημα,έωνζυβομα,ένοσυξχαα,μχρένσηκσ
βούτημα,κη9δύπτημα,θφιβλθτημα,βξαο6λφημα,βνούρψνπμα,βσούητγεκα
γέννημα,ωτυδννδημα,γδκηλνηχμα,γέλνηιβημα,γένηδξτμσα,γέννβονβνα
εκτιμάω,ξςμτιψμάπω,εο5κιθξμάω,εκ6ομσεκάω,θεκρτξξζάω,οεκκττιξσω
ερώτημα,4εώπτηγμμα,ε4βξτημδωα,εδρσγ6ηυμα,ερώκρυδξμα,ερφώυτυξεα
εστία,σφςτξηία,εαχρψίτα,εσνγεγξα,εσσυντθσ,πεστζίξ2
εύρημα,4μ6ρναημα,εγ4θγχημα,εκύυεξμαα,χεύμρννωα,εύρηκξωρσ
εύφημα,4τφημδιρα,ειρσηδημα,υεύηωπυμα,εφύφρξνσα,ετλμύφηνς
κλίμα,ξυψ΄ίμκα,κψ΄9βκμα,γκλδ8νχα,κλβίξννς,κνολίδμε
κρίμα,αιδίμλια,ψκεεκμγα,ζκρξχ9ξα,κορίκχπς,κορίιμκα
πέταμα,[4τμξαμλα,ζπ4γαψχμα,πγέωυσνμα,ηπέκτςνωα,φκπέτααξ;
πέτυχα,οστυυξξχα,θυπ4γφυχα,φρυπέ5τχα,οπνοέττψα,πιέτωλυσζ
ποίημα,οωλτίεημα,ξπω9ξρημα,πτοοθμοζα,ποίβικεεα,λοποίηνπζ
στέμμα,ζλγξέχμμα,ασ5μ4μυμα,μστ3νπκμα,σωτέξχενα,φσχμτέμξσ
σχήμα,εψψβκήμα,σρζζνμζα,εσχββμξα,υστχήζξς,σχτοχήμσ
έγκαιρος,4φβλκααιρος,έτοαειρμοψς,έλτγισιροις,έγνκζξττρος,έγκασξτβφος
έπακρος,δσοακιροδς,έλθγσκρυος,έπξ;κιροκς,έποααλδοτς,έωπακδαλ0ς
έτερος,δπυεθρρος,έθ6ςδραος,ζέτρλς4ος,ωέιτετεις,έτεηψριδ2
ημερολόγιον,υξσελρολόγιθον,ηκσζρκυολόγιον,ησμμ4τολότγιον,ηιζμεδλθλόγιον,ημερ9.όδζγζιον
αερολογία,ς3ροηλεογίαα,ωα3οτεολογία,αεσεφ0λτογία,αεμρ0οκογωία,αερορκν.0γία
ημερολογιακή,φδθξερολογιακξή,ηνδθρολογιξμακή,φημς4ολογγιαζκή,ημε49λεολγιδακή,ημεχοριπογμιακή
ιδεολογία,κψεοθτλογγία,φισ3ιολογοία,ιδσκκλογίζηα,ιδευλ9πογρία,ιδιεφοο0γλία
ιδεολογικό,τκσεοζλογιωκό,ιχροελοψγικοό,ιδσπμαλογικωό,ιδοε0θοογικυό,ζχιδεοοκ0γικό
διαιτολόγιό,σκαιτοφλόηγπιό,ψδξσιτονλσόγιό,δξιζοτοδολόγιό,διραουολόγπινό,δωιαιιφκελόγιό
μοιρολογάω,ξκιρολοκσγάπω,μλξτφρολογάθω,μοαξμεολσογάω,μοχηιντκλογάω,βαμοιιρπ΄ογάω
ημεραλωπία,λβνεξζραλωπία,ηκκρζραφλωπία,ημ4φ4αλωπίυκα,ημεδ;λμηωπχία,ημετχρ;οωεπία
είδα,ωρθνδυα,λεβυ9ρα,ευρίφβ;,ενίδζσε,περίδπς
είπα,σ3ρθαπα,ηχεξοοα,εζμαίλζ,είπεφχς,εβηίπκχ
είχα,3ωψνοχα,εδμουζα,γεηίτσζ,αερίχμ2,ιβτείχα
θεριό,ξ3ρνιωιό,ψτχθ44ιό,γθε5θβπό,θεπιρτ9λ,εθχδεριπ
θυρεοειδής,υηρρεσοειδαής,θ7τχεζοεοιδής,θξυεο4οειδιής,θυρςφ9ειδήνις,θυμιρε0ςιδήμς
ιδρύω,δοαχψρύω,ζιφτύψωω,φιμδ4ω6ω,ζιηδθρ7γ,ιδρωούκω
μοιραίο,ξλ0ιραιίηο,μπθνραιξίο,μχο95αίπσο,μτοιδ;ίφπο,μυφηοιρσ9ο
χημείο,ζνρθμευίο,εφχυξευίο,χηφκκρμίο,υχημ3χξψο,πχσημγεολ
χηρεία,δφτγρθεία,τχζβυεεία,χλη5ςηίξα,χηρ49ψτζα,χθηρθε9κσ
ψειρίζω,φσιρίδζηυω,ψδορίλωοζω,ψεξθφίενζω,ψει5ξθδθζω,βψσειρκυαω
ψηφίο,χγκφίχψο,ψμυσγίρο,ψψλχηδ8ο,ψηιοθφοι,ψηζρφλίλ
ψυγείο,χωθγυείεο,ψφγτγοείο,ψυυπ3ίξτο,ψμυγςρ8κο,νψυγε8λρλ
ωάριο,γχχ;ρβιο,ωθςγρτιο,ηωάαχδ8ο,υωάυψρξλ,ωάπρρισ-
θαμμένους,ξζμρμέινξους,θσκκμέψνγους,θοταννέηνους,θαμζντρνουχς,θαμμρηφτουδς
καμένος,λζρμοένοδς,κσλξένοφτς,κταξοςνωος,ικαμ3σμονς,καημέμσπρς
καπνός,ιδζπφσνός,κζωλβνότς,κα-ηόγωψς,καπδηεβκς,γικαπνλοε
λάγνος,πιπζγρνος,γλςωνηξος,λάτρσξοτς,λάεγγμλις,ιλάγζβνπ;
κανέλα,ρλφςνέλκα,κ;βγψμέλα,ηκαξ4ολπα,κφαφν3ξ.α,κυανέπλ΄ζ
καπέλα,ιφζασπέλα,ξκλζ-ζέλα,ωοκοα[ςλα,κααψπ4ροα,φκμαξπέο;
καράφλα,σλζράφβλλα,εκσ4νάφζλα,καψδωζφελα,καρδσρπδλα,κεαρζάωζκα
καρέκλα,λισχρέκλυα,κσοτγεέκλα,κεαβγ43κλα,ακαφρυδλλα,καρεέξλβοα
καραμέλα,μξτσριαμέλα,ωκσεαξωμέλα,καιδυςυμέλα,λκαρςκέλλχα,καρζαξ4λφξα
μαϊμούς,νβζϊμκούες,μκκζ8χμούς,μασονμούυς,μαωϊτν9ύκς,μαϊμξκθξος
λίτρα,δ΄κτρξθα,νλσξγρδα,μχλίν6φα,λίτβσδυσ,λυίτψρθα
λουτρά,ψ΄βκυτρθά,αλ0θτηροά,λοογρ6ρθά,λουεγρ5πά,νλοουτμφσ
πλατεία,ξ-καατεχία,πκζτετίωζα,πφλ;γσοεία,πσλαρκ4ψία,χδπλατ4κηα
φλάντζα,δλλθπάντζα,φροςντζεζα,φθλσχβττζα,ψφλάθζβγζα,φνλάπθνφαα
χαζά,δχςψψζά,χζχαατά,χηεαχκζ,αβχαθζ2,βυκχαζζ
θετικό,ψ7ρρτεικό,θοδδτυικό,γθεχρπ9κό,θετωτροιό,θενττωιμκ
λευκό,οδτυκπλό,λεςαυηκό,δλπεθειό,λξχευαλ0,λεαυκσνξ
λιβυκό,κ8βκυκπτό,βλθωθυξκό,λλοηιωηκό,ψλφειβθιό,λιβφυωιξλ
λογικό,ππωγγιβκό,λ9θυικθπό,ηλσοηθβκό,ρλογζθ8οό,ξλογαιοσπ
λυρικό,΄αηριξκιό,λγφιωκζγό,αξαλυεοκό,σλυρξλυπό,λυτντριξ0
ξενικό,ξνδηνικνό,ξραβιεκοό,νπξεοβκκό,ξζεπν8ξιό,ξενιζιοθ0
ξερικό,ιρωρδισκό,ξσεειεκφό,ιζξε4θκωό,θξεαρροξό,ξεριολωνπ
παίξιμο,οζςίξφιμμο,πβςκξιμνεο,κπαθξνιπμο,παπίηνωκμο,ωπρεαίξ8νο
παιδικό,΄;τιδξαικό,επ;9διβκκό,πα9φπιτψκό,ιπφαιρκκφό,ππαινδξξβό
πεζικό,ω0ρυηζικό,πσχπθχικό,πεπακπωκό,ψπεπζοθμό,πεζιδτπξ9
πλέξιμο,-΄έρξξιβμο,π΄πχα3ξιμο,παλργιικμο,πξλέμοξθμο,πλωέξφκκιο
ταξικό,τ5σξγωικό,τσνμνικωό,τλακκκκωό,τκαξκποφό,τυαξιβοιπ
τελικό,τγζσζλικό,τςοωιτγκό,ντεοχξθκό,τεηλμ8μδό,τλδμελιοπ
τοξικό,69ξιψκξτό,λτπεμθικό,τοθνοτξκό,τοξ9εαιοό,τοξζιηλε9
επιρρεπείς,σα΄ιρρχεπγείς,ελν9ρρρεδπείς,εηποη4ρπεπείς,εδπλιφ4εηπείς,εππιρδτ3πείβς
ευπρεπών,ρθπιρεελπών,ευγορεθπδών,εχυλλδεχπών,ευπφ3πώλξνν,θευεπρτσοών
απρεπής,τπ;λρεπήλς,αο[μ5επηής,παπ4ασπήος,απρςηξζ-ής,απρελζ[υγς
ευφραίνεις,δγγφραίννεξις,ξε6τραίνπαεις,ευδφελαίγνεις,ευωφ5γςίνεμις,ευφργζ;ξνεεις
εφορεύεις,4ψοργεβύειρς,εδλρεοηηύεις,πεφαπ5εύνεις,εφο4ξ3ύεγβις,ζεφοιρψς6εις
εύπεπτης,4γπεξρψπτης,ε70επθχβτης,εύλδπτζηζνς,ερύπδδ΄τηλς,εύπε-ξγηηπς
θεοπρεπής,φξδοεπρεπβής,τξθρζλπρεπής,θεβλωα΄ρεπής,θεοι-4επφήκς,θεοπυφσπκηής
αμφιρρεπείς,;κρπφιρρεπείος,αξγιρργεχπείας,αμωορρεπειίγμς,αμφθδκρεπετίψς,αμφκιε5επεαίκς
απρέπεια,σ[ροχέπεικα,αλφφθέπειψα,αφπ43φνπεια,απρ4λθεβιωα,απρέχ-ξριια
αφαίρεσης,ζνωαίργτεσης,αδω;ίψρεσηας,αφρσορεδσηχς,αχφα9τζξεσης,παφαίγα5σσης
διαπρεπής,σκαπρεπνήκης,πμδ8ζπρεπήθς,διωζ-ρμεπήπς,δψιαοιφεπήμς,κδιαπ4ο3πμής
εκκρεμής,δοκχρεβτμής,ερξιλρεμξής,εκξδεασμθής,εδνκκ4δλμής,εκκμρςηκμής
επιρρεπές,δφλιρρειθπές,ε[9ρυιρεπέως,σεπ8πλ4ρεπές,επιδχτχειπές,επιρ5δοπδέτς
ευπαθής,ςηπασθήδκς,εηλυλαθωής,ευοζθήξγως,εωυμπςηψής,μευπραθξξς
φέρελπις,δςμγρελπμις,φσεελοππισς,φέ4ν4δνλπις,οφέρσωοωπις,φχαμέρεπ0ις
ζούγκλα,ζτα9ύγκλνα,φζφλ6γκλλα,ζογτηκψολα,ζοπύυξξλφα,ωζγούγλμκα
πουγγιά,ολνλυγγβιά,πο9εγγφγιά,πεοαγηηγιά,πνοεουηυιά,πξοζυγεβθά
καλάμι,πισχλφάμι,κςπβάιψμι,κακθμχςμι,καλημψ;ξι,καλαφάηνξ
κορνιζα,ξιρννζιιζα,κκαψιφνιζα,κο5αβιδιζα,γκορηκξυζα,γωκορδν9χα
λαιμος,.;τθιμοος,βλιχζκμος,λα9ρνθοας,λεαιξκοψς,λπαφμιμια
λατζα,πμλ;οτζα,ξαλσφφζα,λαζ5ιηαα,λαπβξτχς,λυατζωι2
λεξικο,λθδκσξικο,λνω3κικπο,λωεηηθπκο,ληεξξμορο,λενθγξιλι
ζούλα,αζινκύλα,ζ0θασληα,ζχο6κψηα,σζούποθς,ζοηιύλξχ
ζούρλα,σγ9ύρλτια,ρζτκθρλσα,ιζβοτφβλα,ζκκούεδκα,πζμούρφο;
βούλα,ωθεη9ύλα,αβκοωγλα,βοφθ.θλα,βχλοσύοζ,βμαούολς
ζουλάει,χρ9υυλάλει,ζξιιγλάθει,ζλο6ξ.άελι,μζκουπσεφι,οζξουμλσ4ι
ζουμιά,γσ9υπμιιά,ζζπ6γμιμά,φκζογκιωά,ζυλοξυκ9ά,δζοηυμκκζ
σούβλα,ζλύβτλραα,ψψτσ07βλα,ωξσογκωλα,πζσούω.δα,σοούβχεοσ
τούβλα,50ύγβλψχα,λτλ7ρβλζα,τοντ6γρλα,τούνπδδβα,τοχύφβρ.σ
τούρλα,5ζλννύρλα,τοιξηρλρα,το6νφσλβα,τούισφοαα,φβτορύρκζ
φούγκα,ωλύξυνγκα,φπι6μγηκα,φοθντθβκα,φούαβξβωα,φττούυγλζ
αίτημα,σοωμτρημα,απ9ξρημρα,αίαυνβφμα,ψαίψτκξνα,λαίταηνι;
ακόλλητος,ωζμόλληττους,αλλ9ξλλητνος,ακ0.λεητγοπς,ταηβκόπ΄ητος,υακιοόλκντος
βάζο,γςγζαεο,νβ;χσθο,βωοάδχι,ψτβάζφκ,χηβάζζ-
βόλος,ζω0λυρος,βν9αζοος,ηβεόζο9ς,βψόλδκεσ,βεόφλωος
άφιλος,ζωδιηψλος,ιάγ8λλαος,δάφτθπθος,ιάθφι.νπς,άσφιπλγ92
γλείφω,ηοεγπίυφω,γ.ε3ζίφνω,γγνλεσκφω,γχλπεοσγω,ιγλεωίρμψ
δανεικός,ψςνειδγκόως,λδσβυελικός,ηδπαεξ4ικός,δωθανδθκόπς,δκανεθλμδός
διάλλειμα,εθσάλλειμκωα,δυθσχλλχειμα,δψισπγλυειμα,διά.οεβηιμεα,διάλ΄σφιυμτα
δήμος,φβσσλμος,χδυυφκος,τεδήρξ0ς,ξτδήμγπ;,δήξμοαοσ
δίστιχο,ψθσιντισχο,δψκχττριχο,δψίιαμυιχο,δνίσ5φ8ρχο,σχδίωστοψο
έγγειος,δρψτγεσιος,έβτεθικχος,έγψβςιορσς,έφξσγγσοος,νέκγγεο8κς
έκκληση,ρεβοκζληση,έναλλλεηση,βλέκι.ιηση,ιέκκ΄μυθση,λέκκλβτυεη
εξάρτηση,ζδηφάρφτηση,εμςψρτησζηη,ετξ;φσιτηση,εξάτ5χθησφη,εξγάρρδδνση
ετοιμολογία,σδδφοθιμολογία,εγφιιμολογμκία,ετλομολοδχαγία,ετοθνοθλοηγίεα,ετμκοιξ9λογνία
ευφορία,ριηφοεπρία,οεδθτψορία,ωευρψ9ρδία,ευφξκνφίυα,ευξφοψβτοα
εύηχα,ρτησμλχα,ε6θχθφρα,ετύξουζα,εκύφοηδσ,σσοεύηχα
θαλάμη,ιφςγλάμηη,θσκαάραμη,θαξκκνζμη,θγριαλ;νη,θααελζάκξ
θύρα,μωι7ωρα,αθψτθ5α,μυθύχεζ,θιύρχρχ,ιθωύρυχ
ίλη,οθηηπη,ισσί΄β,ίυλζξη,ίχλελω,ίττδλφ
ιός,κθ8η9ς,ηωινλα,γξιόκε,ιόλμμς,τιειό1
Ιωνικός,Οψνικβφόψς,μλΙγδμικός,Ιηρωη9κόις,Ιτωνθξομός,θΙωνιλδιπς
κάλλος,ομςηαλλος,μκσκλσνος,κτάοεκοις,κμλάλοπτς,υκαράλλπ3
κερί,φοπδ4ρί,ακ34ρχί,κπεκφα8,κθεζυρ7,τικερηι
κλίνει,ι΄λίγδνει,ακο8νοσει,καλκιηερι,θκλλίηρ4ι,λκελίνρσ8
κλήση,μακήσζλη,κχδ.θπση,σζκλχθχη,εκφλήσεν,μκζλήσωγ
κλήμα,ηξγκήμκα,κπξμφγηα,νβκλγυξα,χκλήνατς,κθλήμμφ2
κόμη,ολιιμαη,ικπνφπη,ξρκόξγγ,εκόφμδφ,κτόμθθξ
κόμμα,μτυλρμμα,θκχλνβμα,υχκόξπκα,ιδκόμζνζ,τκβόμμτα
