πατρίδα,[ςτρίδλα,πσ6ρίμδα,ππαρτίδα,πατξ4θδα,παχτροσα
γκρεμός,υιρχεμός,γι5οεμός,γκ4ρμοός,γκρςμνός,γκβρεξπς
κανενός,ξ;νενχός,κ;βυενός,καβ4φνός,καμνσμός,κανκεβις
λαιμός,΄ζριμός,λ;η8μός,λαξιξός,λσαικκς,λαιρμ92
φανερός,δ;βνερός,φσζμερός,φαξδαρός,φανσεόφς,φανεδφις
απλός,ζσολός,α΄κλός,απι.ις,αεπλ9α,απλόγς
βάλτος,η;λτοος,ιβσ΄τος,βνάο5ος,βάλυγπς,βάκλτι2
βάτος,ησδτος,βυζφος,βά5κις,βάτζκ2,βάτομ3
βέλος,ηζδλος,βδκοπς,βμέκπς,βέρλκσ,βέβλο1
βέτο,νρτμο,βα4υο,βέ6ψλ,βέτεο,βπέτι
δέος,φ4ορς,δνρις,δγέκ2,δένος,δέοπ2
ιστός,κετόνς,ψιςγός,ισ6μλς,ισετπε,ιστλό;
κάθετος,αιζθετος,κ;ξετορς,κάξ4ττος,κάθπ4γος,κάθδε5πς
κάκτος,οξζκτος,κζλτοζς,κάορηος,κάκ5λκς,κάνκτλ2
κήτος,μθθτος,κθρπος,κήφψ9ς,ρκήτισ,κήιτος
καινός,οσινόες,κσυθνός,κα9βόσς,κηαιβλς,καινικσ
καιρός,εμςιρός,κζσξρός,κακεπός,μκαιδις,καιρ0α2
καυτός,ξζυτρός,κ;γτχός,κατ5αός,καυφιθς,μκαυτ9;
κενός,οχρνός,κξςμός,κεβππς,κεν9η2,ικενόε
λιτός,χοοτός,λβκ6ός,αλι5λς,λυιτλε,ζλιτόδ
λωτός,κοψτός,λβδγός,λδωφκς,λωτππ2,λωτόες
ρητώς,ντγτώς,ρυγσώς,ωρη5γς,ρητογε,ξρητώ4
φαεινός,χω;εινός,φοσ4ινός,φτας8νός,φαε9ζηός,φδαειβ9ς
φελλός,ρσλλόος,φδπδλός,φυεκοός,βφελπλς,ιφελλκε
ψητός,τχξτός,λψν5ός,πψη5κς,δψητκα,ψητόω2
βλήμα,ωπήμδα,βλ΄ξμα,βλνξλα,βψλήξς,βλθήμχ
άθλημα,σιζλημα,χάυ.ημα,άθη.υμα,άρθλξνα,άνθληκσ
έγκλημα,4ηκληρμα,έβξλημψα,έγξορημα,έγκσ΄ξμα,έγηκλξνα
έλλειμμα,δπλειμθμα,έ.πειμπμα,έλοδκιμμα,φέλλ39μμα,έλλιε9κμα
ασχήμια,;χχπήμια,αζζνήμια,ασψγμιυα,ανσχβκια,ασχήν8οα
βλέμμα,ωπκέμμα,β΄σμμθα,βλσκχμα,βλέξωξα,βζλέμκσ
δουλειά,σκυλεκιά,δι7λεισά,δοκτοειά,δουφο4ιά,δολυλδ8ά
ζημιά,κσξμιά,ζβξβιά,ζηκμκά,ζηεμ9ς,ζηζμισ
ηλίθια,υκνίθια,ζηπξθια,ηλξω8ια,ηιλί7οα,ηλίνθ9σ
ηλικία,θκικίφα,η΄ξλκία,ηγλκμία,ηλζιλ9α,ηλικκκ;
θέλημα,ιυδλημα,εθδ΄ημα,θέκλξμα,θέλθθξα,γθέληνς
κάλυμμα,ρξςλυμμα,κεζουμμα,κάπθγμμα,κάληνμρα,κάλλυνκα
καλάμια,οσαλάμια,κσκάμλια,κφαπ;μια,νκαλσκια,καλάκο9α
κόλλημα,μπλαλημα,κ9οαλημα,κόρ..ημα,κόλ΄θμκα,χκόλλυνα
μούμια,ξλμύμια,μι7μψια,μψογνια,μούνκθα,αμούμ9ς
ντουλάπα,β6ουλλάπα,ν59υλγάπα,ξντ07λάπα,ντο7οάφπα,ντουοχσπα
πλημμύρα,-οημμύροα,πν΄θμμύρα,πλθξμπύρα,νπληννύρα,πλημξλ6ρα
φίλημα,ψ8λλημα,φφξ.ημα,φείκυμα,φρίλξξα,φίθληξς
φουλάρια,ωφκυλάρια,φιηηλάρια,φο6.άριλα,φχουκ;ρια,φκουλ;δια
θάνατος,ι;ναητος,θςκματος,θάηζντος,θάνσ6υος,θάβνα6κς
κανίβαλος,ξσνίβοαλος,κζμίβαλλος,καβ9βαλδος,κανξναλβος,κανίωςλογς
σανδάλι,χα;νδάλι,σ;ρβδάλι,σοαξχάλι,σανρθσλι,συανδ;.ι
σανδάλια,ασλνδάλια,σσηδάλιγα,συαηψάλια,σανε;θλια,σανδσοφια
σκάνδαλο,αλάονδαλο,ξσι;νδαλο,σκ;μδαλξο,τσκάηφαλο,σκάνφ;ηλο
άρδην,σο5δην,χά5χην,θάρσνν,άορδνμ,άξρδηκ
βάφουν,νζφουτν,εβ;γουν,βεάγ0υν,ββάφιτν,βάπφογη
βαδίζω,ω;ψδίζω,βρσχίζω,ψβαψκζω,βαδ9αεω,βαηδίσφ
βαρούν,ωζερούν,βσδδούν,βαεκύπν,βαρυιτν,βαρο7νβ
βαρύνει,νςρύνεψι,βσεύνεδι,βαδλ6νει,βαρωηβει,βαρύκμ3ι
βοδινό,ν9νδινό,βπσιυνό,βοχονηό,βοδοηηό,βοκδιηι
γάλα,υνςλα,γο;οα,γά΄τς,νγάλς,γάπλε
θέτω,ησητω,θυ4γω,θέφεφ,θέζτγ,θωέτγ
ντουέτο,β5ουέτνο,νφ9υέοτο,ντκηξέτο,ντοτψ3το,ντουςρχο
γαβγίσματα,β;βυγίσματα,γςηγίσρματα,γανηίσματφα,γαβηκσζματα,γγαβγοςματα
ράβδισμα,τστβδισμα,κρσνδισμα,ράνωεισμα,ράβσοσμαα,ράβδε9εμα
άθροισμα,ςηροιωσμα,άι5ογισμα,άθ49κισμα,άθριμ9σμα,άθρο8μχμα
τραύλισμα,φφαύλβισμα,βτδ;ύλισμα,τρζ7λιωσμα,τραρθπισμα,τραύπ9ζσμα
χάρισμα,ζμ;ρισμα,θχ;4ισμα,χά4ξψσμα,χάρ9ςλμα,χάριαζκα
αδιαφανής,ζψικαφανής,μαφοαφανής,αδκ;φανήδς,αδι;γβανής,αδσιαγσνής
διαφάνεια,ε9σαφάνεια,δ9σμφάνεια,διζδάφνεια,διαψςνειφα,κδιαφ;μεια
δίγραμμος,ε8γλραμμος,δοοφραμμος,δίυδαμζμος,δίγφσνμμος,δίγρζνμοψς
δίκαννο,ριξκαννο,δξυοαννο,δίτλζννο,δίκεσμνο,δίκαξβγο
δίχρονος,υχκχρονος,δ8ξψρονος,δίψ5ονβος,δίηχφκνος,δίχρρ0ξος
διάλογος,υφοάλογος,δδθζλογος,δι;χ΄ογος,διάκ0γοης,διιάλπφος
διάμεσος,φθπάμεσος,δθ;μπεσος,ξδισκεσος,διάθνσσος,διάμ3ζζος
διαβάζεις,εγοαβάζεις,δ8ζβπάζεις,δι;ηάζεισς,διαηζζειας,χδιαβσχεις
διαβαίνεις,σδ8αβαίνεις,δξςβαίυνεις,διζγαίνγεις,διαω;ίντεις,διαβς8νζεις
διαγώνιος,ψθαγώνιγος,δκσγώνιχος,διζβώνψιος,διωαωψνιος,διαδγγξιος
διακαές,ρσοακαές,δ8ςακαές,διςιβαές,διαορσές,δθιακσςς
διαμάχης,εθαμάεχης,δλθζμάχης,δισνάχεης,διακςνχης,δψιαμςψης
διαπνοή,ψ8απννοή,δξζπνοχή,δι;ονοωή,δια΄λβοή,δδιαπξ9ή
διαφαίνομαι,σ9αφαξίνομαι,δθσφαίνομαοι,διςψααίνομαι,διαδςηίνομαι,διαφιζξνομαι
δικέφαλος,σ9κυέφαλος,ζδοξέφαλος,διμ3ζφαλος,δικσραλξος,δικέτε;λος
ένσημα,σψβσημα,έηςηλμα,λένδνμα,ένσνγνα,σένσηκζ
βούτημα,ωιύτηχμα,β9ττημηα,βοτρωημα,βού6τθμα,βούητνκα
γέννημα,η4ννχημα,γσξνηφμα,γέηβηδμα,γένξνημα,γέθννγνα
εκτιμάω,δλτιμσάω,εδουιμάω,εκγ8μάσω,ωεκτοκάω,εακτιξςω
ερώτημα,ςβεώτημα,εωφφτημα,ερβγηβμα,ερώυξμρα,ερώτβλκα
εστία,κδδτία,επςρία,εσφσξα,εσγτ8;,εστοί;
εύρημα,δτρηγμα,εητεημα,εύ5γμζα,εύρθηκα,εξύρηξσ
εύφημα,ςηφξημα,εγνωημα,εύγδυμα,εύφθξνα,εύφηινς
κλίμα,λπίμκα,κοθγμα,κλ8ξια,κλχίξζ,κλθίμα
κρίμα,αοείμα,μκε8μα,κηρθξα,κρίβξζ,κρίμζσ
πέταμα,ο4θταμα,π46φαμα,ψπέφ;μα,πέυτ;ξα,πέταγνζ
πέτυχα,0ςτσυχα,πν46υχα,πέ5θψχα,πέγττδα,πέτυσζσ
ποίημα,-ρ0ίημα,πσ98ημα,ποζξυμα,πουίβκα,πχοίηξζ
στέμμα,ερ5έμμα,σσ5ρμμα,ζστ3νμα,στένκξα,στεέμν;
σχήμα,μαζήμα,σσζξμα,σχβνκα,σχσήνς,σχιήμσ
έγκαιρος,ςυκαωιρος,μέυξαιρος,έγξσιιρος,έγκυ;ξρος,έγκχαξεος
έπακρος,40ακηρος,έ-ςκπρος,έπςοαρος,ξέπαο4ος,έπακεω0ς
έτερος,4φεροος,έ5ςρορς,έψτσ4ος,έξτε5λς,έταερκε
ημερολόγιον,ξνερολόγιζον,ηνοδρολόγιον,ημςεολόγιοτν,ημεδ9βλόγιον,ημερκκρόγιον
αερολογία,υ;3ρολογία,οασ5ολογία,αε4λλογίγα,αερ9νπογία,αελροπκγία
ημερολογιακή,υβκερολογιακή,ηξ4ρολοζγιακή,ημ35ολογιακμή,ημεδ9λογιτακή,ωημερ0΄ογιακή
ιδεολογία,θεεολοογία,ιεισολογία,ιδςιιλογία,ιδε0πεογία,ιδεοπκγίψα
ιδεολογικό,8ρεολοεγικό,ιφδολοηγικό,ιδδκλογιηκό,ιοδε9οογικό,ιδεοπ΄9γικό
διαιτολόγιό,ρξαωιτολόγιό,δξςιτολόγξιό,δισοτολόγσιό,διαο5ολόγγιό,δψιαι6πλόγιό
μοιρολογάω,νλιξρολογάω,μφκθρολογάω,μοξνφολογάω,μοειτιλογάω,μοιορκοογάω
ημεραλωπία,υκεραζλωπία,ηξ4ραλωπίφα,ημρ5παλωπία,ημε4σλωπδία,ηφμερσοωπία
είδα,ρθυδα,εξυψα,είσκσ,είδεε,είηδα
είπα,οςξπα,εκμλα,ηεί΄;,εοίπς,ερίπα
είχα,3ξ9χα,εσοδα,εμίζζ,εηίχδ,ωείχ2
θεριό,ξ3ρινό,θςν4ιό,θεδκιό,θρερκκ,αθερι[
θυρεοειδής,ηηορεοειδής,ιθγφεοειδής,θυηεςοειδής,εθυρ3ιειδής,θυχρελ3ιδής
ιδρύω,ικψρύω,ιφδηύω,ιδρε6ω,ιιδργβ,ιδκρύγ
μοιραίο,ξπριραίο,μλξσραίο,ωμοκ4αίο,μοι4σηίο,μυοιρ;θο
χημείο,συμείζο,χυνεπίο,ρχηκ4ίο,χιημδκο,χημε9ρι
χηρεία,δβρεωία,ηχξ4εία,χηφςνία,χξηρδκα,χαηρεθζ
ψειρίζω,ωω4ιρίζω,ψγσθρίζω,ψε8χ4ίζω,ψαειφ8ζω,ηψειρκχω
ψηφίο,αφνφίο,ψθωίψο,ψηρκξο,ψηηφθπ,ψηπφί0
ψυγείο,δθγγείο,λψττείο,ψουβ4ίο,ψυγςψξο,ψφυγεξκ
ωάριο,ψ;μριο,ω;σφιο,μωάτκο,ωάροχπ,ωηάρι0
θαμμένους,7;μμχένους,ρθζκμένους,θαξνένουφς,θαμκ4θνους,θαμμςξουνς
καμένος,μσμυένος,κσνέψνος,καξρνλος,καμδξοης,κλαμέβλς
καπνός,ισπνζός,κζ-ψνός,κα[βυός,καπηιζς,καπνκηα
λάγνος,.σγξνος,λσυανος,λάυμηος,λάγτμκς,λάζγνια
κανέλα,λ;σνέλα,κςξέελα,καφμρλα,καν4υκα,καονέ΄σ
καπέλα,βισπέλα,μκσοέλα,κα΄ρλβα,καιπδ.α,καπέ.ψζ
καράφλα,μζρξάφλα,κζφξάφλα,κωαδ;φλα,καρσφψλα,θκαράγοα
καρέκλα,ξσρέμκλα,κτζτέκλα,κνα54κλα,καρςμζλα,κψαρέξοα
καραμέλα,ξζραμθέλα,κσ4αμέρλα,κα4ςμέυλα,καπρ;ξέλα,καραξςηλα
μαϊμούς,κσϊυμούς,ημζ9μούς,μα9κούσς,μαεϊξ9ύς,μαϊμπζης
λίτρα,.8τπρα,λ9φυρα,λπίυ5α,λίτ5ξζ,θλίτρ2
λουτρά,.επυτρά,λζπ6τρά,λοθγωρά,λοτυ65ά,λουτ5μ;
πλατεία,0κοατεία,πκστωεία,πλσ5είνα,πλαυσίτα,πλατ39μα
φλάντζα,δπτάντζα,σφ.ζντζα,φρλςβτζα,ζφλάβφζα,φλάνδγαα
χαζά,δλ;ζά,χςαγά,χμασζ,χαωζχ,χανζα
θετικό,ιρτικκό,θξσυικό,θε5ψξκό,θετωθλό,θπετιλλ
λευκό,σ΄δυκό,λ4γ7κό,λεργοό,λψευμ9,λρευκκ
λιβυκό,κσθβυκό,ψλθωυκό,λωιγ6κό,λτιβγιό,λριβυξ9
λογικό,΄λγλικό,λιτικνό,λοσβθκό,λογοωξό,λογζιι0
λυρικό,οδηρικό,λγ4ικμό,λυυ5οκό,λυροξοό,λυμριμπ
ξενικό,κ4νικλό,ξ4ηιωκό,ξεηθρκό,ξβενκμό,ξενψιμι
ξερικό,νδδρικό,ξςτιλκό,ξεεκκρό,ξερ8λβό,ξεξριοκ
παίξιμο,0ςοίξιμο,π;ν9ξιμο,παθβηιμο,παίηδ9μο,πζαίξκξο
παιδικό,-ςιδτικό,παςκδικό,πα9ρηικό,παιφ9λκό,παιδ8λξό
πεζικό,-4ζικοό,πσναικό,πεπσοκό,πεζγοξό,πεγζιολ
πλέξιμο,΄α΄έξιμο,ξπ.3ξιμο,βπλσιιμο,πλέθοψμο,πλέξοινο
ταξικό,ρζξδικό,τε;ιικό,ταμοκτό,τατξκοό,ιταξιο9
τελικό,φρωλικό,ητδοικό,τεκιξκό,τγελ9ξό,τελιογκ
τοξικό,ργ0ξικό,τλνικαό,τοχμ8κό,τοξθκλό,τοβξιξ0
επιρρεπείς,ς[ιηρρεπείς,εε[8ρρεπείς,επξ4ρεπρείς,επιεξφεπείς,επιρ54φπείς
ευπρεπών,ρτπρεπεών,εγορεπμών,ευλαδεπών,ευπ4ρσπών,ευβπρσ΄ών
απρεπής,χςορεπής,α΄δθεπής,απι4ρπής,απρθσ[ής,απηρε΄υς
ευφραίνεις,σηφραίνεωις,ε7ψραίξνεις,ευψταίνευις,ευφτ;τίνεις,ευφρζονυεις
εφορεύεις,σδογρεύεις,ιεγιρεύεις,εαφι5εύεις,εφο4δύαεις,εφορσκθεις
εύπεπτης,3ρτπεπτης,λε60επτης,εύπ[δπτης,εύπσ΄τηρς,εύπε΄5ηγς
θεοπρεπής,υδοπρεβπής,θςγιπρεπής,θει-ρεπήθς,θιεο΄τεπής,θεοπχφ4πής
αμφιρρεπείς,ςνρφιρρεπείς,ακγιραρεπείς,θαμρ9ρρεπείς,αμφξφρεεπείς,αμφικφδεπείς
απρέπεια,ζ΄γρέπεια,οα[4έπεια,αμπ4σπεια,απρσ-ειψα,ταπρέ-ρια
αφαίρεσης,ζδαίκρεσης,αωγςίρεσης,αφσκρεχσης,αφαξ4ενσης,αφααί44σης
διαπρεπής,ειξαπρεπής,δξςπζρεπής,διε;ορεπής,διαλ4επήχς,ωδιαπτςπής
εκκρεμής,δοκρεμλής,ελιρξεμής,εκμδεμήχς,εκκθφσμής,εκεκρδκής
επιρρεπές,3λιρρφεπές,εη΄8ρρεπές,επο4ρπεπές,επι5δ4επές,επιρ4σμπές
ευπαθής,ς6παθήψς,ετ΄ψαθής,δευ0σθής,ευπφζηής,ευπαιψθς
φέρελπις,οτςρελπις,φδδ4ελπις,φέ43λπιμς,φέρ3ν.πις,φεέρε.0ις
ζούγκλα,χ9ύγτκλα,ζ9γγκλψα,τζοητκλα,ζούηξλχα,ζχούγμπα
πουγγιά,ν΄λυγγιά,πεπθγγιά,πο7ηλγιά,μπουφηιά,πχουγτ8ά
καλάμι,λσλάμηι,φκ;΄άμι,κσα΄σμι,κμαλςνι,καλάκπ8
κορνιζα,μλρνιζζα,κσι4νιζα,κυοεξιζα,κορηξκζα,κορν8δσα
λαιμος,π;ιμοδς,λζκτμος,λιαθνος,λψαιν9ς,λαιμδ9ε
λατζα,οστζρα,λ;ωγζα,λχαφσα,λαξτασ,λατκζα
λεξικο,π3ξιηκο,λσπμικο,ψλεηθκο,λεξοοηο,λεξιβμι
ζούλα,απύληα,ζ0θιλα,ζοτ6΄α,ζοσύκσ,ζούλρα
ζούρλα,αηκύρλα,ζ96νρλα,ζονθ5λα,ζοκύφοα,ζονύρ.ς
βούλα,ηιιύλα,β9μτλα,βοεγκα,βούι΄σ,βούληα
ζουλάει,αλυλάρει,ζ0θλάχει,ζογκάμει,ζουπθσει,ζουλζο4ι
ζουμιά,χ9ξυμιά,χζ0τμιά,ζοι6ξιά,ζουνκκά,ζουνμξσ
σούβλα,ε0ύβελα,σλβ6βλα,σο6ωζλα,σοιύγοα,σζούβκζ
τούβλα,59ύβλθα,κτκθβλα,τοψτνλα,τούωρ΄α,τούβδπσ
τούρλα,6ιιύρλα,τ0γρθλα,το7ελσα,τοθύδ.α,τούροκζ
φούγκα,ωκύγκωα,φλε6γκα,φοξγηκα,φούφιπα,φούγλφ;
αίτημα,ςτοτημα,αξπ6ημα,αίρτβμα,αίτγνκα,αίτηικσ
ακόλλητος,ςξόλλητοθς,αοκλλητοτς,ακιοψλητος,ακόθκ.ητος,χακόλ.βτος
βάζο,ηβσζο,β;λαο,βάχε9,βάλζ.,ρβάζλ
βόλος,ηπλους,βππρος,βχόκλς,γβόλ9ε,βόλιο2
άφιλος,σροιλος,άψ9θλος,άφξξκος,άφιπιφς,ιάφιλι3
γλείφω,τπείφψω,γοπ4ίφω,γλπ4κφω,γλε8τωω,γλείψνφ
δανεικός,σςνεικκός,δυσμεικός,δαβσψικός,δαν3κοκός,δανεω9λός
διάλλειμα,χοάρλλειμα,σδξ;λλειμα,διζυπλειμα,σδιάκοειμα,διαάλκδιμα
δήμος,ρνβμος,δγξξος,δήωξλς,ιδήμπ;,δήμολς
δίστιχο,εκστιχχο,δξδτιχωο,δίχφιφχο,δίσγ9σχο,δίστοψπο
έγγειος,3υγειοθς,έυηειεος,έγφγδιος,έγγηρ9ος,έγγεθκις
έκκληση,σξγκληση,έιοξληση,έκζλ΄ηση,έκκκγβση,έκβκλβεη
εξάρτηση,3κάβρτηση,εισρτθηση,ετξζετηση,εξάγ5φηση,εξάωρυθση
ετοιμολογία,σφιοιμολογία,ε5λιμχολογία,ετπκμολοφγία,ετοξκολοθγία,ετοιζνιλογία
ευφορία,4γφορδία,εθδορδία,ευτκρίλα,ευφιτίδα,ευφο4ω8α
εύηχα,χςτηχα,εθυαχα,εύλυδα,εύζηζς,επύηχ1
θαλάμη,ιαζλάμη,δθζ.άμη,θα.ζμηη,θαλυζκη,θαλφάξβ
θύρα,νξγρα,θθεεα,θύμεζ,δθύρα,θύαρα
ίλη,θκιη,νίκβ,ίσλτ,ίλρι,ίλλβ
ιός,κ9βς,βικε,ικός,ιότ2,ιόγ1
Ιωνικός,Ογνικδός,ρΙγμικός,Ιωμ9κμός,Ιοωνκξός,Ιψωνιο9ς
κάλλος,οδσλλος,κς΄ιλος,κφάππος,κάλξ.0ς,κάλιλ93
κερί,ιξ3ρί,νκςδί,κερ4ξ,γκερυ,κβερλ
κλίνει,μλπίνει,κκ9νψει,κελ8μει,κλίξηδι,κλίνρφθ
κλήση,ωλοήση,κπγσωη,κλξνδη,τκλήχν,κσλήσγ
κλήμα,μπήψμα,κκξμλα,κλββκα,κλήνδς,κλήεμα
κόμη,μ0μηη,κιδνη,νκόξβ,θκόμξ,φκόμτ
κόμμα,λτπμμα,μκκκμα,κξόκξα,κόμξχζ,κόμμγδ
Κρητικός,Μφμητικός,Κ4βντικός,Κρξ5ικόσς,Κρηυρκκός,ηΚρητξλός
κινώ,ξ9φνώ,κοψξώ,κδιββ,σκινω,κιξνγ
λήμμα,πηνμμα,λυκμγα,λήξνζα,λήμβξς,ολήμμ2
λιμός,λπθμός,λ8ξόλς,λσιν9ς,λυιμλε,λιμγός
λήθη,.γσθη,λγιιη,λήζ7ν,λήζθξ,λήκθβ
λίπη,ω.8πη,λθο[η,ωλίλγ,πλίπυ,λφίπι
λίρα,ψ΄θρα,λοφδα,γλίτζ,λκίρ;,λίαρα
μέλι,νσλκι,μψς΄ι,μέ.νξ,χμέλθ,μέλθθ
μέρη,κκ4ρη,μφςτη,μέμεγ,μένρω,μέρν7
Μήλος,<υλοκς,χΜξοος,Μήακ9ς,Μήλ9ψα,Μήδλο4
μήτρα,κγτρχα,μυωφρα,μή5θ5α,μήτ4σσ,μήτρδ1
μοιχός,ικιιχός,τμικχός,μοοωψός,σμοιψλς,κμοιχ9;
μηλιά,κβυλιά,μθβοιά,μηποκά,μηλλθσ,μπηλις
νίκη,νβ8κη,ν9σμη,νίψον,νίβκω,νγίκξ
νότα,βλπτα,νλφ5α,νό6πς,νότχ3,νόντα
ξηρός,αηγρός,ξργτός,ξυη49ς,ξηρχ0σ,ξηρπόδ
όμως,ικπως,όνβγς,ζόμβ2,όδμωσ,όμτω4
όρος,πθφος,αό4ις,όρυ9σ,όωροδ,τόρος
πάλι,θλ;λι,πςπχι,πάη΄9,πάελ8,πάληκ
πήρα,λλγρα,ωπξ5α,πήτκ;,πεήρ2,πψήρα
πυθών,λπ7θών,πγξώιν,ψπυυγν,πυθφξμ,ρπυθώβ
πολύ,0επλύ,αππ.ύ,ποο.7,πολμν,βπολρ
πιάνο,ω[8άνο,πθμςνο,πωι;ηο,πιλάμ9,πιοάνμ
ποιά,λ0ηιά,π9σ8ά,πνοθζ,ποαια,γποιχ
παράλειψη,[;ράληειψη,ππστάλειψη,παφ5ςλειψη,παρ;πετιψη,πααρά΄διψη
ρήμα,5ζυμα,ρβξεα,ρήξξς,βρήμσ,λρήμα
σατυρικός,αστυδρικός,σ;υυρικόης,σσαρηρικός,σατη4ικόυς,σατυδζ9κός
σήκω,ευυκω,σρνμω,σήλδβ,σήκζω,σήδκφ
σκηνή,ςιηνβή,σοαθνή,σκβαβή,χσκημυ,σκηξνξ
σορός,ιζλρός,σκ4θός,μσοφις,σμορ9σ,σορθό3
στίχος,ζη6ίχος,σθυοχος,σντ9δος,στκίψις,στίγχ0ε
στήλη,λχφήλη,σκ6βλη,συτγ΄η,στήι.γ,στήλβω
τείχος,υσίηχος,τδ9χτος,τεθλψος,ετείδ0ς,τείχχλ;
τόπι,υ9επι,τιπ[ι,τόι΄9,βτόπυ,τζόπκ
τύχη,αυ7χη,τξηση,τύτδβ,κτύχ8,ττύχβ
τυρί,5ηγρί,ξτττί,τυ4ρ9,τευρι,τυκρλ
φύλλο,ψθθλλο,φγκθλο,φλύοοο,φύλ.ζλ,φωύλλ8
φυτό,ρ7τοό,νφθγό,φυηυι,φυττπ,φυταπ
φυλή,ρν6λή,νφηπή,φουκγ,φυηλθ,φυλβη
χήρος,ψβνρος,ρχνφος,χπήδπς,χήρμια,χήρυο;
χορικός,ψ0θρικός,χκτχικός,χοδτκκός,χορθηοός,εχοριλλς
ψηλός,δρθλός,ψωυοός,αψηπ0ς,ωψηλπ3,ψηλόπ;
χοίρων,ψλχίρων,χπεξρων,χο8δ4ων,χοοίφφν,χοίδρφξ
ωράριο,ψυ4άριο,ω4;θριο,ιωρζειο,ωρζά5θο,ωριάρ8λ
Ααρών,μ΅;ρών,Α;τώσν,Ααξ4βν,Απαργη,εΑαρώυ
Βελισσάριος,Η4λισσθάριος,οΒ3οισσάριος,Βεκ9σσάριορς,θΒελθζσάριος,Βηελιχχάριος
Εύδημος,ιΡ6δημος,Εοτρημος,Εύενμζος,Εύδυξεος,Εύδηξπες
Κανέλος,Ξςνέφλος,Κζμέμλος,ζΚαμσλος,ψΚαν4.ος,ηΚανέ΄9ς
Νικόλαος,Ξ8κόψλαος,Νκιόμλαος,Νιολλκαος,Νικφλ΄αος,Νικόπςοχς
Ρωμύλος,ζΕγμύλος,αΡφνύλος,Ρων7λρος,Ρωμ6οοες,Ρωμύ΄ζκς
Φωτάς,Δγψτάς,Φψφάμς,Φωμφσς,Φωγτςσ,νΦωτάς
Αγάθη,Σαωάθη,Αφ;θοη,οΑγςηη,λΑγάξθ,Ατγάθκ
Γιαννιώ,Φχξαννιώ,θΓξςννιώ,Γι;ξνβιώ,Γιταμηιώ,Γιανρηθώ
Θεονίκη,Ισοχνίκη,Θ39ννίκη,Θε9σμίκη,φΘεοξξκη,Θεψονοξη
