πατρίδα,-ατρίδφα,πζτρίδυα,πεαγρίδα,πθατ5ίδα,πατρθτδα,πατρρίδ;
αφενός,μζφενός,αγεκνός,μαφρνός,αφνεξός,αφεδνις,ααφενόσ
γκρεμός,φκριεμός,γοθρεμός,γκθ4εμός,γκρεςμός,γκβρεξός,γκρεμγό2
κανενός,ιανεγνός,κσνεννός,υκαξενός,καν4ννός,κανεβόξς,σκανενό2
λαιμός,παιμόος,λλςιμός,λαη9μός,λαικζός,λαιμ9βς,λαιτμό;
φανερός,γαξνερός,νφσνερός,φαξερκός,φανιςρός,φανε5όυς,φανερθόα
απλός,ςπλφός,α΄λόμς,φαπ΄ός,ανπλ0ς,αππλόσ,απμλόσ
βάλτος,νξάλτος,βζλτωος,βάοτσος,βμάλγος,βάτλτ0ς,βάλτοβε
βάτος,ηάτδος,β;τογς,βάμρος,βάτπψς,βάητοε,ωβάτοσ
βέλος,νέπλος,βςψλος,βέππος,βέζλις,βέιλοα,βέλξο2
βέτο,ωέτζο,ζβςτο,βρέρο,λβέτ9,βδέτ9,βέτνι
δέος,ρλέος,δσθος,δμέλς,διέο2,δέοξε,δέοπ2
ιστός,8ηστός,ιζιτός,ιξσρός,ιστ9τς,χιστόα,βιστόσ
κάθετος,ξτάθετος,κςθεψτος,κάυευτος,κάθ4τοκς,ακάθεφος,κάθετνο3
κάκτος,ξξάκτος,κςυκτος,κδάμτος,σκάκρος,κάβκτις,σκάκτο;
κήτος,λήστος,κνωτος,κήριος,κήπτ0ς,κβήτοσ,κήτιοε
καινός,ξωαινός,κςωινός,ικα8νός,κφαιβός,καινεκς,καινξό;
καιρός,δοαιρός,δκςιρός,καμ9ρός,καιπφός,καιρπκς,κασιρό3
καυτός,κοαυτός,κ;υοτός,κεαγτός,καυυρός,καυτ0χς,καυτιόε
κενός,οενζός,κιςνός,κεμπός,κκεν9ς,κενφό;,κεγνόε
λιτός,γκιτός,λοτόις,λιφόνς,λιτθλς,λιτότα,λιφτό3
λωτός,οωτόρς,λθβτός,λβωυός,υλωτκς,ψλωτόα,λχωτό;
ρητώς,δηντώς,ρθτώγς,ρη5γώς,ρητφις,ρηοτώε,ρητρώ2
φαεινός,ψαπεινός,φζεισνός,φαρωινός,φαειξνός,φαειμμός,φαεινσό3
φελλός,ρελλόις,φθ3λλός,φε.λβός,μφελ.ός,φκελλλς,φδελλό2
ψητός,φητόλς,ψγντός,ψηφόμς,ψητυ9ς,ψητόγε,ψψητό3
βλήμα,ωλήθμα,β΄ήμξα,ζβλξμα,βλήκνα,βλήμαζ,βλήμφς
άθλημα,ζθλημρα,άυγλημα,άζθκημα,άθψλβμα,άθδληνα,άθληωμσ
έγκλημα,δγκλλημα,έηδκλημα,έγοληωμα,έγοκκημα,έγκλυυμα,σέγκλημ;
έλλειμμα,4λλξειμμα,ρέπλειμμα,έλπειπμμα,έλλριρμμα,έλλεξτμμα,έλλεωιμκα
ασχήμια,;σχήφμια,ααεχήμια,ανσδήμια,ασχξμιδα,ασχήξνια,ασχήμιε;
βλέμμα,ωελέμμα,β΄έημμα,βδλδμμα,λβλέξμα,βρλέμξα,βλέμμησ
δουλειά,ιρουλειά,δκζυλειά,δοθλελιά,δοηυ΄ειά,δυουλδιά,δουλειδ;
ζημιά,χδημιά,ζψβμιά,εζηνιά,ζηνμκά,ζηυμισ,ζηπμιζ
ηλίθια,γλίθδια,κηπίθια,ηλλκθια,ηλιί7ια,ηλίθκ8α,θηλίθιζ
ηλικία,γλικλία,μη.ικία,ηλ8δκία,ηλιιίπα,ηολικθα,ηλικίχ;
θέλημα,υέηλημα,θ4λφημα,θμέ΄ημα,θέολθμα,αθέληξα,ψθέλημζ
κάλυμμα,λάλυιμμα,κζλυμκμα,κάοβυμμα,θκάλτμμα,κάλυνρμα,κωάλυμμ;
καλάμια,θλαλάμια,κζλάμρια,καρ΄άμια,ωκαλζμια,καζλάνια,καλάμιω;
κόλλημα,οόλληρμα,κιιλλημα,τκό΄λημα,κόλ΄ημβα,κόλξλξμα,κόλλεημ;
μούμια,κούμμια,δμιύμια,μψοτμια,μούκιαα,μξούμθα,μμούμι;
ντουλάπα,μτουλτάπα,νγουλιάπα,γντλυλάπα,ιντοθλάπα,ντου.άπρα,ντουλάξ΄α
πλημμύρα,[λημμύρψα,πκημμφύρα,πλγμμύργα,πληκνμύρα,πλημκύρσα,πλημζμύδα
φίλημα,ψλίλημα,φξλαημα,φί΄ημδα,φίλξυμα,φίληλνα,φίληαμζ
φουλάρια,δουλάρβια,φ0υλυάρια,φο6λάρισα,φοψυ΄άρια,φοουλσρια,φουλάρωκα
θάνατος,ιάναρτος,θζνζατος,θσάβατος,δθάνστος,θάνβα5ος,θάνατιο3
κανίβαλος,μχανίβαλος,κ;νίβναλος,καμίβραλος,νκαν8βαλος,κανίναλοος,κχανίβακος
σανδάλι,αανδθάλι,σςνρδάλι,σαλμδάλι,σσανψάλι,σλανδςλι,σανδάλιξ
σανδάλια,ρδανδάλια,σζνσδάλια,σαψηδάλια,σανχάλιωα,σανδισλια,σανλδάλ8α
σκάνδαλο,δκάσνδαλο,οσξάνδαλο,σκζνδωαλο,σκάβδαηλο,σκάζνραλο,σκάνδγαπο
άρδην,ψσρδην,άδδιην,άρσηρν,άρδμυν,άρδιηη,ωάρδημ
βάφουν,πνάφουν,βζφοφυν,βάρολυν,βάωφλυν,βάξφογν,βάφφουξ
βαδίζω,ηαδξίζω,β;δίυζω,βαείζβω,βαυδ9ζω,βαδίσοω,βηαδίζβ
βαρούν,νανρούν,γβ;ρούν,βζαδούν,βαρ0μύν,πβαροθν,βαροσύμ
βαρύνει,ωαρυύνει,βζφρύνει,βυατύνει,βξαρ6νει,βαρύξερι,βαρύξνεξ
βοδινό,ωοδινκό,βλδινζό,βοσεινό,βοδπκνό,βοδιαβό,βολδινπ
γάλα,εωάλα,γλσλα,γλάκα,αγάλς,γυάλ;,γφάλζ
θέτω,ηωέτω,νθ4τω,θέυρω,εθέτγ,δθέτβ,θθέτψ
ντουέτο,βτομυέτο,νγοφυέτο,νατ0υέτο,ντσοτέτο,σντου4το,ζντουέτ9
γαβγίσματα,ωαβγίσλματα,γσβγίσμτατα,λγαγγίσματα,γκαβτίσματα,χγαβγκσματα,γθαβγίσνατα
ράβδισμα,4άβδισμζα,ρζβδισμδα,ράωδικσμα,ριάβρισμα,ργάβδ8σμα,ρψάβδισνα
άθροισμα,ζθροιγσμα,άξροισμθα,άθεοιασμα,άθρππισμα,ξάθροοσμα,άθροισκκα
τραύλισμα,φδραύλισμα,τ5αύθλισμα,τπρ;ύλισμα,τρα7λφισμα,γτραύοισμα,τραύλιαρμα
χάρισμα,ψηάρισμα,χσριπσμα,υχάτισμα,χάρξ8σμα,χάνριεμα,χάρνισμς
αδιαφανής,;υδιαφανής,αφιαφανήσς,αδθωαφανής,αδιζτφανής,αδιαψωανής,αδιαφαξξής
διαφάνεια,ριαφάνεβια,ηδ9αφάνεια,διζφάδνεια,διδαψάνεια,δνιαφςνεια,δοιαφάν3ια
δίγραμμος,ρίγβραμμος,δθγραμμοις,δίωραμχμος,δίγεαμθμος,δίγρσυμμος,δίγραμγξος
δίκαννο,ψίκζαννο,δκκγαννο,κδίμαννο,χδίκςννο,δγίκαμνο,δίκαννρ0
δίχρονος,σίχρζονος,δξδχρονος,δίσρρονος,δίαχτονος,δίχτρ0νος,δίχαρον9ς
διάλογος,φωιάλογος,δοάσλογος,διςλογοος,διάσπογος,διάλπαγος,διάλογ0ης
διάμεσος,σιθάμεσος,δζκάμεσος,δτιζμεσος,διάξεσψος,δοιάμ4σος,διάδμεσις
διαβάζεις,σιαβάζεινς,ψδξαβάζεις,δι;βάδζεις,διαηάζειδς,διαβζζρεις,διαβνάζσις
διαβαίνεις,φιαβεαίνεις,δθξαβαίνεις,δρισβαίνεις,δτιαηαίνεις,διαβ;ίνειλς,διαλβαίηεις
διαγώνιος,φιαγώνιγος,δοφαγώνιος,δισγώνιολς,διαημώνιος,διαγωψνιος,διαγώνξοτς
διακαές,φνιακαές,δκακανές,διςκκαές,διαξαέσς,διανκσές,δισακαέ;
διαμάχης,ψιαμδάχης,αδοαμάχης,διςμάξχης,ψδιαξάχης,διωαμσχης,διαμάχθψς
διαπνοή,ψσιαπνοή,δοηαπνοή,διεσπνοή,διβαονοή,διαπητοή,διραπνου
διαφαίνομαι,ψιαφαείνομαι,δ8αφαίνομαχι,δισφαίνφομαι,δειαωαίνομαι,διαφ;ίνομραι,διαφαίηονμαι
δικέφαλος,θρικέφαλος,δροκέφαλος,διμέφδαλος,δικδφαλεος,δικέγαλοις,δικέφαρ΄ος
ένσημα,ςνλσημα,έησξημα,ένχκημα,ένσηυμα,ένσιηκα,έρνσημσ
βούτημα,νούτβημα,βπηύτημα,βοττηχμα,βηούφημα,βούτβμμα,βούτημχζ
γέννημα,βέννημφα,γρννηνμα,γέξνημδα,γένφξημα,σγέννξμα,γέννηημσ
εκτιμάω,σκτφιμάω,εβξτιμάω,εκωριμάω,εκτ9υμάω,εκτιξμάω,εκτιμοάβ
ερώτημα,δρνώτημα,ε4ώτημσα,ερψγτημα,ερώιυημα,ερκώτξμα,ερώτημμς
εστία,ρσιτία,εχτοία,εασφία,ρεστκα,εστίος,εστίζς
εύρημα,4ύρημαα,ε7ρημχα,εύ4ψημα,εύρξμαα,υεύρηξα,εωύρημζ
εύφημα,ςύφηχμα,εθεφημα,υεύωημα,ελύφξμα,λεύφηξα,τεύφημς
κλίμα,δμλίμα,κ.ίμνα,κλ9μυα,καλίκα,γκλίμς,κλίμις
κρίμα,ορίμρα,κεείμα,κξρ9μα,κρθίνα,κρίημς,γκρίμς
πέταμα,΄έτεαμα,πδτακμα,πτέυαμα,πέντςμα,πέτγανα,πεέταμσ
πέτυχα,φ[έτυχα,π3ζτυχα,πέε5υχα,πέτν7χα,πέγτυψα,πέτμυχ;
ποίημα,λοίηρμα,πιίημια,πθο8ημα,ποίυμμα,ψποίηκα,πμοίημς
στέμμα,ατέομμα,σρέμμξα,στςμνμα,ωστέκμα,στέμκλα,στεέμμ;
σχήμα,χχήνμα,στψήμα,σβχνμα,σχήρκα,ψσχήμς,σχήμθς
έγκαιρος,τδγκαιρος,έωκαισρος,έγξωαιρος,έγκζιροφς,έγκαορβος,έιγκαιρπς
έπακρος,δπακιρος,έ-ψακρος,έπςκυρος,αέπαιρος,έσπακ5ος,έπακρον2
έτερος,ρχτερος,έ5νερος,ιέτ3ρος,έτεβδος,έτερνκς,έφτεροα
ημερολόγιον,νμμερολόγιον,ηξερολόγνιον,ημδρολζόγιον,ημετολόγιοτν,ημερ9λόγγιον,ημερζολιγιον
αερολογία,ζερολοιγία,α3ρολοογία,αεεξολογία,αιερπλογία,αωεροκογία,αερολβοωία
ημερολογιακή,ξβμερολογιακή,ηξοερολογιακή,ημμδρολογιακή,ημβεεολογιακή,ημερπλονγιακή,ηξμερολιγιακή
ιδεολογία,8δεολοογία,ιεεολοηγία,ιδβρολογία,ιδεκλοογία,ιδεοποαγία,ιδεολοπηία
ιδεολογικό,θδεμολογικό,ιφεολφογικό,ιδσολογιηκό,ιδε9λεογικό,ιδενοπογικό,ιδεολοξυικό
διαιτολόγιό,ειαιτονλόγιό,δοαιτοωλόγιό,δισιτολόγιψό,διακτοσλόγιό,διαιυολδόγιό,διαιτοκτόγιό
μοιρολογάω,νζοιρολογάω,μμλιρολογάω,μο9προλογάω,μοι4ολογκάω,μοιριλογθάω,μολιρολπγάω
ημεραλωπία,γξμεραλωπία,ηνεραλωφπία,ημδραλφωπία,ημε5αλκωπία,υημερζλωπία,ημεραλφπφία
είδα,ρωίδα,εξοδα,ειίσα,εκίδς,είδιζ,εγίδσ
είπα,ρβίπα,εξωπα,είφλα,είβπ;,χείπζ,είπβσ
είχα,υςίχα,χε9χα,είδτα,είψχ;,είχχ;,εβίχ;
θεριό,αηεριό,θςριοό,εθε4ιό,θθερκό,θσερι9,θεμρικ
θυρεοειδής,υυρεοειβδής,θθρεοειδπής,θυφεοετιδής,θυρδοειδδής,ρθυρεπειδής,θυρεοεοδήλς
ιδρύω,θδρνύω,ιπσρύω,ιδ5θύω,ιαδρ6ω,ιδρφύψ,ιδρτύφ
μοιραίο,κοιρραίο,μιιαραίο,μοκραίδο,γμοι4αίο,μοιρβζίο,γμοιραίι
χημείο,ζημείφο,χβλμείο,χηκειίο,χηνμσίο,χηπμεκο,χημεωί0
χηρεία,σζηρεία,χφξρεία,χηνφεία,χηρα3ία,χχηρεξα,αχηρεί;
ψειρίζω,κωειρίζω,ψριρίζαω,ψεκρίζτω,ψειεθίζω,ψειρη9ζω,ψευιρίζβ
ψηφίο,τφηφίο,λψξφίο,μψηψίο,ψηβφθο,ψπηφί9,ψηφίδ0
ψυγείο,τωυγείο,ψητγείο,ψυευείο,ψυγ4ίθο,ξψυγε8ο,ψυχγείι
ωάριο,γάρυιο,ηωζριο,ωάηειο,ωπάροο,ιωάριλ,ωχάρικ
θαμμένους,8αμμέπνους,θςμμκένους,θακκμένους,θψαμνένους,θαμνμ4νους,θαμμέν9υκς
καμένος,λψαμένος,ωκζμένος,κακέενος,βκαμδνος,καβμέβος,τκαμένοα
καπνός,μαζπνός,κζππνός,καλνιός,κζαπξός,κασπνις,καπννόε
λάγνος,.άγνοας,λςγψνος,λσάηνος,λάτγηος,λάωγνπς,λάγηνο;
κανέλα,οανέλαα,κζντέλα,καξένλα,κεανσλα,ξκανέ΄α,κανχέλζ
καπέλα,λαβπέλα,ξκ;πέλα,κεαοέλα,καπγρλα,κοαπέοα,καπέβλς
καράφλα,τξαράφλα,κζπράφλα,κα4άφλχα,καρτσφλα,καράψλβα,κκαράφλς
καρέκλα,οζαρέκλα,κςρένκλα,κα5έκλτα,καρκ4κλα,υκαρέιλα,καργέκλζ
καραμέλα,ομαραμέλα,κζροαμέλα,σκαταμέλα,καρ;μέλχα,καωραξέλα,κασραμέ΄α
μαϊμούς,καπϊμούς,μζϊσμούς,μαομούδς,μαϊνοφύς,μαϊμικύς,μαϊμοκύα
λίτρα,οίτωρα,υλ9τρα,λίρυρα,πλίτ5α,λίτρμς,λίατρσ
λουτρά,πουτρξά,λικυτρά,λοθτχρά,λτου5ρά,λουτρδά,λουτπρζ
πλατεία,΄λπατεία,ψπ.ατεία,πλζτείσα,πλα6είια,πλατσ3ία,πλατψεί;
φλάντζα,δλβάντζα,φρ.άντζα,φλζντδζα,φλάξτζμα,φλάν6ιζα,φλάνωτζ;
χαζά,σαζξά,χξςζά,χαραά,ζχαζζ,ψχαζζ,χαζπ;
θετικό,ιετπικό,θρτιψκό,γθευικό,θοετοκό,ιθετιιό,θετικμι
λευκό,΄ευζκό,λδυκηό,λεπηκό,λδευιό,λελυκ0,λτευκι
λιβυκό,ξ΄ιβυκό,λλθβυκό,λινυσκό,λπιβθκό,λιφβυλό,λιβυκσπ
λογικό,πμογικό,λ9γικρό,λοηιζκό,λογ8μκό,ιλογιοό,λοργικκ
λυρικό,κυρυικό,ξληρικό,φλυδικό,λυθροκό,βλυριιό,λυκρικ0
ξενικό,ιξενικό,ξσνιικό,ωξεβικό,ξενοφκό,ξευνιξό,ξεμνικ9
ξερικό,κετρικό,ξςρμικό,ξε5αικό,ξεχρκκό,ξεριοβό,ξεριρκι
παίξιμο,οαίξιξμο,π;θίξιμο,παξυξιμο,παίμιμτο,παίφξομο,πκαίξιμκ
παιδικό,-αιδικπό,πσιδικφό,κπαθδικό,πζαιρικό,παμιδ9κό,παιτδικι
πεζικό,λεζικφό,π4μζικό,πεαικρό,πυεζκκό,υπεζιλό,πεαζικ0
πλέξιμο,χ-λέξιμο,π.έξιμγο,βπλ3ξιμο,οπλέθιμο,ωπλέξξμο,πλέξκιμλ
ταξικό,6ραξικό,τσξνικό,τφαμικό,ταξκηκό,ταξιλλό,ταξιοκπ
τελικό,ργελικό,τ3λνικό,τεαοικό,ττελοκό,τελιξδό,λτελικκ
τοξικό,5οξιτκό,τ9ξιοκό,μτοθικό,ρτοξκκό,τοψξιξό,τηοξικλ
επιρρεπείς,4πθιρρεπείς,εοιρορεπείς,επθρρεπψείς,επιτφρεπείς,επιχρ4επείς,επιρρε΄είθς
ευπρεπών,3υβπρεπών,ε7πιρεπών,ευ-ρεψπών,ευπεπεπών,ευπρ3πώψν,ευζπρεπβν
απρεπής,σπρειπής,αυ0ρεπής,απξ4επής,οαπρ3πής,ιαπρε-ής,αθπρεπήε
ευφραίνεις,4ρυφραίνεις,ε6φραίνυεις,ευψρπαίνεις,ευφ5αίνεχις,ευφγρςίνεις,ευφραίδηεις
εφορεύεις,σφορρεύεις,εδορηεύεις,εφ0ρεύθεις,εφοδεεύεις,εφορ3ύεηις,εφορεύσιμς
εύπεπτης,3ύπωεπτης,ψεγπεπτης,πεύ-επτης,εύπμσπτης,κεύπεοτης,εύπδεπτγς
θεοπρεπής,7εοπρεπφής,χθ3οπρεπής,θνε0πρεπής,θρεοορεπής,θεθοπ4επής,θβεοπρεοής
αμφιρρεπείς,ςμφιμρρεπείς,αξφιθρρεπείς,αμιτιρρεπείς,φαμφκρρεπείς,αμφι4ροεπείς,σαμφιρρ3πείς
απρέπεια,αζπρέπεια,α[ρέεπεια,απ4λέπεια,απψρσπεια,αγπρέ[εια,ασπρέπε8α
αφαίρεσης,σφηαίρεσης,αψαδίρεσης,αφσίρεσηδς,αφα9ρεσιης,αφαίφεσυης,αφσαίρεζης
διαπρεπής,ειαπυρεπής,δ8απρεπήες,διδζπρεπής,διαλερεπής,διαπεθεπής,διαππρε0ής
εκκρεμής,σωκκρεμής,ελκρεμθής,εκμρεμήγς,ιεκκεεμής,εδκκρ3μής,χεκκρεμθς
επιρρεπές,3πζιρρεπές,ε-ιρρεπέος,επκρρεπνές,επιιδρεπές,επιπρφεπές,επιιρρεοές
ευπαθής,συπναθής,ε7παθσής,οευ[αθής,ευπζθζής,ευπξαξής,ευπαθήθσ
φέρελπις,ωέρεηλπις,φ3ρελπεις,φεέτελπις,φέρ3λβπις,φέρε΄πιως,φέρωελπκς
ζούγκλα,σούγκλοα,ζακύγκλα,ζνοτγκλα,ζούφηκλα,ζούγλψλα,ζούεγκλζ
πουγγιά,΄ουγξγιά,π0υγυγιά,πογγζγιά,πουφωγιά,πουγυσιά,πδουγγιζ
καλάμι,ιαλάαμι,κζπλάμι,κδαπάμι,καλλ;μι,καλάξθι,καλχάμκ
κορνιζα,ξορυνιζα,κ0ρνιζξα,πκοφνιζα,κορηβιζα,κοβρνκζα,κορνιθζζ
λαιμος,.απιμος,λσιημος,λα9μωος,λαιξορς,λαιμπψς,λαιμωο2
λατζα,ωπατζα,βλστζα,λαφχζα,ωλατσα,λατζζς,τλατζσ
λεξικο,πγεξικο,θλδξικο,λενιυκο,πλεξοκο,λεξιψοο,λεξοικι
ζούλα,αομύλα,ζ0ύκλα,ζο7ωλα,ζοούοα,ζηούλ;,ζούλχσ
ζούρλα,κσούρλα,ζ9ξύρλα,ωζογρλα,ζούτηλα,ζοαύρ΄α,ζούρλβσ
βούλα,ωούαλα,β9ψύλα,βυο6λα,βνούκα,βούφλς,βούαλσ
ζουλάει,χουληάει,ζπυαλάει,ζογζλάει,ζουπνάει,ζδουλςει,ζουλλάεο
ζουμιά,αιουμιά,ζιυμειά,ζο7μιτά,ζοουξιά,ζουμθ8ά,ζοηυμισ
σούβλα,δούυβλα,ση9ύβλα,ασοθβλα,σούηνλα,μσούβπα,σούηβλ;
τούβλα,μγούβλα,ντπύβλα,τθο7βλα,ξτούωλα,τούμβκα,τοψύβλσ
τούρλα,ρούρμλα,κτπύρλα,μτοηρλα,γτού5λα,ψτούρ.α,τούρυλζ
φούγκα,ωούγκνα,φ9ύεγκα,φοτγκτα,φούφωκα,φούγξζα,κφούγκζ
αίτημα,σίκτημα,α8τηιμα,αθί5ημα,αψίτξμα,αίτηκμα,αίττημ;
ακόλλητος,ςκόλλητορς,αχλόλλητος,ακε0λλητος,αωκόολητος,εακόλκητος,ακνόλληφος
βάζο,λνάζο,βςζρο,τβάσο,βάνζλ,βγάζ9,βάγζκ
βόλος,γνόλος,βλλοτς,βό΄οκς,βότλπς,βόλλοε,βόλοζ;
άφιλος,ζφιηλος,άγιλοξς,άφνκλος,άθφικος,άφωιλ0ς,άφιλσο;
γλείφω,φλξείφω,γ΄είνφω,γλρίβφω,γλε8φοω,κγλείγω,γλείφδγ
δανεικός,σανευικός,δςονεικός,δλαξεικός,δκανσικός,δανεθοκός,δανεικκας
διάλλειμα,ειτάλλειμα,δκάλλεειμα,διςβλλειμα,διά΄λειμσα,διάλοειμυα,διάχλλε8μα
δήμος,εήξμος,δθμοβς,δήνπος,δήμωλς,δήμοβα,δήμκοα
δίστιχο,ρίστιχπο,δ8στιχεο,δίζτιθχο,δίσ6ψιχο,δίστπκχο,δίσταιχ0
έγγειος,ργγειχος,έωγειολς,έκγυειος,έγγδξιος,έγεγε8ος,έγγεειοα
έκκληση,δκκγληση,έοκλησχη,έκψοληση,δέκκ΄ηση,έκγκλθση,έκκληθσυ
εξάρτηση,3μξάρτηση,εθάθρτηση,εζξσρτηση,εξάεκτηση,εξάρφησχη,εξάρτωηεη
ετοιμολογία,ρτψοιμολογία,φε5οιμολογία,ετπιμολογίια,ετοξμολογίτα,ετοιξολοηγία,ετονιμο.ογία
ευφορία,ρθυφορία,μετφορία,ευεψορία,ερυφ0ρία,ευφυοτία,ευφορθί;
εύηχα,ρύηχια,εηηχνα,εξύυχα,εύχηδα,λεύηχ;,εύχηχ;
θαλάμη,ξαλάμρη,θζλάμδη,θαβοάμη,θαλ;γμη,θαλάρξη,θαζλάμυ
θύρα,ωιύρα,τθθρα,θύκτα,ιθύρσ,θύσρ;,θύρφζ
ίλη,οξλη,ίκλη,ίωλγ,ίλδγ,ίδλν,υίλξ
ιός,ρθός,ιιτς,ηιό3,ιψόα,χιό3,ζιόε
Ιωνικός,Κωνικψός,Ιγνικψός,Ιωξισκός,Ιωινκκός,Ιωνιξπός,Ιωνρικό2
κάλλος,λάλλρος,κσλλοας,κκάολος,κλάλοος,κάλλτκς,κγάλλο2
κερί,ζλερί,κασρί,λκεδί,βκερκ,κερμθ,κβερξ
κλίνει,μλίνελι,ικ΄ίνει,κλονθει,κλωίηει,ικλίνρι,κλίλνεξ
κλήση,ξλήσρη,κ΄γήση,κιλυση,κλψήζη,κλήσλβ,κλήσωξ
κλήμα,ψλλήμα,οκ.ήμα,κτλυμα,κλήξκα,κλήψμς,καλήμσ
κόμη,οόμγη,κ9γμη,μκόκη,κξόμυ,κόσμγ,κόμιθ
κόμμα,ξόμμωα,κ9μμβα,ηκόξμα,φκόμκα,κόομμ;,κόσμμσ
Κρητικός,ψΜρητικός,λΚδητικός,Κρξχτικός,Κρη5ιηκός,Καρητξκός,εΚρητικ9ς
κινώ,λιναώ,οκξνώ,νκιηώ,κιωνψ,κρινγ,κεινφ
λήμμα,οχήμμα,λσθμμα,λήνμτα,λήγμνα,δλήμμζ,λήλμμς
λιμός,΄ιμιός,λθυμός,ολιξός,λαιμ0ς,λιιμόα,λιαμό;
λήθη,σκήθη,λγξθη,λήυ7η,σλήθθ,λήηθξ,λήθκν
λίπη,τκίπη,λ8φπη,δλίλη,λίωπθ,λφίπυ,λθίπβ
λίρα,.τίρα,λυκρα,λίδχα,λίψρς,λίτρσ,λδίρσ
μέλι,νέλδι,μρχλι,μσέπι,μέλαο,μυέλ8,εμέλ9
μέρη,τνέρη,αμ4ρη,μοέδη,μβέργ,μπέργ,υμέρν
Μήλος,<κήλος,Μνλτος,Μή.οες,Μδήλ9ς,Μήψλοσ,Μήλοε3
μήτρα,ξήζτρα,μυτρεα,μήρνρα,εμήτ5α,μήτρπζ,μήδτρ;
μοιχός,κοδιχός,μ0ιιχός,μγοκχός,μωοιζός,μοιχδ9ς,γμοιχόα
μηλιά,νφηλιά,μξρλιά,μηομιά,μηλκκά,μληλισ,μηαλιζ
νίκη,ηίρκη,νθκλη,λνίλη,νίκχν,νίκιθ,βνίκν
νότα,μόωτα,κν9τα,νψόγα,κνότσ,νρότσ,νότφς
ξηρός,βθηρός,ξξρζός,ξηχ4ός,θξηρπς,γξηρό;,ξσηρό2
όμως,0μωρς,ξόνως,όμεψς,όσμωα,όμων2,όμεωα
όρος,ιορος,όδολς,όρβ9ς,όορο;,όεροα,όροε3
πάλι,ζ0άλι,πζγλι,πλάοι,πδάλο,πχάλκ,ζπάλκ
